value,emory_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability
50.0,0.000010076158968201322,1.289816639666505e-6,0.00001760373551267579,,
51.0,0.000020152317936402645,,0.00003300700408626711,,
52.0,0.00002686975724853686,,0.00003960840490352053,,
53.0,0.00003694591621673818,,0.000044009338781689474,,
54.0,0.00004534271535690595,,0.00005281120653802737,,
55.0,0.00005206015466904016,,0.00005721214041619632,,
56.0,0.00006045695380920793,,0.00006821447511161869,,2.1928622334301846e-6
57.0,0.00006717439312134214,2.57963327933301e-6,0.00007481587592887211,,
58.0,0.00007725055208954347,6.449083198332525e-6,0.00008581821062429448,2.6635982015384944e-6,
59.0,0.00008732671105774479,7.73889983799903e-6,0.00009682054531971684,,
60.0,0.00010244094951004678,0.00001289816639666505,0.00010782288001513921,,0.000021928622334301846
61.0,0.00011419646830628164,0.000019347249594997576,0.0001166247477714771,,0.0000285072090345924
62.0,0.00013434878624268428,0.000024506516153663595,0.00012322614858873053,7.990794604615482e-6,0.000035085795734882954
63.0,0.00014946302469498628,0.00003611486591066214,0.00014963175185774423,0.000013317991007692471,0.00004605010690203388
64.0,0.00016457726314728825,0.0000515926655866602,0.00016943595430950447,0.000015981589209230964,0.000054821555835754616
65.0,0.00017969150159959023,0.000060621382064325735,0.0001936410906394337,0.00001864518741076946,0.00007455731593662628
66.0,0.00020656125884812709,0.00007480936510065729,0.0002178462269693629,0.000021308785612307955,0.00009867880050435831
67.0,0.00022503421695649619,0.00009931588125432088,0.00025525416493379894,0.00003196317841846193,0.00010745024943807905
68.0,0.00024686589472093235,0.00012253258076831797,0.0003058649045327418,0.0000452811694261544,0.0001271860095389507
69.0,0.00026701821265733504,0.00016251689659797964,0.0003322705078017555,0.000055935562232308384,0.00016227180527383366
70.0,0.00029892604938997256,0.00019734194586897526,0.000376279846583445,0.00008523514244923182,0.000201743325475577
71.0,0.00033251324595064363,0.0002695716776902996,0.0004092868506697121,0.00012785271367384772,0.0002565648813113316
72.0,0.00041480187752428773,0.00034438104279095686,0.0004620980572077395,0.00015448869568923266,0.0003289293350145277
73.0,0.0004903730697857977,0.00041790059125194765,0.000547916267832034,0.00022107865072769502,0.00040129378871772383
74.0,0.0006146456970602806,0.0005094775726682695,0.0006535386809080887,0.0002903322039676959,0.0005197083493229538
75.0,0.0007725055208954347,0.000641038869914253,0.0007437578254105521,0.0003835581410215432,0.0007631160572337043
