value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0.0495,,,0.39846873466418203,,,,,,0.37895401795266287
0.0995,,0.38947547201856936,,,0.36304052931731357,,,,
0.1495,,,,0.5570826487606257,,,0.5493133583021224,,
0.152,,,,,,,,0.540166394556493,
0.2495,,,,,,0.5528045851068313,,,
0.5,,,,,,,,,0.18053939498914892
0.5,,0.16471820420641436,,,0.17257488511156635,,,,
0.55,,,0.22042739530462296,,,,,,
0.75,,,,,,,0.1560549313358302,,
0.8,,,,0.1817129794985356,,,,,
0.85,,,,,,0.18306713304395467,,,
0.9505,,,,,,,,0.18008153528796425,
0.9995,0.8021595595070674,,,,,,,,
1.25,,0.1848161462903728,,,,,,,
1.35,,,,,0.1834685233375782,,,,
1.4,,,,,,,,,0.16655221249758015
1.5,,,0.13308487163384158,,,,,,
2.6,,,,,,0.18163428715917232,0.1760299625468165,,
2.65,,,,0.17955568254875348,,,,,
2.798,,,,,,,,0.1800326532208394,
2.85,,0.1717524839357998,,,,,,,
2.95,,,,,0.1677371131166602,,,,0.16752014834890522
3.0,0.09148332657974399,,,,,,,,
3.0,,,0.13366827617684707,,,,,,
4.0495,,,0.02342540829738532,,,,,,
4.1495,,0.018073994395221785,,,,,,,
4.2495,,,,0.017944138867061935,0.025323902330989426,,,,0.023699145159811304
4.272,,,,,,,,0.021718302423572887,
4.3495,,,,,,,0.024968789013732832,,
4.4995,0.05560984911686888,,,,,0.041447174343630155,,,
4.55,,,0.027540126221288774,,,,,,
4.65,,0.018173068757607495,,,,,,,
4.8,,,,,,,,,0.020393898947497123
4.85,,,,,0.021808039421958917,,,,
4.9,,,,0.015929709264947495,,,,,
4.904,,,,,,,,0.0181841289704459,
5.5,,,0.01935187187063519,,,,,,
5.5,0.01256167616141873,,,,,0.011652408445362215,,,
5.6,,,,,,,0.02372034956304619,,
5.6,,,,,,,,,0.019831477273885092
5.65,,0.017536162142270783,,,,,,,
5.7,,,,,0.02065223409556503,,,,
5.806,,,,,,,,0.02015407627557754,
5.949999999999999,,,,0.015601114365311808,,,,,
7.0,,,0.01977055042502737,,,,,,
7.0,0.013372106881510262,,,,,,,,
7.1,,,,,,,,,0.020966509419544154
7.199999999999999,,,,,0.02225790377055534,,,,
7.2,,,,,,0.012853470437017995,,,
7.25,,,,,,,0.02122347066167291,,
7.454,,,,,,,,0.019719025878166336,
7.6,,0.017536162142270783,,,,,,,
7.85,,,,0.01572969497821273,,,,,
8.2495,,,0.005168277892742791,,,,,,
8.4495,,,,,,,,,0.0043546924511192395
8.5495,,,,,0.0047477991251868665,,,,
8.65,,,,,,,0.024968789013732832,,
8.6995,,,,,,0.003940326183151418,,,
8.9305,,,,,,,,0.003998553090813105,
8.95,,,0.0045608508097311875,,,,,,
8.9995,0.012466331370819726,,,,,,,,
9.249500000000001,,0.0036374444475896625,,,,,,,
9.350000000000001,,,,,,,,,0.004525864264827249
9.45,,,,,0.004643984275510769,,,,
9.5,,,,,,0.0029078342955876774,,,
9.599499999999999,,,,0.0035145367526251874,,,,,
9.749500000000001,,,,,,,0.004993757802746567,,
9.846,,,,,,,,0.003993664884100619,
10.2,,,0.005329572089926663,,,,,,
10.25,,0.0035525235655447674,,,,,,,
10.6,,,,,,,0.008739076154806492,,
10.7,,,,,,,,,0.004195747195533231
10.8,,,,0.003185941852989499,,,,,
10.85,,,,,0.004554011405791485,,,,
11.0,0.003694610635711391,,,,,,,,
11.0,,,,,,0.0031396181887142316,,,
11.2,,,,,,,0.0,,
11.255500000000001,,,,,,,,0.00400344129752559,
11.5,,,,,,,0.00749063670411985,,
11.95,,0.0036799048886121096,,,,,,,
12.649999999999999,,,,,,,0.0024968789013732834,,
12.7,,,,0.00317165511822273,,,,,
12.71,,,0.004351511532535098,,,,,,
13.15,,,,,,,,,0.004212049273029232
13.399999999999999,,,,,0.004567853385748297,,,,
13.873000000000001,,,,,,,,0.003964335643825706,
14.5,,,,,,0.00347675839689831,,,
14.5,0.004123662193406908,,,,,,,,
15.7,,0.0034676026834998728,,,,,,,
16.1,,,,0.0033002357311236515,,,,,
41.25,,,,,0.0046232213055755495,,,,
44.0,0.004528877553452673,,,,,,,,
46.71,,,0.004852553081233935,,,,,,
47.8125,,,,,,,,0.003983888470675648,
47.85,,,,0.0032716622615901136,,,,,
48.5,,,,,,0.003076404399679717,,,
57.4,,,,,,,,,0.004254842226456234
57.7,,0.003580830526226399,,,,,,,
