value,mimic_iv_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability
0.0,0.0005861291903560548,9.633765522404697e-6,0.0036542757317143022,0.0007831829684751216,0.0008664300949522162,0.00017513662241495174
0.001,,,,,,0.00017672156922413684
0.005,,,,,,0.000179891462842507
0.01,0.0005923646072747362,0.000015138774392350239,,0.0008372766870184483,0.0009267961261579034,0.00018702372348383987
0.02,0.0006010941909608903,0.000016515026609836625,,0.0008513880918558378,0.00098952945270499,0.00019574093093435783
0.024,,,,,,0.00019653340433895038
0.026,,,,,,0.00019732587774354293
0.028,,,,,,0.00019811835114813547
0.03,0.000608576691263308,0.000026148792132241322,,0.000879610901530617,0.0011220979918233618,0.00020287319157569073
0.04,0.0006110708580307806,0.000030277548784700478,,0.0008960742071742382,0.0012321772251984386,0.00021238287243080121
0.05,0.0006222946084844071,0.00003853506208961879,0.0036657311415315883,0.000914889413624091,0.0013126652668060215,0.00021793018626294902
0.057,,,,,,0.00021872265966754156
0.06,0.0006385066924729789,0.00005092133204699626,0.0036771865513488744,0.0009407603224926385,0.0013825004793773066,0.00022110007988131918
0.063,,,,,,0.00022189255328591172
0.07,0.0006597071099964957,0.00007707012417923758,,0.00100190974345466,0.0014310300338759964,0.00022664739371346698
0.08,0.0006746721106013311,0.00010459516852896529,,0.001048947759579292,0.0014771922930332864,0.0002306097607364297
0.09,0.0006896371112061666,0.00013349646509617938,,0.0010795224700603028,0.00150796713247148,0.0002361570745685775
0.1,0.0007021079450435294,0.0001789127882732301,0.004799816713442924,0.0011383199902160925,0.0018393884802674098,0.00025121406925583575
0.10500000000000001,,,,,,0.0002520065426604283
0.11,0.00072206127918331,0.0002078140848404442,,0.0012041732127905773,0.0018796325010712012,0.0002615162235155388
0.115,,,,,,0.00026230869692013136
0.12,0.000739520446555618,0.0002353391291901719,,0.0012747302369775252,0.00193171299858199,0.00026706353734768664
0.125,,,,,,0.00026785601075227913
0.13,0.0007669562809978163,0.0002546066602349813,,0.0013452872611644732,0.0019719570193857815,0.0002797431118211673
0.135,,,,,,0.00028053558522575983
0.14,0.000778180031451443,0.0002835079568021954,,0.0013993809797078,0.0020193029262137716,0.00029004526608087034
0.15,0.0008031216991261687,0.0003151617578043823,,0.0014675861030885161,0.002060730594688263,0.00030351731395894353
0.16,0.000830557533568367,0.00034406305437159634,,0.0015475507305003904,0.0021139947398697515,0.00030985710119568386
0.16999999999999998,,,,,,0.0003106495746002764
0.17,0.0008505108677081476,0.00038397436867870153,,0.0016369229611371912,0.0021660752373805405,0.00032412162247834965
0.17500000000000002,,,,,,0.00032491409588294214
0.18,0.0008704642018479282,0.00042801443963826584,,0.0017121837869366022,0.0022311758592690263,0.00033917861716560794
0.185,,,,,,0.0003415560373793855
0.19,0.000882935035685291,0.00046379699729291187,,0.001789796513542245,0.0022927255381454134,0.0003534431384482737
0.2,0.0009153592036624345,0.0005257283470797992,0.005865169826450542,0.0018580016369229612,0.0026419016010018393,0.0003843496012273828
0.21,0.0009315712876510062,0.0005931647057366321,,0.0019332624627223722,0.002666758202086534,0.0003986141225100486
0.22,0.0009490304550233142,0.000642709785566142,,0.0020108751893280147,0.002695165746183328,0.000416841010815677
0.22999999999999998,,,,,,0.00041763348422026956
0.23,0.0009677367057793585,0.0006936311176131383,,0.002074376511096268,0.002720022347268023,0.0004382377927396757
0.24,0.0009764662894655125,0.0007555624674000256,,0.0021472854360894476,0.002761450015742514,0.0004659743619004146
0.245,,,,,,0.0004675593087095997
0.25,0.0009851958731516665,0.0008078600516645083,,0.002248417170757406,0.0027780210831323104,0.0004905410374427834
0.255,,,,,,0.0004921259842519685
0.26,0.0009926783734540842,0.0008629101403639637,,0.002318974194944354,0.0028052449795584046,0.0005166926597943373
0.265,,,,,,0.0005174851331989299
0.27,0.0010039021239077108,0.0009303464990207966,,0.0023989388223562285,0.002865611010764092,0.0005341270746953733
0.272,,,,,,0.0005349195480999657
0.28,0.001013878790977601,0.0009812678310677928,,0.0024930148546054923,0.002886916668836687,0.0005626561172607048
0.285,,,,,,0.0005642410640698898
0.28500000000000003,,,,,,0.0005650335374744824
0.29,0.001022608374663755,0.0010404466764197073,,0.002570627581211135,0.002928344337311179,0.0005800905321617407
0.295,,,,,,0.0005808830055663332
0.3,0.0010388204586523268,0.0011409130882962136,0.006850335070737156,0.0026670555142666304,0.0031922977678772225,0.0006292238832464783
0.30000000000000004,,,,,,0.0006300163566510708
0.305,,,,,,0.0006316013034602559
0.31,0.0010487971257222171,0.0012055969425180735,,0.002737612538453578,0.003221888959644716,0.0006482432449566993
