value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
10,0.14262249335033575,0.12247176431441019,0.0893516203538348,0.14882405988139985,0.0677922715103939,0.13669695386119587,0.08448286140089419,0.08561130607986342,0.08591154730695337,0.050832679173687695,0.14139736897338506
13,0.24690477115617615,,,0.24693376129421732,,,,,,,0.2500660126338025
14,,0.2535770769015326,0.17842941162463985,,,0.26341992436630085,0.18191356184798807,0.1909070789465364,0.18699898732739612,,
15,,,,,0.16384909926725472,,,,,,
16,,,,,,,,,,0.1585861969331632,
17,,,,,,,,,,,0.35675089201687216
18,0.3652988198391364,0.3547553249850005,,0.35902009544653923,,0.3595522664823587,,0.27632236238894686,,,
19,,,0.26836440698145103,,,,0.2838628912071535,,0.29285166712410443,,
20,,,,,0.25266380110285097,,,,,,
21,,,,,,,,,,0.24937418016962978,
22,,,,,,,,,,,0.46510978408790854
23,0.46077492873467396,0.45940497893645477,,0.44769445182831547,,0.456190331698162,,,,,
24,,,,,,,0.36755886736214605,0.3821240001264662,0.385090052147907,,
25,,,0.3599304712241351,,0.3312819309491558,,,,,,
26,,,,,,,,,,0.3347874002459811,
29,,,,,,,,,,,0.5702577539455244
30,0.5566572588194153,0.567152175281586,,0.5413597529618984,,0.5575035260138343,,,,,
31,,,,,,,0.4581222056631893,0.47311644376995793,0.48511276629977,,
32,,,0.4439126604281258,,0.4195740051409495,,,,,0.4205509260087909,
40,0.6471774692066676,0.6681287169545158,0.5204062194918685,0.6332239416290504,0.4941071066693687,0.6538831105342122,0.5479344262295082,0.5580511555850644,0.5750087544126972,0.5090069473032854,0.6751958374802809
49,,0.7354549764311841,,,,,,,,,
50,,,,,,0.7249821592128701,,,,,0.7432650187205059
51,,,,0.707546537019693,,,,,,,
52,0.7221906272408397,,,,,,0.6399046199701938,,0.663589214563557,0.6113473472654423,
53,,,0.6174786294259114,,,,,0.648803313414904,,,
55,,,,,0.5987819576138315,,,,,,
65,,0.8014746408790803,,,,,,,,,
67,,,,,,,,,,,0.8075867135187104
68,,,,,,0.7945584194467389,,,,,
71,,,,0.7823933182453935,,,,,,,
72,0.7896374740813219,,,,,,,,0.7449673957278466,0.7056869699069517,
73,,,,,,,0.7307302533532042,,,,
76,,,,,,,,0.7352240032881217,,,
77,,,0.7146403314522466,,,,,,,,
81,,,,,0.6972812696651983,,,,,,
97,,0.8680762989828601,,,,,,,,,
100,,,,,,,,,,,0.8711145640796485
103,,,,,,0.8615948258907751,,,,,
110,,,,0.8539732541009467,,,,,,,
113,,,,,,,0.8198032786885245,,,,
114,0.8589317442431392,,,,,,,,0.8308978714946859,0.8037393214297586,
124,,,0.8081112936638332,,,,,,,,
125,,,,,,,,0.823769325618894,,,
138,,,,,0.7984577151572683,,,,,,
193,,0.933506261249629,,,,,,,,,
201,,,,,,,,,,,0.9349724778095992
227,,,,,,0.9307833650815057,,,,,
235,,,,,,,0.9094008941877795,,,,
239,,,,0.9265767186960443,,,,,,,
244,,0.9468689897592242,,,,,,,0.9149307691579674,,
255,,,,,,,,,,0.9018223566623284,
256,,,,,,,,,,,0.9480057414065092
269.6,0.9294340808980668,,,,,,,,,,
292,,,0.903957425530395,,,,,,,,
293,,,,,,,,0.9116317303740238,,,
295.4,,,,,,0.9446289397234257,,,,,
302,,,,,,,0.9276304023845008,,,,
307,,,,0.9413756524374641,,,,,,,
311,,,,,,,,,0.9319711151702141,,
319,,,,,0.89875955928624,,,,,,
331,,,,,,,,,,0.9215775517979375,
334,,0.9601816128547367,,,,,,,,,
356,,,,,,,,,,,0.9610017671074279
361,0.9435741106405225,,,,,,,,,,
380,,,,,,,,0.9295203768693288,,,
383,,,0.9231909422101578,,,,,,,,
412,,,,,0.9190993739134145,,,,,,
415,,,,,,,0.94575260804769,,,,
421,,,,0.9560478872329695,,,,,,,
427,,,,,,0.9584857526564511,,,,,
432,,,,,,,,,0.9490540502172041,,
465,,,,,,,,,,0.9411409737475294,
522,,,,,,,,0.9470549179550413,,,
526,0.9576929462339764,,,,,,,,,,
530,,0.9734171506978142,,,,,,,,,
540,,,0.9424542229206848,,,,,,,,
562,,,,,0.9393751933188988,,,,,,
571,,,,,,,,,,,0.9740197970196142
653.4,,,,0.9706306874784177,,,,,,,
670,,,,,,,0.9638032786885246,,,,
672.6,,,,,,,,,0.9659713612401927,,
675,,,,,,0.9723650421716874,,,,,
750,,,,,,,,,,0.9607504212617652,
777,,,,,,,,0.9646716620822663,,,
838,,,,,0.9595550198918481,,,,,,
870,0.9717905876784283,,,,,,,,,,
876,,,0.9616222587327666,,,,,,,,
1085,,0.9867015092007673,,,,,,,,,
1187,,,,,,,,,,,0.9869955111409014
1232.2,,,,0.9853153437392088,,,,,,,
1284.8,,,,,,,,,0.9829833145626106,,
1291.6,,,,,,0.9861544253580801,,,,,
1334.8,,,,,,,0.9818777943368108,,,,
1432,,,,,,,,0.9823389926965759,,,
1450,,,,,0.9797561782053607,,,,,,
1508,,,,,,,,,,0.9803675397034419,
1691,,,0.9807962473510012,,,,,,,,
1733.8,0.9858846967647131,,,,,,,,,,
13964,,,,,,,1.0,,,,
14860,,,,1.0,,,,,,,
15469,,,,,,,,,1.0,,
15820,,,,,,,,1.0,,,
16020,,,,,1.0,,,,,,
16757,1.0,,,,,,,,,,
18330,,,1.0,,,,,,,,
18934,,,,,,,,,,1.0,
19495,,,,,,1.0,,,,,
20000,,1.0,,,,,,,,,1.0
