value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
84,,,,,,,,,0.006433665444411486,,
85,0.006522370292947769,,0.006621950576803374,,,,,0.005499789816949671,,,0.004489146454210217
86,,0.006856110715376005,,0.005446286082892783,0.004671879383924748,0.004675987291659932,,,,0.006067405741604739,
87,0.012167929622855152,,,,,,,0.010013948511521853,0.013559055863958263,,0.00801673227314751
88,,0.012531641141752314,0.017727854781435747,,0.008540808340347613,0.00820281617286164,0.006676324242615103,,0.017556104504064352,0.01100627895414421,
89,0.021772203350463083,,0.024324166487431968,0.014202259260636951,,,,0.01769199903188413,,,0.01406142667366407
90,0.02901024881688587,0.02313062862521624,0.032967314712866014,0.019332818614086675,0.0155237082650364,0.014871461782400536,0.01275429867103357,0.02323955772390864,0.028742107480351272,0.019716805009992986,0.01841605247214025
91,,0.03124761498931515,,0.025991205014611433,0.020791801414669443,0.019853107577097948,0.017667065566542798,,,0.026233648213938816,
92,,,,,,,0.02541412105561504,,,,
93,0.06501175855761693,0.056355417472270276,0.07786667502303937,0.04650255529980884,0.03654439669812017,0.034974386405250274,0.037192164766643575,0.05227188769855929,0.061170922125477666,0.046229499560440285,0.04034536518689286
94,0.0838733559794443,,0.10132909057500865,,,,,0.06788275607301632,0.07808266300405563,0.0609967304659333,0.05203852951103664
95,,0.09865040195380076,,0.08147836319279562,0.0624381635877671,0.06081428600818812,0.06865276815519304,,,,
96,0.13752721888337252,0.1282634896204335,0.1632825731170742,0.10652510980122824,0.08021936236506741,0.07995321073684272,0.09268123700951061,0.1126628918640052,0.12457530579229306,0.10160661545603909,0.08534234982777862
98,,,0.2811074282930637,,,,,,,,
99,0.29653340301367476,0.2857163300091584,,0.24991766608995128,0.18055678613092338,0.18991679622864432,0.23949738615607483,0.24913697565698126,0.2629464741967889,0.22012887166502587,0.18974190901931298
100,,,0.38464146175748765,,,,,,,,
101,0.41536306361234504,0.4005418744275974,,0.3657766741455192,,,0.3547899477231215,0.3567905048214718,0.3739826657460285,0.31110538567660917,
102,,,0.4983669463677554,,0.3211857085899083,0.34414208417952735,,,,,0.3430266239088977
103,0.5448073628894115,0.5263591380889386,,0.49776224144203646,0.381362689939308,0.40731640651405293,0.4828683000566858,0.48276339757716263,0.5075080202706577,0.4226111493416482,0.4109204217729194
104,0.6056949162384229,0.5859597600997253,0.6095826704023452,0.56209156256606,,,0.5414750897524722,,,,
105,,,,,0.5099141304508336,0.5386643311222076,,0.6025120059106022,0.6342756580111722,0.5426677488286639,0.5469152142512231
106,0.7102575269285486,0.6896576396662257,0.7065859137195022,0.672919809947025,0.5735705636527415,0.6006042633483125,0.6478553882975373,0.6535530489280664,0.687135909624574,0.6014164688373563,0.6062171603632966
107,0.8020163748802369,0.7803118957972932,0.7938734493824593,0.7706562851847046,0.6964921218564952,0.7186619211224721,0.7421112300812496,0.7487771167980841,0.7857023563517802,0.7107927550022555,0.7175366717283703
108,0.8377043230845165,0.8159590604965911,0.8291397161777002,0.8100531745506111,0.748626677889514,0.7678200376782885,,0.7869428556870438,0.8243355078009128,0.7586652530514005,0.7631314871275962
109,,,,,,,0.8140391761667821,,,,
110,0.8909415556136225,0.8713890938231403,0.8846621152923045,0.8714429709522337,0.8308118844046722,0.8441259195471552,,,0.8833190833833952,0.8331574545705979,0.8370850037770605
111,,,,,,,0.8711028531838508,0.8714045960027005,,,
113,0.9384925819469849,,0.9357148045961949,0.9267595641156612,0.9085227188824406,0.9134633753515807,,,0.9363214190457436,0.9066882221044209,0.9086244861136249
114,,0.9353638254299379,,0.9526446196264082,0.9452350891182681,,0.9236946526421869,0.9219695425652523,,,
115,0.9691983857387568,0.956929887045894,0.9690467610272071,0.9617154122728786,,0.9573841510188127,0.9489198211248977,0.9476500898054852,0.9697498074387232,0.9562078343699479,0.955646618080834
116,0.9757875330255785,0.9649069527831484,0.9755803999378969,,0.9672783856820095,0.9665744792784108,0.9592177363481766,0.957052596716049,0.9763978453078612,0.9668840319643874,0.9654257456462477
117,,,,0.9747182728659186,,,,,,,
118,,0.9765585249821919,,,,,0.9732632109340555,0.9712176604715743,,,
119,0.9885854890688964,,0.9885793074371242,,0.9854638284676384,0.9842145017325546,,,0.9891330629581899,0.985590837402416,0.9838505332259032
120,,,,0.9863901819874272,,,,,,,
121,,0.9871662575048337,,,,,0.9847893178812118,,,,
122,,,,,,,,0.9873253251468097,,,
140,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
