value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0,,,,,,,,,,2.6673779674579886e-05,
0.8,,,0.007675578866572854,,,,,,,,
0.9,,,,,,,,,0.007520608071940905,,0.0041206527113894845
1,,,,0.020672965527894344,,,0.019076305220883535,,,,
1.2,,,,0.02497232448575033,,,,,,,
1.3,0.007261968800430339,,,,,,,,,,
1.4,,,0.01560701036203147,,,,,,,,0.008158892368551178
1.5,,,,,,0.00247234873129473,,,,,
1.6,,,,,,,,,0.01595118295685687,,
1.8,0.01600322754168908,,,0.036660402131658214,,,,,,,
1.9,,,0.023154662914161444,,,,,,,,
2,,,,,,,0.03413654618473896,,,,0.012361958134168452
2.06,,0.006458022851465474,,,,,,,,,
2.1,,,,,0.008393956351426972,,,,0.022695642864789638,,
2.2,0.02232383001613771,,,,,0.0036434612882238126,,,,,
2.4,,,,0.04796230981129161,,,,,,,
2.5,,,0.030190610208519892,,,,,,,,
2.6,,,,,,0.0048145738451528955,,,0.03008243228776362,,0.016029339047305094
2.7,0.029989241527703065,,,,,,,,,,
2.8,,0.013909587680079483,,,,,,,,,
2.9,,,,,0.03861219921656407,,,,,0.02195252067217925,
3,,0.03129657228017884,,,,,0.04618473895582329,,,0.03742331288343558,
3.1,0.035099515868746635,0.031793343268753105,0.03709863118843546,0.05965038745719949,0.0408505875769446,0.005985686402081978,,,0.03736216679156407,0.03861029607895439,0.019861546068897312
17.2,,,,0.24797260767705892,,,,,,,
20.2,,,,,,,,,0.22984691146558184,,
20.7,0.228617536309844,,,,,,,,,,
21,,,,,,,,0.2009636036454403,,,
21.6,,,,,0.23265249020705092,,,,,,
23,,,,,,,,,,0.2293144838623633,
26.26,,0.22553402881271734,,,,,,,,,
26.6,,,,,,,,,,,0.18139113235536508
31.32,,,,,,0.2048145738451529,,,,,
31.4,,,,,,,0.23694779116465864,,,,
32.92,,,0.22975566073941409,,,,,,,,
48.092,,,,0.4357027006152975,,,,,,,
49.4,,,,,,,,,0.4221710737608393,,
51,,,,,,,,0.4007081906309862,,,
52.3,,,,,0.4240346950195859,,,,,,
53.6,,,,,,,,,,0.4191517738063484,
59.06,0.42079074771382463,,,,,,,,,,
60,,,,,,,,,,,0.34254985989780784
62,,,,,,,0.4307228915662651,,,,
62.02,,0.41927471435668157,,,,,,,,,
73.74,,,0.42228476397594983,,,,,,,,
76.9,,,,,,0.4036434612882238,,,,,
90.4,,,,,,,,,0.6145219997858902,,
93,,,,,,,,0.5989435188947583,,,
94.232,,,,,,,,,,0.6093491597759403,
97.9,,,,0.6238961975130655,,,,,,,
101,,,,,0.6176552881925014,,,,,,
106.84,0.6136363636363636,,,,,,,,,,
108,,,,,,,0.6194779116465864,,,,
111,,,,,,,,,,,0.5041206527113895
116,,0.6130153999006458,,,,,,,,,
133.96,,,0.6148138672124857,,,,,,,,
143.5,,,,,,0.6024723487312947,,,,,
158,,,,,,,,,0.807354672947222,,
160,,,,,,,,,,0.8073753000800213,0.8112741058183617
163,,,,,0.807358701734751,,,,,,
165,,,,,,,,0.7999071225401986,,,
169.5,,,,0.811806503102232,,,,,,,
171.8,0.8068854222700377,,,,,,,,,,
176.016,,,,,,,,,,0.845905574819952,
179,,,,,,,,,0.8463494272561825,,
181,,,,,0.8469501958589816,,,,,,
187,,,,,,,,0.8403088175538399,,,
191.7,,,,0.8495224364750406,,,,,,,
192.8,0.8456159225389994,,,,,,,,,,
195,,,,,,,0.8082329317269076,,,,
196.24,,0.8062593144560357,,,,,,,,,
200,,,,,,,,,,0.8856361696452387,
207,,,,,,,,,0.8846215608607215,,
211,,,,,0.8854224958030218,,,,,,
215,,,,,,,0.8483935742971888,,,,
217,,,,,,,,0.880188076856098,,,
219.32,,0.8450074515648286,,,,,,,,,
220.1,0.8842119419042496,,,,,,,,,,
221.568,,,,0.8870839018613392,,,,,,,
230.78,,,0.8073429704490214,,,,,,,,
236,,,,,,,,,,0.9231661776473726,
239,,,,,,,0.8865461847389559,,,,
241.2,,,,,,0.8010409889394925,,,,,
244.08,,0.8837555886736215,,,,,,,,,
245,,,,,0.923335198656967,,,,0.9232148592227812,,
256.9,0.9228079612694997,,,,,,,,,,
257,,,,,,,,0.9207058686944912,,,
260,,,,0.9250057925494941,,,,,,,
260.1,,,0.8459767174107714,,,,,,,,
266.16,,,,,,0.8408588158750814,,,,,
276.04,,0.9225037257824144,,,,,,,,,
283,,,,,,,0.9246987951807228,,,,
290,,,,,,,,,,0.9614963990397439,
294,,,0.8844825380580785,,,,,,,,
294.14,,,,,,0.8806766428106702,,,,,
294.46,,,,,,,,,0.961460229097527,,
297,,,,,0.9616675993284834,,,,,,
300,,,0.9993603684277856,,,,,,,,
312.6,0.9614039806347499,,,,,,,,,,
314,,,,,,,,0.960817321646253,,,
316.9,,,,0.9623870452848647,,,,,,,
320,,,,,,0.9212752114508783,,,,,
332.08,,0.9612518628912071,,,,,,,,,
337,,,,,,,0.9618473895582329,,,,
366.7,,,,,,0.9603122966818478,,,,,
491,1.0,,,,,,,,,,
586.6,,,1.0,,,,,,,,
610.66,,,,,,1.0,,,,,
645,,,,,1.0,,,,,,
652.4,,1.0,,,,,,,,,
653,,,,,,,1.0,,,,
654.2,,,,,,,,,1.0,,
688,,,,,,,,1.0,,,
725,,,,,,,,,,1.0,
763,,,,1.0,,,,,,,
800,,,,,,,,,,,1.0
