value,sunnybrook_probability,ucmc_probability
0.01,,0.02013889987502175
0.02,0.008256059866601594,0.02615051177801332
0.03,,0.03146604230276376
0.08,,0.06114442106595371
0.1,0.020741825280624696,
0.12,,0.08704181234278843
0.17,0.0249715308280462,0.12007403774659474
0.2,0.0409549373678217,0.14177912072265902
0.32,,0.23636708800683426
0.4,0.1458435008947454,
0.44,,0.3304488142886523
0.52,0.243980803644054,
0.56,,0.4263340241413678
0.61,0.34398893769318367,
0.68,,0.5215706127098132
0.7,0.44741337237676915,
0.8,0.5438425248088499,0.6085333248959833
0.89,0.6351065560435986,
0.92,,0.691113888405499
1,0.7466243696111925,
1.07,,0.7664963376627486
1.15,0.8105173255246462,
1.28,,0.8441252313679581
1.4,0.9002765576704084,
1.46,0.9204083292663088,
1.6,0.9480234260614934,
1.66,,0.9208840233503662
1.74,0.9606718724581097,
1.8,,0.9373210358956511
1.99,,0.9531885273132841
2.06,0.9803969415975272,
2.28,,0.9686288778851783
2.93,,0.984179968676338
14,1.0,
47.93,,1.0
