value,sunnybrook_probability,ucmc_probability
0.02,,0.008477439073433604
0.05,,0.011598166170674816
0.06,0.0016427308334297378,
0.1,0.0024723594837131667,0.01570015281911043
0.15,,0.019190863025818388
0.2,0.003573022195045365,
0.28,0.0039564362326265515,
0.61,,0.03825303627443095
0.8,0.007998810094366128,
1.13,,0.05688088152497386
1.4,0.012018046902113735,
1.6,,0.07595914099573715
1.782,0.015614206151151068,
2,0.019517757688938837,0.0947800209120888
3.39,,0.1697418161344808
4,0.10699565353914293,
4.47,,0.24409233491514518
5.01,0.19267546976482838,
5.48,,0.3180728705863428
5.9,0.28392140012229583,
6.49,,0.39271294136572027
6.7,0.3688310829793915,
7.5,0.4523657637706787,0.4668704254805759
8.6,0.5634104017584161,
9.1,,0.5741976996702325
10,0.6755821448049051,
11.05,,0.6803989383093381
11.8,0.7829546017947744,
13.7,,0.7869058151693075
14.75,0.890462575815168,
15.7,0.9128559387859657,
17,0.9349485200548678,
18.21,,0.8933805195849754
18.8,0.9562412203143335,
19.654,,0.9147108501568406
21.73,,0.9360572669508566
22.15,0.9781288733907353,
24.6,,0.9574036837448725
29.68,,0.9786857556502855
49.96,,1.0
50,1.0,
