value,sunnybrook_probability,ucmc_probability
15,,0.016086069199825408
19,0.012650779641070904,
24,,0.03113638240394484
32,0.024122067987910882,0.04634477226344536
38,,0.05989925562410787
44,0.03651608761935329,0.07387134447734431
54,0.04843670598304314,
62,0.060220920591617856,
73,,0.14741709823166488
92,0.11975714782422638,
100,,0.21995304887399875
114,0.1796196742357378,
126,,0.29472094751619105
133,0.23828398726898287,
150,0.29578485650859876,0.3661574396300534
179,0.395870443178475,
180,,0.4616711297762154
210,0.49240953221535744,
212,,0.5562174851655676
246,0.5899248442055149,
247,,0.6498814425084641
290,,0.7440573794665503
291,0.6894728396052315,
350,0.7858140094680254,0.8375609008010003
379,,0.870344111644587
384,0.8288988740003744,
418,,0.902650733168965
429,0.8716333681029179,
473,,0.9349172456912315
493,0.9141913396988419,
575,,0.9674196935200368
607,0.9571424750595094,
609,,0.9739857731010158
645,0.9658776645537458,
654,,0.9805636494473216
693,0.9743855144561234,
719,,0.9870188394342271
760,0.9828639439407312,
829,,0.9934905448925905
884,0.9914547059295514,
1986,,1.0
1996,1.0,
