value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,upenn_probability
30,0.011075384065737763,,,,,,,,
31,,0.012969014700256845,,,,,,,
33,,,,,,,,0.013743855288329884,
34,0.023450716047469622,,,,,,,,
35,,0.02882124706268102,,,,,,,
37,0.0341774385860699,0.03931362369528389,,,,,,0.0255861293726314,
39,0.04109471110594576,0.0508421225203563,,,,,,,
41,,0.06248210284715012,,,,,,0.037156475429770755,0.0106966030497096
42,0.051081065957291116,,,,,,,,
43,,,,,0.01030814581540546,,0.010499366880527588,,
46,,,,,,,,0.04922471787467182,
49,,,,0.01664699417965729,0.020128043161164715,,,,
49.2,,,0.009160021981141346,,,,,,
49.9,,,,,,,0.019755280607013467,,
50,,,,,,,,,0.022745112708565055
51,,,,,,,,0.060199503252603905,
53,,,,0.03418361117087154,0.030881715705122336,,0.030866608725655824,,
54,,,0.01979576462710304,,,,,,0.03233821395193338
55.7,,,,,,,0.039513816326995625,,
56,,0.12628886824416635,,0.05236564079007809,0.04139126401425686,,,,
56.9,,,0.027498262252484706,,,,,,
57,,,,,,0.013928822439460737,0.049357277944331056,,0.04284778279717835
58,0.10146911332360524,,,0.06721013123390103,0.049984437080030024,,,,
59,,,0.04012832037149584,0.0758970363349866,,,,,0.05231522043442201
60,,,,,,0.024087917704938983,,,
60.1,,,0.04573824245490045,,,,,,
62,,,,,,0.034438694013162095,,,
64,,,,,,0.04772857964347326,0.09501674755622394,0.12555989406296858,
65,,,,0.14554345487635406,,0.05635422656699252,,,
66,,,,,0.10181811523884504,,,,0.10348777877594297
67,0.15028172712285368,0.18633805125963168,0.09774511338120176,,,,,,
70,,,,0.21358506364001092,,0.109769343811897,0.14333401690705677,0.18249817597573328,
71,,,,,0.14621210734142606,,,,
71.9,,,0.13715285991389506,,,,,,
72,,,,,,,,,0.1651137957013695
74,0.2003512442051163,0.2469511995190994,,,,0.1637595041850361,,,
75,,,,0.2805567992185274,,,0.18527940262166798,0.23889451682028046,
76,,,0.1868196854949942,,0.19554351209330428,,,,0.21082495527252346
77,,,,,,0.2100824228483803,,,
80,0.24723976291016156,0.30830318596644624,0.22849105287483487,0.3428536541402348,0.2364038058968209,0.25736374672544887,0.22659492397683662,0.29810780222789485,0.25828780706486637
83,,0.35155582272255315,0.26885592526411944,0.3879278765924539,0.2770626972066084,0.32017123506485207,0.2587505574380959,0.345706696897914,0.3051024684423616
84,0.286492163724566,,,,,,,,
86,,,,0.41949495008227555,,,,,
87,,0.394917755068583,0.30835283371121003,,0.3152925523799061,0.3863650884927481,0.289464175854223,0.3914576299748945,0.35066926098694445
88,0.3179922261392838,,,,,,,,
90,,,,0.4558124930952478,,,,,
91,,,0.34645590488425326,,0.35158772299223073,0.44533895597725387,,0.4347075911964259,0.39379759509081974
92,0.3482095584911995,0.44679381386961037,,,,,0.3261883603670465,,
95,,,,0.49407208852037704,,,,,
96,0.3773722973351068,0.48594130826821136,0.39109690990279533,,0.39211844907873616,0.5119161714906396,0.35433369465087283,0.48589133985832933,0.44419045459247875
100,0.4057989729550571,0.523458112465162,0.42467819827426206,0.5272323427315491,0.4219138119388957,0.5646284582454795,0.3811509428434714,0.5242178717993401,0.4811244496372413
107,,,,,,0.6577215513385726,,,
110,,,,,,,,0.6199537722353824,
111,,0.6261697360511503,,,,,,,
112,,,,,,,,,0.5865684892955064
115,,,0.542792260017978,,,,,,
116,,,,,,0.7411028049325922,,,
117,,,,,0.5398197142525831,,,,
119,0.5280973841776538,,,0.6237244378804881,,,0.5070505746901947,,
124,,0.7185551123012186,,,,,,0.7181580897630587,
128,,,,,,0.8241006964411219,,,
129,,,,,,,,,0.6923532818950305
133,,,0.6557877000229273,,,,,,
138,,,,,0.6530201219400553,,,,
140,,,,,,,0.6318450956840457,,
142,,,,,,,,0.8101387024437138,
143,0.6434656094904807,,,,,,,,
144,,0.8112465162030712,,,,,,,
151,,,,,,0.9129768065938278,,,
152,,,,,,,,,0.7931150371409016
154,,,0.769387257488691,,,,,,
157,,,,0.7177569876092404,,0.9305475688454412,,,
161,,,,,,,0.7540046027297377,,
165,,,,,0.7713044168177186,,,,
169,,,,,,0.9478627563733947,,,
177,0.7635902667475906,,,,,,,,
179,,0.9038876441335593,,,,,,0.9037930129816908,
185,,,0.8831687780450613,,,,,,
188,,,,,,0.9653696249440931,0.8764277739258941,,
192,,0.9239827312967922,,,,,,,
195,,,,,,,,0.9236188641451406,
196,,,,,,,0.9015002815672718,,
197,,,0.9075354555082047,,,,,,
207,,,,,,,,,0.8959762513318881
209,,,,,0.8841569474705677,,,,
210,,,,,,,0.9260715018114704,,
213,,0.9425127056123286,,,,,,,
219.5,,,0.9299023586055805,,,,,,
222,,,,,,,,0.942431687658106,
232,,,,,0.9078858230953732,,,,
234,,,,0.8109231726391561,,,,,
237.54,,,,,,,0.9505711095703576,,
242.8,,,,,,0.9825570251102166,,,
246,,,,,,,,,0.9170602665120517
256,,0.9618186786163179,,,,,,,
261,,,0.9534356451137451,,,,,,
268,,,,,,,,0.9615183541843404,
272,,,,,0.9308029856393919,,,,
273,0.8806673639897209,,,,,,,,
296,,,,,,,0.9752888098981475,,
306,0.9051985003249869,,,,,,,,
308,,,,,,,,,0.9377310529967263
315,,,,0.9048917625579272,,,,,
327,,,0.9766523158442542,,,,,,
332,,0.9809126181758566,,,,,,,
335,,,,,0.9537445606068928,,,,
338,,,,0.9244809079967206,,,,,
340,0.9288429172208663,,,,,,,,
346,,,,,,,,0.9808329040572811,
370,,,,0.9434304553357018,,,,,
379,0.9523754180709978,,,,,,,,
382,,,,,,,,,0.9584182049742915
409,,,,0.9620195019275161,,,,,
423,,,,,0.976972981550311,,,,
429,0.9764502812966765,,,,,,,,
458,,,,,,,,,0.9792310205579815
459,,,,0.9811725577528011,,,,,
516,,,,,,1.0,,,
531,1.0,,,,,,,,
610,,1.0,,,,,,,
641,,,,1.0,,,,,
642,,,,,,,,1.0,
656,,,,,1.0,,,,
686.1,,,1.0,,,,,,
686.5,,,,,,,1.0,,
699,,,,,,,,,1.0
