value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
9,0.002907804358942466,,,,,,,,,
14,0.00613347706510773,,,,,,,,,
19,0.008610086100861008,,,,,,,,,
30,0.01164780187127714,,,,,,,,,
44,,0.015276848469058461,,,,,,,,
47,,,,,,,,0.004175689717121299,,
49,,0.03243665733081483,,,,,,,,
51,,0.043029789854514666,,,,,,,,
51.5,0.014337244496040466,,,,,,,,,
52.3,,,,,,,,,,0.0015254513075942616
54,,0.06281271649603572,,,,,,0.008572788098313215,,
54.7,,,,,,,,,0.001705290773939659,
55,,0.07007810140748329,,,,,,,,
57.1,,,,,0.0031153812603586426,,,,,
57.72,,,,0.007571627959913501,,,,,,
58,,,,,,,,0.012661079658564533,,
61,,,,,,,,0.016630898161725433,,
61.2,,,0.0019088881883204966,,,,0.001696350658075942,,,
61.42,,,,,,,,,,0.003044876140886916
63,,0.14467412350562223,,,,0.001306579992243624,,0.019650990026899212,,
65.9,,,,,,,,,0.0034043350615278905,
66.8,,,,,0.006218300995675851,,,,,
67.4,,,,,,,,,,0.0045816270877966905
69.7,,,,,,,0.0034004237015452495,,,
70,,0.21294031962956603,,,,,,,,
70.08,,,0.00380331510248705,,,,,,,
70.5,,,,0.01137541257585106,,,,,,
71.2,,,,,,,,,0.005103379349116122,
71.9,,,,,,,,,,0.00609653206536314
72,,,,,0.009346143781075927,0.0026177768749192044,,,,
74,,,,,,,,0.03956805888693592,,
74.1,,,,,,,0.005078755460370005,,,
75.4,,,,,,,,,,0.00761143704292959
75.5,,,0.005717987800469124,,,,,,0.00683365606846149,
75.6,,,,,0.012449063516393136,,,,,
77,,,,,,0.003864337291547397,0.006857478229308512,,,
77.2,,,,0.015221128675743835,,,,,,
78,,,,,0.015533290964148192,,,,,
78.2,,,,,,,,,0.008501467924292586,
78.6,,,0.007632660498451197,,,,,,,
78.9,,,,,,,0.008448289620341793,,,
80,,0.2802176654843886,,,,0.005000092337808639,,,,
80.4,,,,0.01892307968779015,,,,,,
80.7,,,0.009509733883633019,,,,,,,
82,,,,,,0.0061173798223420565,,,,
82.5,0.02875464709703277,,,,,,,,,
83,,,,,,,,0.05802849179913962,,
84.2,,,,,,,,,,0.015311011272520181
84.3,,,,,0.031203658703752166,,,,,
84.5,,,,,,,0.017141121444806826,,,
85.4,,,,,,,,,0.017234055843587982,
85.7,,,0.01893559237717317,,,,,,,
85.9,,,,0.03845117078693415,,,,,,
86.8,0.04321351078679326,,,,,,,,,
87,,,,,,0.012996546565956897,,,,
87.2,,,,,0.046973718643687615,,0.025676931432940094,,,
87.3,,,,,,,,,,0.02298271305846584
87.8,,,,,,,,,0.02582297457680055,
87.9,,,,0.05751202535057716,,,,,,
88,,,0.03008234249503255,,,,,0.07761733202559795,,
88.8,0.05780228588802742,,,,,,0.033939883803841116,,,
88.9,,,,,0.06279985544630952,,,,,
89,,,,,,0.02154241075550795,,,,0.03095724517806725
89.1,,,0.03787407700917712,0.07556053408730135,,,,,0.03433693547379599,
90,0.07166410989952596,0.3475838302256592,0.047297043247886486,0.09440574101917466,0.07746083965755729,0.0294973129697686,0.04221828094552887,0.09605834312516387,0.042394902867137235,0.03796226824439764
94,,0.4873137023856753,,,,,,,,
94.4,,,,0.2760768903611499,,,,,,
95,,,,,,0.2241223291288851,,,,
95.2,,,0.23785903728405702,,,,,,,
95.3,0.25844078665505754,,,,,,,,,
95.5,,,,,0.2654865602452428,,,,,
95.8,,,,,,,,,0.23571116247111001,
96,,0.6657626877779291,,,,,,0.32734494110335316,,
96.3,,,,,,,,,,0.23363962888971251
96.4,,,0.44984396285187894,,,,,,,
96.9,,,,0.4586046400182102,,,,,,
97,0.45081471039429494,0.8102947010652345,0.6350552854510906,,,0.4967127740124471,,,,
97.3,,,,,,,0.2353525655051341,,,
97.6,,,,,0.4520667439281219,,,,,
97.7,,,0.8247611720573477,,,,,,,
97.8,,,,,,,,,0.43288775064026486,
97.9,0.6406677999364263,,,,,,,,,
98,,0.9528075650006217,,,,0.7207935511274447,,0.5772318090447381,,
98.1,,,,,,,,,,0.4369088405364767
98.7,0.8270271017316915,,,0.6498301774899814,0.641270078632223,,0.4306413955894883,,,
99,,,,,,0.9464071358658517,,0.8059896870174893,0.6298019863826597,0.8885674769261365
99.3,,,,,,,0.6442554462122987,,,
99.4,,,,,0.8438446297057834,,,,,
99.7,,,,,,,0.8357422885546526,,,
99.8,,,,0.8316211310718287,,,,,,
99.9,,,,,,,,,0.8236304578674496,
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
