value,emory_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucsf_probability,umn_probability,upenn_probability
0.018,,,,,,,0.19291764281852586,
0.02,,,0.17822804926499802,,,,,
0.059,,,,,,,0.3857902324743197,
0.11,,,0.30401271354787446,,,,,
0.214,,,,,,,0.5769282753649306,
1,,,0.45208581644815254,,,,,
1.278,,,,,,,0.7691250675797441,
8,0.07544486962340297,,,,,,,
8.7,,,,0.07537287374669527,,,,
9,,,,,,,,0.092104251556854
10,,0.10624972943332515,0.6044100119189512,0.16451339352521574,,,,
13,0.13876168370867575,,,,,,,
15,,0.15291706951038256,,,,,,0.17113861766740984
20,0.21366288187692115,,,0.2574450042400359,,0.19129451667608818,,
21,,0.22221099871571018,,,,,,0.2474821250096102
29,0.28260460447901636,,,,,,,0.3269777811947413
30,,0.29504033247233,,0.3238389784007582,,0.24335782928208027,,
40,0.34629780649478287,0.36621019062324134,0.7523639253079062,0.3740709333067292,,0.28730921424533634,0.9613443863759236,0.4085492427154609
54.897,,,,,,,0.9690822670751487,
67,,0.494668032727745,,,,,,
68,,,,,,,,0.5292534788959791
70,,,,,,0.43080836630864894,,
72,,,0.8025824394119984,,,,,
73,,,,0.4992766997555744,,,,
76.3,,,,,,,0.9768088844836907,
77,0.47807540304874224,,,,,,,
117.601,,,,,,,0.9845355018922328,
127,,,,,,,,0.645959867763512
131,,0.620643876535015,,,,,,
143,,,0.8516487882399683,,,,,
150.1,,,,0.6242829351025091,,,,
160,,,,,,0.5751271905031091,,
166,0.608117433034314,,,,,,,
186.043,,,,,,,0.9922621193007749,
200,,,,,,,0.9995044152099477,
317,,,,,,,,0.7636657184592911
319,,0.7465764296743099,,,,,,
320,,,,,1.0,,,
346.9,,,,0.7493390532249214,,,,
357,,,0.9010329757647993,,,,,
420,,,,,,0.7167891464104014,,
440,,,,,,,1.0,
445,0.7386822240344604,,,,,,,
1065,,,,,,,,0.881602214192358
1082,,0.8731872032785466,,,,,,
1110,,,,0.8747443507756771,,,,
1157.2,,,0.9504568931267382,,,,,
1427.8,0.8692470150346068,,,,,,,
1478.6,,,,0.8998353868409238,,,,
1500,,0.8986854067158256,,,,,,
1518.8,,,,,,,,0.9052817713538863
1540,,,,,,0.857263990955342,,
1562,,,0.9604290822407628,,,,,
1929,0.8954268866445017,,,,,,,
2022.2,,,,0.9248765401306929,,,,
2080,,,,,,0.8859525155455059,,
2123.2,,,0.9702820818434644,,,,,
2150,,0.9240537381491797,,,,,,
2178,,,,,,,,0.9289613285154148
2691.6,0.9215440269326475,,,,,,,
2880,,,,,,0.9144431882419446,,
2975.9,,,,0.949917693420462,,,,
3124.6,,,0.9801748112832738,,,,,
3162.4,,0.9492777673559503,,,,,,
3454.2,,,,,,,,0.9526408856769432
3879.2,0.9477029881019593,,,,,,,
4140,,,,,,0.9429903900508761,,
5184.2,,0.974631668566646,,,,,,
5349.6,,,0.990067540723083,,,,,
5411.9,,,,0.9749588467102309,,,,
5595.2,,,,,,,,0.9763204428384716
5909.8,0.9738410388306882,,,,,,,
6100,,,,,,0.9715093273035613,,
9973,,,1.0,,,,,
9990.2,,,,1.0,,,,
9991,,,,,,,,1.0
9998,1.0,,,,,,,
10000,,1.0,,,,1.0,,
