value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
10,0.018664469441857134,0.014761777457487243,0.010978385673710291,0.019766459627329192,0.01574836573563121,0.009341535657325132,0.006067930609059093,0.00857513527196785,0.019769134181838937
15,0.08736356905734279,0.07460509339439518,,0.08703602484472049,0.06916970880380338,,,,0.09159009188973233
16,,,0.05851781721491449,,,0.0685805422647528,,0.048392030292482784,
17,,,,,,,0.05219427449203112,,
18,0.13540397888753553,,,,,,,,
19,,0.13883626050469006,,0.1523776397515528,0.12445878257916632,,,,0.16266908281490783
20,,,0.10186733275587696,,,0.12873091820460242,0.08381801243799884,0.08797687983208345,
22,0.19858613360082156,,,0.2040049689440994,,,,,0.21613349694652131
23,,0.20629874583008845,0.13611183852708336,,0.18314373036760337,0.1850079744816587,,,
24,,,,,,,0.12730065211370445,0.13255070721134068,
26,0.25625134341190803,0.2549428707588948,,0.26804472049689443,,,,,0.2799497745562468
27,,,0.18069012751042443,,0.23788097461584176,0.24720893141945774,0.161265956643251,0.16684070077735236,
30,0.30596355472761577,0.31392605163135073,0.21322240799307052,0.3258136645962733,0.27725188895491976,0.29209387104123946,0.19482841100788076,0.20178464069866786,0.3364391301866332
41,,0.4529773459021538,,0.462032298136646,,,,,
42,,,,,,,,,0.4775697734147594
43,,,,,0.4287503183631887,0.43859649122807015,,,
44,0.44610828497050464,,,,,,,,
46,,,,,,,0.3574288088224186,,
47,,,0.3735672703100135,,,,,0.36797139512071636,
61,,0.5894424232561923,,0.597376397515528,,,,,
62,,,,,,,,,0.6023486102391415
64,,,,,0.5665166822310892,,,,
68,,,,,,0.5794030530872636,,,
71,0.5840438489646772,,,,,,,,
74,,,,,,,,0.5219546667510468,
75,,,,,,,0.5184681622479039,,
76,,,0.5313941542614266,,,,,,
103,,0.7258726302697802,,0.7314583850931677,,,,,
106,,,,,,,,,0.7344543690428629
111,,,,,0.7108625519993208,,,,
127,,,,,,0.7179311916154021,,,
132,,,0.6867030598473098,,,,,,
133,0.7235318000525424,,,,,,,,
134,,,,,,,,0.6805893955215222,
139,,,,,,,0.6785003902610972,,
255,,,,0.8650434782608696,,,,,
260,,0.8626747875815094,,,,,,,
270,,,,,,,,,0.8672307516694253
290,,,,,0.8553782154682061,,,,
348.6,,,,,,0.8582820688083846,,,
351.8,,,,0.8920347826086956,,,,,
363,,0.8903385910057768,,,,,,,
364,,,0.8426162802409202,,,,,,
365,,,,,,,,0.8402155913468131,
377,,,,,,,,,0.8939344215512813
399,0.8611807695063409,,,,,,,,
409,,,,,,,0.8388851121685927,,
411,,,,,0.8844129382799898,,,,
466,,,,,,0.8869902027796764,,,
514.4,,,0.8741010817235059,,,,,,
521,,,,,,,,0.8721851301036821,
544,,,,0.9190956521739131,,,,,
564,,0.9176130089616775,,,,,,,
582,,,,,,,,,0.9203955253695565
593,,,,,,,0.8711886597678576,,
598,0.8890759714360775,,,,,,,,
619.2,,,,,0.9132354189659564,,,,
702.2,,,,,,0.9150148097516518,,,
802,,,0.9056664585137885,,,,,,
823,,,,,,,,0.9041757639042707,
939,,,,,,,0.9034418510965078,,
976,0.9167204031429868,,,,,,,,
983,,,,0.9460372670807453,,,,,
1065.8,,0.9450675903432404,,,,,,,
1086.4,,,,,,,,,0.9468923006677701
1177.8,,,,,0.9421427965022497,,,,
1259.8,,,,,,0.9432672590567327,,,
1451,,,,,,,,0.9361031125737008,
1467.2,,,0.9370505408617529,,,,,,
1668.8,,,,,,,0.9355439736133142,,
1899,0.9444842492417186,,,,,,,,
2439.8,,,,0.973008695652174,,,,,
2634,,,,,,,,,0.9734532846298727
2693,,0.9725396068950286,,,,,,,
2976.4,,,,,0.9710713982511249,,,,
3285.6,,,0.9685151985174143,,,,,,
3341.4,,,,,,0.9715197083618137,,,
3389.4,,,,,,,,0.9680410087649907,
3748.4,,,,,,,0.9677719868066571,,
4282.2,0.9722361539012682,,,,,,,,
17280,,,,1.0,,,,,
19660,,,1.0,,,,,,
19800,,,,,,,1.0,,
19830,,,,,,1.0,,,
19854,,,,,1.0,,,,
19940,,,,,,,,,1.0
19950,1.0,,,,,,,,
20000,,1.0,,,,,,1.0,
