value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
0.1,,0.2939768684930997,,,0.2908230438031527,,,
0.2,,0.5478088391410426,0.7149911229471816,0.6865683392819651,0.5259580827669644,0.6714129431472429,,0.5977742899956678
0.3,,0.7158661278006444,0.7998779405237462,,0.6855140020638366,,,
0.4,,0.8217831002179055,,0.8115683392819651,,,,
0.5,,,,,0.8539657687791339,0.813937985026153,,
0.6,,,,,,,,0.8055024891874809
1,0.9460127028934369,,,,,,,
2,0.9638320395201129,0.9993015849365839,0.9847425654682646,0.9854477220239345,0.9949471586663345,0.9929745991590031,0.99073856975381,0.9841771477675433
2.1,,0.999608887564487,,,,,,
2.128,,,,,,,0.9927315357561547,
2.2,,,,,,0.9959146695839458,,
2.3,,0.9997206339746335,,,0.9970465786570829,,,
2.439,,,,,,,0.9944314185228605,
2.6,,,,,0.9979361633989254,0.9974188916618235,,
2.7,,,,,,,,0.9907889410478024
2.9,,0.9998510047864713,,,,,,0.9935302430952567
2.938,,,,,,,0.9962289957014459,
3,0.9888849682427664,0.999897565790699,0.9957833999112294,0.9965357967667436,,,,
3.2,,,,,,0.9985812450856381,,
3.3,,0.9999161901923901,,,,,,
3.44,,,,,,0.9988718334415917,,
3.8,,,,,,0.9991795152302485,,
3.846,,,,,,,0.9980851895271591,
4,,,0.9991122947181535,0.999055217300021,0.9989680816994627,,,0.9967686724570163
4.178,,,,,,,0.9984759671746776,
4.2,,0.9999441267949267,,,,,,
4.22,,,,,0.9991815820375048,,,
4.3,,,,,,0.9994701035862021,,
4.58,,,,,,,,0.997414937965613
4.6,,,0.999167776298269,,,,,
4.8,,,,,0.9994306657652208,,,
5,,,,0.9993307789208482,,,,0.9980825089305371
5.218,,,,,,,0.9988472059398202,
5.56,,,,,0.9995729993239156,,,
5.86,,,,,,0.9997094116440464,,
5.882,,,,,,,0.9992770613520907,
6,0.9978828510938603,0.9999720633974634,,,,,,
6.7,,,,,,,,0.9987429780766854
8.3,,1.0,,,,,,
8.333,,,,,,,0.9996287612348573,
9.62,,,,,,,,0.9993537344914033
9.72,,,,,0.9997864996619578,,,
13,,,1.0,,,,,
17.4,,,,,1.0,,,
20,1.0,,,,,,,
21.013,,,,,,,1.0,
27,,,,,,1.0,,
36,,,,1.0,,,,
61,,,,,,,,1.0
