value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
0.92,,,0.004216867469879518,,,,,,
1,,,,0.01271921372133359,,0.012701363073110285,,,0.0032045575930211858
1.27,,,,0.014935440354596262,,,,,
1.28,0.003990877993158495,,,,,,,,
1.34,,,0.00783132530120482,,,,,,
1.44,,,,,,0.014250309789343246,,,
1.48,,,,,,,,,0.0037386505251913835
1.6,0.00855188141391106,,,,,,,,
1.86,,,0.01144578313253012,,,,,,
1.9,,,,0.02283677009057622,,,,,
2,,,,,,0.024163568773234202,,,0.005875022253872174
2.2,0.013683010262257697,,,,,,,,
2.4,0.01653363740022805,,,,,,,,
2.6,,,,0.030449026787434958,,,,,
2.66,,,0.015060240963855422,,,,,,
2.76,,,,,,,,,0.007477301050382767
2.9,,,,,0.002253267237494367,,,0.01643870802029153,
3,0.019954389965792473,0.009819967266775777,,,,0.03500619578686493,,0.02985937198998266,
3.1,,,0.01927710843373494,0.03719406436693005,,0.03531598513011153,,0.030565722725229564,0.009435641801673491
25.3,,,,0.22990942378107534,,,,,
33.1,,,,,,,,0.2244911064021062,
37.56,,0.2078559738134206,,,,,,,
37.86,0.2160775370581528,,,,,,,,
38,,,,,,0.2295539033457249,,,
40,,,,,,,0.20011737089201878,,
41.96,,,,,,,,,0.1627203133345202
51.4,,,0.21626506024096387,,,,,,
58.02,,,,,0.20189274447949526,,,,
72,,,,,,,,0.41873755859500417,
73.3,,,,0.42272114087492774,,,,,
77.48,,0.40589198036006546,,,,,,,
79,,,,,,0.42131350681536556,,,
80,,,,,,,0.4014084507042254,,
84.12,0.4122006841505131,,,,,,,,
85.8,,,,,,,,,0.31636104682214705
116.7,,,0.41204819277108434,,,,,,
121,,,,,,,,0.6134977204135362,
127.42,,,,,0.40153222172149616,,,,
130.28,0.6077537058152793,,,,,,,,
130.4,,,,0.6149547118905376,,,,,
131,,,,,,0.6161710037174721,,,
131.46,,0.6039279869067103,,,,,,,
132.4,,,,,,,0.5985915492957746,,
139.1,,,,,,,,,0.46928965640021364
160,,,,,,,,,0.7641089549581627
190.3,,,0.6072289156626506,,,,,,
191,,,,,,,,0.8056251204006936,
198.8,0.8038768529076397,,,,,,,,
202.28,,,,,0.6007210455159981,,,,
205.9,,,,0.8073809982655618,,,,,
211.52,,0.8019639934533551,,,,,,,
215,,,,,,0.8057620817843866,,,
218.908,,,,,,,,0.8445386245424774,
221.32,0.8432155074116305,,,,,,,,
222,,,,,,,0.7998826291079812,,
228.66,,,,0.8459240701483908,,,,,
228.84,,,0.686144578313253,,,,,,
235.3,,0.8428805237315876,,,,,,,
239.2,,,,,,0.8447955390334573,,,
240,,,,,,,,0.8837731972002826,
248.2,,,,,,,0.8400821596244131,,
249.74,0.8825541619156214,,,,,,,,
257.528,,,,0.8844671420312199,,,,,
259.8,,0.8821603927986906,,,,,,,
270,,,,,,0.8838289962825279,,,
275,,,,,,,0.880575117370892,,
276.728,,,,,,,,0.9222372054196365,
278.42,,,0.7644578313253012,,,,,,
284.38,0.9213226909920182,,,,,,,,
291.08,,,,0.9229138562343419,,,,,
292.88,,,,,0.8003605227579991,,,,
300,,,1.0,,,,,,
302,,,,,,0.9228624535315985,,,
302.1,,0.9214402618657938,,,,,,,
310.78,,,,,0.8404686795853988,,,,
311,,,,,,,0.920774647887324,,
328,,,,,,,,0.9612149232646247,
328.406,,,,,0.8801261829652997,,,,
341,,,,,,,0.960387323943662,,
344.76,,,,0.961456928117171,,,,,
346,,,,,,0.9618959107806692,,,
347.2,0.9606613454960091,,,,,,,,
347.5,,0.9607201309328969,,,,,,,
360.12,,,,,0.9202343397926994,,,,
402.44,,,,,0.9598918431726002,,,,
471.9,1.0,,,,,,,,
527.3,,1.0,,,,,,,
610.66,,,,,1.0,,,,
644,,,,,,,1.0,,
653,,,,,,1.0,,,
675,,,,,,,,1.0,
763,,,,1.0,,,,,
800,,,,,,,,,1.0
