value,emory_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
17,,,,,,0.0011475632381555726
23,,,0.0024702314917535687,,,
25,,,,0.0024594318380098544,,
27,,,,,0.0007146371751915462,
28,,,,,,0.002371148015747319
31,,,0.0035697556886818034,,,
32,,,,0.003489734364743712,,
35,,,,,,0.0034064889814018734
37,,,0.004846781549688139,,,
38,,,,0.0044369479780312915,0.0014702781227301483,
40,,,,,,0.0045269016697588125
41,,,0.005941375144836427,0.005533721635522172,,
42,0.009881422924901186,,,,,
43,,,,,0.0021644134117481664,
44,,,,,,0.005620163808317118
47,,,,,0.002849762178120387,
50,,,,,0.003511680217437147,
55,,,0.012272267830288687,,,
56,,,,0.011649065665168297,,0.011124485270826734
58.2,0.017786561264822136,,,,,
59,,,,,0.00720201972867218,
62,,,0.018016418903927224,,,
63,0.03162055335968379,,,0.01741543625834005,,0.01693651296438753
64,,,,,0.010766419081984113,
64.8,0.03359683794466403,,,,,
67,,,0.024717106722875526,,,0.021943074347255533
68,,,,0.024594318380098543,0.014749642681412404,
70,0.043478260869565216,,0.02967729211350245,0.02751904813340756,0.017136648000187445,0.026911624960405448
82,,,0.06296378472992628,,,
83,,,,,,0.06002805556812525
83.8,0.08498023715415019,,,,,
85,,,,0.06486751472750991,0.05418355631575248,
89.6,0.12648221343873517,,,,,
91,,,0.09633902817838917,,,
92,,,,,,0.0915987148739762
94,,,,0.10029662742100322,0.09268316970875606,
97,0.16996047430830039,,,,,
98,,,0.12749057022409585,,,
99,,,,,,0.12159283225485316
100,,,,,0.12680123714238853,
101,,,,0.13638214253072212,,
105,,,0.1621872149495846,0.15996277616677607,,0.15180596407077243
105.2,0.20948616600790515,,,,,
106,,,,,0.16782844021649992,
110,0.2509881422924901,,0.1899267805635678,0.19269980806460993,0.19925490287963635,0.18047332458482285
127,,,,,0.3682109468356803,
129,0.4051383399209486,,,,,
130,,,,0.35935124176381145,,
133,,,0.35338116017059884,,,0.3458726639214444
142,,,,,0.5193039902528176,
148,,,,0.5159821525013918,,
152,0.5533596837944664,,0.5131523802480092,,,
154,,,,,,0.5098656047784967
161,,,,,0.6810257972304881,
169,,,,0.6745739615963042,,
174,,,0.6797081083746271,,,
177,0.7035573122529645,,,,,0.6709045658174578
193,,,,,0.8382840507040934,
203,,,,,0.8709259823332318,
211,,,0.836077213223874,0.837802132061519,,
212,,,,,,0.8338042445359518
216.4,0.849802371541502,,,,,
218,,,,,0.9045930082710466,
222,,,,0.8705391639593529,,0.8672953527308928
224,,,0.8690481473263811,,,
229,0.8814229249011858,,,,,
236,,,,,,0.9003430019457894
238,,,,,0.9356738677101151,
240,0.9110671936758893,,,0.9052786386712421,,
243,,,0.9020979710573676,,,
257,,,,,,0.9347463686139644
261,,,,0.9363788189741843,,
265,0.9407114624505929,,,,,
271,,,0.9350787663634347,,,
274,,,,,0.9681342112045737,
285,,1.0,,,,
292,,,,,,0.9669957916647812
297,,,,0.9678612082789794,,
309,0.9703557312252964,,,,,
317,,,0.9672953183936099,,,
529,1.0,,,,,
600,,,,1.0,1.0,
700,,,1.0,,,
826,,,,,,1.0
