value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
0.9,0.0002917812515956787,0.0002372739053459636,0.00041506962144353433,,0.00033257948649727286,,0.000251961389089203,0.0005162790950442641,0.00016218649769443504
0.97,,,,,,0.00017789125612155206,,,
1,0.0005835625031913574,0.0005156144481556517,0.0008690520198974,0.0003540202257344755,0.0008148197419183185,,0.000503922778178406,0.0010434272236684076,0.0003383545900177007
1.02,,,,,,0.0003453183207065422,,,
1.046,,,,,,0.000460424427608723,,,
1.07,,,,,,0.0006487798752668369,,,
1.09,,,,,,0.0007638859821690176,,,
1.1,0.0011963031315422828,0.0009719104199748125,0.001504627377732812,0.0008338107948219884,0.0015631235865371824,,0.0010252222038802054,0.0018694737757392302,0.0007633950667341511
1.182,,,,,,0.0014022016658992926,,,
1.2,0.0021810648556776983,0.0020442059537498403,0.002723894390723194,0.0017235195200231044,0.002743780763602501,,0.002146015969139074,0.003641126249259547,0.00152119749561677
1.22,,,,,,0.0021346950734586244,,,
1.26,,,,,,0.0029509020133104517,,,
1.29,,,,,,0.0035055041647482315,,,
1.3,0.003939046896541663,0.0039971527131358485,0.005220797582219455,0.0036799470832925745,0.005055208194758547,,0.004144330434329305,0.006863794705693743,0.003204581488927975
1.7,,,,,,0.07771755054204513,,0.07557239048090039,
1.8,0.1196084295603586,0.12401668218072971,0.15912731612091496,0.14568863921146652,0.14729945456964214,,0.1699262361312632,,0.10294368493315399
1.82,,,,,,0.13737390649198442,,,
1.9,0.20067255578492804,0.1994241544835642,0.25636386040689796,0.2339561294409741,0.24288279898895837,,0.277739645690157,0.17724133058709085,0.167424003042395
1.94,,,,,,0.21492402996944457,,,
2,0.3009942446148123,0.29024986767416816,0.36861425115603375,0.3447924090610545,0.3593355061859784,,0.3944412104572665,0.2530474052899586,0.24516166917869317
2.02,,,,,,0.26967268008873635,,,
2.09,,,,,,0.3296011050186263,,,
2.1,0.4071734420704798,0.38851776816514266,0.47557898969459955,0.4440950823795749,0.4745576692829586,,0.5036795051130786,0.34084202403143327,0.32933086884425344
2.2,0.6154250158656056,0.5831006223877055,0.6771147472939406,0.6432966736073263,0.6870925901290409,,0.7048228885201178,0.5263492546560222,0.5000517319001266
2.26,,,,,,0.4743104097777406,,,
2.3,0.7076935421514491,0.6700204420595375,,0.7308281744201754,,,,0.6223608627838856,0.5946064600559823
2.4,0.781302657397749,0.7445381372173246,0.8131732721105641,0.8013527299151749,0.8228681654915525,,0.8348784069089551,0.7141607203995457,0.7027093534071748
2.43,,,,,,0.6097170482608514,,,
2.6,0.8747893704090044,,0.887840405730555,0.8885767921109388,0.8944060130371159,,0.903307644856078,0.8408230032226685,0.8631090033080453
2.62,,,,,,0.7332468293499644,,,
2.7,0.9388499441968357,0.8814953731588457,0.9424480028017199,0.9478658635997336,0.9454403352401224,,0.9495121506207808,0.9318022488030476,0.9561061818222492
2.8,0.9562474013232279,0.9372775557137382,0.9591091568249768,0.9634427535320504,0.9616702141811893,,0.9634047803157337,0.9552521887516372,
2.9,,0.9539734253226012,,,,,,0.9700177708699032,0.9818490938528521
2.94,,,,,,0.8610250722029216,,,
3,0.9773869530013349,,0.9789157603232355,0.9823083050350061,0.9807935346547825,,0.9807727395153653,,
3.04,,,,,,0.894050060692311,,,
3.16,,,,,,0.919174584571596,,,
3.2,,0.9813192429137235,,,,,,,
3.33,,,,,,0.9446444267715877,,,
3.67,,,,,,0.9727407810472563,,,
9.4,,,,,,,1.0,,
9.5,,1.0,,,1.0,,,,
9.57,,,,,,1.0,,,
9.6,,,1.0,1.0,,,,,
9.8,,,,,,,,,1.0
9.9,1.0,,,,,,,,
10,,,,,,,,1.0,
