value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
0.2,,,,,0.003393548829397045,,,
0.5,,,,,0.0068899324718061225,,,
0.7,,,,,0.009700750694134988,,,
0.741,,,,,,,0.05745416610320113,
0.8,,,,,,0.02178217821782178,,
0.9,,,,0.02153963651117555,0.01542522195180475,0.026560837901972015,,0.060493015391634576
1,0.060402159455441674,0.04661342506114796,0.09531866892272983,0.05109846179548682,,0.03145405449635873,,0.08846499644395539
1.202,,,,,,,0.0861232926994185,
1.3,,,,,0.03133033969766565,,,
1.4,,,,,,,,0.09574482360676856
1.5,,,,,,0.04520088372473611,,
1.6,,0.055903685794641535,0.10941906373378454,,0.04524731772529394,,,
1.695,,,,,,,0.11544925912331201,
1.8,,,,,0.05721043430569362,0.05994599459945995,,
1.9,,,,,,,,0.14246990781122099
2,0.1315233549800485,0.09088666304830513,0.1792544736707173,0.11911836656762013,0.07123024714633394,0.07254725472547255,0.14361609643954176,0.1592168650447525
3,0.2913700023472342,,0.3409731836127775,0.2502058497118104,,,,
3.2,,,,,,,,0.27113833684464783
3.211,,,,,,,0.2562254892490775,
3.3,,,,,0.19411784869571178,,,
3.4,,0.20974279088454842,,,,,,
3.6,,,,,,0.19520497504295883,,
4,0.39410061810499963,,0.45090498897605497,,,,,
4.1,,,,0.35588730175777755,,,,
4.278,,,,,,,0.3689894326063018,
4.5,,,,,0.321427347204607,,,0.38375088901115123
4.6,,0.3253423933346961,,,,,,
4.9,,,,,,0.3270272481793634,,
5,0.4858774743760269,,0.5508896067271701,,,,,
5.357,,,,,,,0.4818886076927535,
5.5,,,,0.47430160264442295,,,,
5.6,,,,,0.44308093099784046,,,
5.7,,0.43719205746146095,,,,,,0.5078702647575851
5.9,,,,,,0.4470010637427379,,
6.3,,,0.6518997077372712,,,,,
6.593,,,,,,,0.5939377547669185,
6.7,,,,,,,,0.605131439460018
6.8,,,,,0.5688821855825592,,,
6.9,,0.5576130091845294,,0.5893745748755952,,0.5643891661893462,,
7,0.6329708160550818,,,,,,,
8,0.6943901103200063,0.6679683369869387,0.7689073475875506,0.7048532798720748,0.6844685154080828,0.6834465264708289,0.7063346405733826,0.7138658901517693
8.6,,,,,,0.7496113247688405,,
8.7,,0.7362284924825014,0.816899964108086,0.7671213260301436,0.7478490384944984,,,0.7711047892540358
8.911,,,,,,,0.7654695438826962,
9.4,,,,,,0.8128140086735947,,
9.7,,0.8045591355405338,,0.8232556474420936,0.8105439961608336,,,
9.8,,,,,,,,0.8320473423598718
9.9,,,0.8620725016664103,,,,,
10,0.8431265159220718,,,,,,0.8249521859243089,
10.5,,,,,,0.875525734391621,,
10.9,,0.8663626303138812,,,,,,
11,0.871684531726782,,,0.8877313571761,,,,
11.1,,,,,0.8762554416755219,,,0.8861730250533407
11.2,,,0.9076039583653797,,,,,
11.65,,,,,,,0.8825609025751985,
12.2,,,,,,0.9357990344488994,,
12.7,,,,,,0.9486621389411668,,
13,,0.9337064474973391,,,,,,
13.4,,,,,0.9371679292496486,0.9620325668930529,,
13.5,,,,0.9405720831990835,,,,
13.6,,0.9473034982977254,,,,,,
13.7,,,,,,,,0.9429355483689161
14.1,,,,,0.9501251156891647,,,
14.2,,,,0.952565066408907,,,,
14.286,,,,,,,0.941348067152213,
14.4,,,,,,0.9748465755666476,,
14.5,,,,,,,,0.9544625005032139
14.6,,0.9611049630292735,0.9538019791826898,,,,,
15,0.9322431734606056,,,,,,,
15.3,,,,,0.9632879717547047,,,
15.507,,,,,,,0.9530939087765392,
15.6,,,,0.964617716201864,,,,
15.9,,,,,,,,0.9659760336012667
16,0.9521164228151162,0.9737222367113323,0.9670307132236067,,,,,
16.4,,,,,,0.9872187218721872,,
16.77,,,,,,,0.9648397504008654,
17,,,,,0.9749768621670722,,,
17.7,,,,0.9763004331793935,,,,
18,0.9636961114153823,,0.9742603701994565,,,,,0.9774828571811972
18.987,,,,,,,0.9765469543882697,
19.1,,0.9868470208431722,,,,,,
20.6,,,,,0.9875227093545401,,,
21,0.9743369063453564,,0.9821053171306978,,,,,
22,,,,0.9882456831227103,,,,
23.333,,,,,,,0.9882734771941348,
23.5,,,,,,,,0.9886072382281504
30,0.9870119708942963,,0.9910270214838742,,,,,
81,,,,,,1.0,,
85,,,1.0,,,,,
89.362,,,,,,,1.0,
91,,,,1.0,,,,
92,,,,,1.0,,,
95,,1.0,,,,,,
96,1.0,,,,,,,
100,,,,,,,,1.0
