value,sunnybrook_probability,ucmc_probability
11,,0.02606820644303078
13,0.020030221810440865,
17,,0.0515678470665222
21,0.039839846464379075,
23,,0.0783011682418443
28,0.058502365904503494,
29,,0.10469120439404829
33,,0.12725146700709097
35,0.07838919956321763,
41,0.09674288298423833,
54,,0.2493643863243829
70,0.1912025853986742,
79,,0.37494233884377315
97,0.2850335859170775,
110,,0.49711962410289967
123,0.3773534959134377,
150,0.4694638386111203,0.620970423849727
174,,0.686924058916292
176,0.5574931339135039,
201,,0.7488011843333298
205,0.643492935376063,
233,,0.811933445616143
239,0.7269117501075412,
277,,0.8759239194567514
283,0.8131762681579034,
350,0.898128233127075,0.9384876149200253
374,0.9191621719996029,0.9511033395196156
404,0.9389387070800658,
405,,0.9633543237821427
448,0.9592115857626595,
451,,0.9753907549052212
530,0.979462404729603,
531,,0.9876739221386657
556,0.9836647805609786,
560,,0.9902056491841617
589,0.987690678667152,
594,,0.9926515549738781
640.6,0.9917827559202762,
641,,0.9950760054496497
727.8,0.9958858630312255,
735.4,,0.9975326388963387
1794,,1.0
1935,1.0,
