value,mimic_probability,nu_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
7,,,0.012241196917031887,,,
8,,,,0.005778214900417998,0.008272276057669581,
9,,,0.02111984282907662,,,0.013352620451763659
10,,,,0.01235554462748955,,
11,,,0.03313435091431162,,0.013550776018277791,0.019806387003449426
12,,,,0.018994344725842143,,
13,,,0.046244521686564906,0.02249815588886157,0.018908059560387616,0.0273728719261155
14,,0.19818652849740934,0.052025086897385525,0.02643225965084829,0.020326164027416688,0.03204628908423278
45,,,0.24459724950884087,,,
48,,0.3601036269430052,,,,
51,,,,0.2245512662896484,,
53,,,,,,0.2302214309558251
60,0.22457807403205218,,,,,
75,,,,,0.21657606554793982,
98,,,0.43157775426930634,,,
103,,,,0.4180599950823703,,
112,,,,,,0.42127517525314345
117,,0.5207253886010362,,,,
140,0.41618210182952775,,,,,
212,,,,0.611261372018687,,
240,,,0.6208629288197068,,,
248,,,,,,0.6126627350617558
249,,,,,0.4125108327424565,
250.2,,0.6787564766839378,,,,
320,0.6014749680896326,,,,,
584,,,,0.805015982296533,,
707,,,,,,0.8061644597752309
759.4,,0.8393782383419689,,,,
760.2,,,,0.844049668059995,,
847,,,0.8102614477860057,,,
960.4,,,,,,0.8449983309224435
988,0.7999574528435683,,,,,
1000,,0.8730569948186528,,,,
1085.4,,,,,0.6081304656109666,
1105.4,,,,0.883021883452176,,
1166,,,0.8483829529998489,,,
1340,0.8405190753084669,,,,,
1470.8,,,,,,0.8837209302325582
1482,,0.9041450777202072,,,,
1643.4,,,0.8861644249659967,,,
1737.6,,,,0.921994098844357,,
1780,0.8803715784995036,,,,,
2362,,,,,,0.9224435295426727
2381,,,0.9241725857639413,,,
2582,,0.9352331606217616,,,,
2620,0.9200113459083817,,,,,
3212.4,,,,0.960966314236538,,
3952.8,,,0.9620296206740214,,,
4270,0.9600056729541909,,,,,
4424,,0.9676165803108808,,,,
4923.8,,,,,,0.9611661288527874
5227.2,,,,,0.8040652328054834,
7187.6,,,,,0.8432994563932876,
9510,,1.0,,,,
10000,1.0,,1.0,1.0,1.0,1.0
