value,sunnybrook_probability
0.1,0.009661729427559038
0.2,0.012049651165349826
0.3,0.013920373264079935
0.5,0.017287673041794134
1.7,0.031791271430772275
3,0.04801153245152629
3.9,0.06381363206197592
4.5,0.07910953628100446
6.4,0.15535796817571582
7.8,0.23133129387943746
8.9,0.30377225609085107
10,0.37860114004005546
11,0.4459691440896186
12.7,0.5576292448885269
14.8,0.66782578075137
17.9,0.780003081189339
23.1,0.8888901115830711
24.9,0.9119880273785681
27.3,0.9337984462002333
30.8,0.9555868565266192
38,0.9779364834826243
426,1.0
