value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
9,,,0.10105263157894737,,,,,,
10,,0.32776776564542914,0.28541353383458645,,,0.1330532212885154,0.3497413155949741,0.11365937284863865,
11,0.15190185561925898,,,,,,,,
12,0.2696504531163307,0.46475140464327364,0.4619548872180451,,,0.3700980392156863,0.527790096082779,0.28753661532646696,0.23700722086926929
13,0.3629862523888786,0.5042757694618184,,,,,,,
14,0.491769927871278,,0.5825563909774436,,,0.6092436974789915,0.6023651145602366,0.4009935071070855,
15,0.5931816780716356,0.6768790416622495,0.7464661654135338,0.1472537605901677,,,0.7861049519586105,,0.5081248072485192
16,0.7076629061093644,0.7335948266723206,0.8081203007518797,,,0.811624649859944,0.8288248337028825,0.5143019127711559,
18,0.8456938536465076,,0.9037593984962407,0.20632816552360095,0.16832629912951727,0.9313725490196079,0.908130081300813,,0.7032052577286697
19,,0.8126788932471112,,,,,,,
20,0.9268232538067936,,,0.33239198509211765,0.3372461092060142,,,0.62141439775381,0.825960035306754
22,,0.9180889784091311,,,0.44114349775784756,,,,
23,,,,0.4314064511171306,,,,,
24,,,,,0.5696056449485624,,,,
25,,,,0.5505734539795977,0.6167238195726721,,,0.7565907587640556,0.9287484181085364
27,,,,0.6170249553339865,0.7028983117910842,,,,
29,,,,0.7018039306091868,,,,,
30,,,,0.8097131769542582,0.916974413083619,,,0.8591406703473226,
34,,,,0.910322171632759,,,,,
36,,,,,,,,0.9037944952146975,
40,,,1.0,,,1.0,,,
43,1.0,,,,,,,,
60,,,,1.0,,,,,
80,,1.0,,,,,,,
97.4,,,,,,,,,1.0
100,,,,,1.0,,1.0,1.0,
