value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
5,,0.6241010497059335,0.5699879042247774,0.6475597693662396,0.23577548859150863,0.38082344456828165,0.729074097747999,0.5205134628527228,0.39853479379950935
5.1,,,,,,,,,0.41969469394658476
6,0.6968207417012839,,,,,,,,
7.5,,,,,,,,,0.6099008338403274
8,0.8604503886430289,0.7782614090378936,0.7262201431090515,0.7899688789172759,0.7803489793477277,0.7245033763849734,0.8772218033928761,0.7360377702624009,0.720650966951526
10,0.9461026379475426,0.9185696205672879,0.8686697561899765,0.9074449349834744,0.8969720308894277,0.9124237854848226,0.9597103426687806,0.8649308783102269,0.8716272100027443
11,,,,,,,,,0.9021718199620206
12,,,0.9256109823809732,,0.9489017448967386,,,0.9247847020328874,
24,,,,,,1.0,,,
30,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
