value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
0,,0.360564266910839,,,,,,,
3,,0.4153885773148678,,,,,,,
5,,0.5568845141352867,,,,,,0.10846394984326019,
7,,0.6214089504406547,,,,,,,
10,0.16876425995436814,0.7742646217237038,0.12514156285390712,0.10705493092471499,,,0.10718082536000773,,0.13113161728994657
12,0.2595495694413778,0.8165846400366259,,,,0.7091486638229567,,,
13,,,,,,,,0.20175548589341694,
14,0.3554132626775594,,0.24858437146092865,0.2013140769315206,,,,,0.21268047154399752
15,0.4294546257451976,0.9002804166189767,0.4765949414873537,0.36199840052688526,,,0.43994808709218686,,0.37493929091792133
16,0.5097519687936999,,0.5296338240845602,0.40474510357372473,,0.8284333930036999,,,0.41812000529824717
18,0.6092956502539192,,,0.5117843533894717,0.16422525479357403,,0.5501249499509865,,0.551238465274405
19,,,,,,,,0.3039498432601881,
20,0.736917641863546,,0.6840317100792752,0.7119850715842624,0.3349455864570738,0.9178966377098183,0.7301495257424512,,0.7369420283456223
22,,,0.7351830879577199,,0.43945413715667647,,,0.40664576802507835,
23,,,,,,,0.8044567783622583,,
24,0.862883638772356,,,0.8266296592495022,0.5698911729141475,,,,0.8293964413439887
25,,,0.8178557946394865,,0.6155985489721887,,0.9117480567176132,0.7226332288401254,
26,0.9186354603665269,,,0.9069326182747643,,,,,0.9085169323148925
27,,,,,0.7029711521851788,,,,
28,,,0.9037372593431483,,,,,,
30,,,,,0.9179478320953532,,,0.8841379310344828,
32,,,,,,,,0.9058934169278997,
43,,,1.0,,,,,,
45,,1.0,,,,,,,
46,1.0,,,,,1.0,,,
50,,,,1.0,1.0,,1.0,1.0,1.0
