value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
7,,,,,,,0.025394568877492585,,
8,,,,,,,0.055226801182543944,,
9,,,,,,,0.08238380200788131,,
10,,,,,,,0.10571606867306714,,
20,,,,,,,0.20182726500965206,,
39,,,0.008590137710852666,,,,,,
40,0.006159020137767079,,,,,,,,
43,,,,,,0.0073315583408327546,,,
44,,0.0074449283161721795,,0.004905761861983985,0.006164619223598615,,,,
46,,,0.0175628197552227,,,,,,0.004234805184652374
47,,,,,,,,0.00848242688727404,
48,0.012098183128319564,,,,,,,,
49,,,0.025863367830422028,,0.011574807019870124,0.014518568255611354,,,
50,,0.016372481151002823,,0.010409542850990806,,,,,
51,,,0.034188431430332754,,,,,,0.008921220548053731
52,0.018470416378632663,0.02219845337579671,,,0.01812578658049383,0.02230553185272225,,0.018680409301806648,
53,,,0.045860885633545,0.015843801937111227,,,,,
54,0.023464616438368575,0.030911130927884927,0.0535117723038924,,0.02461046762174637,0.030453089372892973,,0.026588761011760886,0.014482936010606906
55,,,0.06238639224941686,0.021454154118943913,0.02895073448471762,0.03588142677067936,,0.03191491135639548,0.01722400737374023
56,0.030588229609382102,0.04377736710732774,0.07261753789563843,0.025084330722012202,0.03415516825535446,0.042145969041768275,,,
57,0.035422368833920574,,0.08430888948248239,0.029424110195921005,0.04024205818037998,0.04951716162845459,,0.04609943430780586,0.024527597953863868
58,0.04129569548093902,0.06264935997328916,,0.03468489143032489,0.04739658288286538,0.0584006726941806,,0.05538226175918039,0.02928835100511185
59,0.048478500960818016,0.07229157097573985,,0.040973245618049714,0.055792490206679916,0.06877629654498175,,0.06646887070908365,0.03512926905112653
60,0.057314463066868285,,,0.048795876283267536,,,,0.0795719433528628,0.0421281798120478
61,,,,,,,0.3147221722824084,,
62,,,0.1736460152312912,,,,,,
63,,0.14167433687307635,,,0.10410810773738013,0.1297796180502127,,,
64,0.11333998340803342,,,0.09900529194622536,,,,0.15586694371440737,0.08487863238198542
65,,,0.25182398057553257,,,,,,
