value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
1,0.003938556111713549,,,,,,,,0.009966053331390431
2,,0.006553558692788308,,,,,,,
3,,,,0.004431068322799723,,0.011521300653994255,,,
4,,,,,,0.012289132693600636,,,0.011603048593806096
5,0.00532714777125868,0.00904873050408304,0.008520019653614904,,0.008532317254495724,,,,0.012426768402228951
6,,0.010618890110355623,0.00986035277844101,0.005745535646717154,,,0.006975303389116389,0.006472858436150513,
7,0.007564004050298386,0.012871350385873146,0.011934243266762304,0.006629799671998844,0.010485829033407078,,0.00809815963653496,0.008240225659903209,
8,0.009692565117164216,0.01638094530413943,0.015756437249520007,0.008573025663153126,0.013777192472215233,,0.010508875960706258,0.012413503651548042,
9,0.012842318436757176,,,0.010798436286686247,,0.024850762993297068,0.01336738569593219,0.018285445999546224,
10,0.02153265014470481,0.040301573423538226,0.03233818819717548,,0.02852493194733557,,,,0.032524852215530704
11,,0.05135467065190444,0.045194927946611625,0.025644939390588938,0.04160411485786551,0.04387466128802233,0.03239990286567028,0.04634972492644862,0.04235802315802799
12,0.053374027820666574,0.07501835093657486,0.0662135416563893,0.0490039267274253,0.06487959661844432,0.06103691705885948,0.06090924374282648,0.07996321120571848,0.06078689779645514
14,,0.14900231322496615,0.14741888444029622,0.12526714547413045,0.14807148715904225,,0.14755233942221677,0.1803639342519175,
15,0.16149343980926253,,,,,0.16082834178839925,,,0.16128625119024745
16,0.2200797133193057,0.23938406131747572,0.24026494888284197,0.2154784940678377,0.2491227496871048,,0.23874186136772607,0.28529623852736996,0.20852845715367183
17,,,,,,0.2482185787339812,,,
18,0.32172956358753024,0.3316614941447144,0.34736037744412235,0.3160457621383644,0.3528915438233016,0.3072334107532139,0.334219926236024,0.38708899024381843,0.3053636038408547
19,0.36398394243405696,0.371673133187174,0.3960849643926224,,0.39968759497145545,0.35915693824745837,0.3744922759528193,0.42592408164671225,0.3480524487795646
20,0.43304267894203907,0.4397193435191159,0.46137699619359207,0.4294778275990423,0.4608523167316421,0.423517307418047,0.4416695896904777,0.49442271245659736,0.41552461426041953
21,0.5447579515831352,,0.5743818286938831,0.5443844360296417,0.5663393385248339,0.5410465436098038,,0.5992273454634767,
22,,0.5944568018605801,,,,,0.6003171394355001,,0.5799080569637607
23,,,0.6740617668126218,,,0.6475523602876759,,,
24,0.6909085163986814,0.6733724264417378,,0.6910824782070091,0.7032903830883002,,0.6840778569012074,0.7311879568179078,0.670843024247135
26,0.7700168762432764,,0.8014782636149628,0.7636647266900743,0.775021976190554,0.7789038465456471,,0.7975289057486515,
27,,0.7741909441860692,,,,,0.7857056871319844,,0.7753862303392892
29,,,0.8787721226496072,,,,,,
30,0.8709997199261754,,0.9234895230051877,,0.8784169299997059,0.885230120408288,,0.894282386381931,
31,0.9116190421475199,,0.9360335019150435,0.8874119231216188,0.9192635606984016,0.9234638265794675,0.8842871730796771,0.9309255380726206,0.8802508205424596
32,0.9269050406107046,0.8880181405171318,0.9540414225586402,0.9213492427318859,0.9365085797008624,0.9388523012040829,0.918188195688315,0.9465817421849084,0.9161119519026153
33,0.9381183347815784,0.9169975159394465,,0.932563516554105,0.9459853012780503,0.9502895605403092,0.9304493292957553,0.9550059866967286,0.9276359757424206
34,,0.9289811810016938,0.9729540803943352,0.946538582206925,0.9579227026302805,0.9606291893323554,0.942853154893972,0.9649323342276562,0.9430373717876847
35,0.95738339234034,0.9527995508274067,0.9804016362226383,0.9570389289092256,0.9675850372369801,0.968480685777153,0.9557519919801912,0.9717007834747702,0.9557418593492765
36,0.964235290738174,0.9610086869201746,,,,,,,0.9666049946412911
37,,0.9675962738397242,0.9886399737951801,0.9708205698231241,0.9795302813932741,0.9793347493022024,0.9708218228460773,0.9812937255374736,
38,0.9744374465884854,,,,,,0.9776367923255578,,0.9793087271893097
39,,0.9777104697909208,,0.9800226106849981,,,,,
40,,,,,0.9899409502210691,0.9889141861744393,,0.9897177828480203,0.9886497551176393
41,,,,,,,0.9896011265921831,,
43,0.9887088596686511,0.9893995129102398,,0.9902882310794563,,,,,
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
