value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
41,0.002559919862415722,,,,,,,
45,,,0.002643755491738007,,,0.001720224174998109,,
48,,0.0028138578173087007,,,,,,
49,,,,,,,,0.0027534464584668167
54,0.0050429120714154275,,0.005232432744064805,,0.0027005485698001637,0.0033297176914061314,,
55,,,,,,,0.003359652034728637,
57,,0.005461029075639687,,0.0027889119571000826,,,,
58,,,,,,,,0.005473685660941515
60,,,0.007906558479964132,,,0.005031226825515774,,
61,0.007543890961969237,,,,0.005433379047483347,,,
62,,0.008820392244923569,,,,,0.006448966148585244,
63,,,,,,,,0.008576979517599156
64,,0.010695930536364324,0.010654808201613124,0.005576989285453464,,0.006710901745255542,,
65,0.010032694252701807,,,,0.008309808356784099,,,
66,,,0.012468786852875727,,,,0.010149292893553067,0.011464081736698151
67,,0.014092876807153558,,,0.010350247568838386,0.00838199893792143,,
68,0.01278437981230206,0.01595646398681855,,0.00838509770372766,,,0.012970409771431428,0.014039779812468567
69,,,0.0158934179444904,,,,,
70,0.015259900630502367,0.019589601966649793,0.017367661661067044,,0.014393278238877214,0.010612987770500572,0.016715690899168696,0.017307456475759393
71,,0.0212544232873074,,0.01163681130087323,0.016163217326256547,0.011515208699998674,0.019010505105304113,0.01927867226091809
72,0.01843607187477949,0.024145648828217077,0.020749568510895454,,0.01817471413813985,,,0.021484956837456683
73,0.020310007374539436,0.026157052390371745,0.022689146138011655,0.01469781222939771,,0.01367835550935713,0.02444050524444863,
74,0.022436586570590115,,0.024803223981580188,0.01656153822078017,0.023040376874576995,0.014975151884253711,0.027600920677991605,0.02665302551171555
75,0.02481802320835357,,,,0.02586448722972251,0.01633823069563027,0.03111118518560426,
76,,,,0.021015117213174613,,,,
77,,,,0.023725991382458192,,,,
78,,,,0.026875462958132937,,,,
80,,0.05316231921388103,,,,,,
81,0.04603123871508681,,,,,,0.06162251988275775,0.05492907288372638
82,,,0.053961746875854165,,0.05772895664873722,0.032940031550439765,,
83,,,,0.05177285578658543,,,,
85,0.06944740763493125,0.08370731664360574,0.07380432606111831,,0.07968733302461439,,0.09379961323940211,0.08105849850842926
86,,,,0.07558064078622027,,0.05097353303321686,,
88,0.09307637283346962,0.11001595945176476,0.10048896093099727,,0.10695330032415488,0.06327477345053108,0.125330219758124,0.10605763732440458
89,,,,0.10777310617520944,,,,
90,0.11249811485741404,0.13018361782483162,0.12277093989728681,0.1210361915890288,0.12879813343782281,0.07899150882999023,0.15042501004975103,0.1261433423585419
96,,,,0.2286223409249773,,,,
97,0.2102117309137096,0.23025342175269028,0.24064454923608541,,0.23517369892779538,,0.273355827854072,0.22737325093524585
98,,,,,,0.18063523527535674,,
102,,,,0.34028648631730496,,,0.36595390524380644,
103,0.30313729234030246,0.3254432407892703,0.3531189468628825,,0.33096413813984965,,,0.3236573452107834
104,,,,,,0.27932354484708644,,
108,,,0.4509003233144128,0.45294258797508635,0.41361695401275245,,0.4796013371941095,
109,0.4030129075194014,0.42730759850114186,,,,,,0.4265907446830498
110,,,,,,0.3905018048317557,,
114,,0.5129618456039015,0.560157534059714,0.5573913678521872,0.5104537723079116,,0.5856696742779738,0.5111986992676492
115,0.502608207184434,,,,,0.4823263731576407,,
120,0.5804288301600676,0.6051141952317894,0.6554588454880369,0.648648840387685,0.599758887543191,0.5683672140556195,0.678036251887052,0.6054217390405721
124,,,0.7245619607029631,,,,0.7449370890936233,
125,0.664859143529568,0.686438994842309,,0.725827795223837,0.679815792754604,0.6628321627335189,,0.6900217018374223
130,,,0.7933186492344897,,,,0.8105241573996672,
131,,,,0.7902682288134709,,0.7423983792774591,,0.7614569855803347
132,0.7487268888436915,0.7672487958861757,,,0.7601287268906066,,,
137,,,,,,,0.8696651647723389,
138,,,0.863811074432321,,,,,
139,,,,0.8586944319829736,,0.8262121303097105,,
140,,,,,,,,0.8445620706997637
141,0.8332792349295821,0.8455795274939257,,,0.8411741263847825,,,
149,,,0.9278320638742857,,,,0.9347425971675987,
150,,,0.9366816441729539,,,,0.9424770445949006,
151,,,,0.9270926750894618,,0.9118537170020687,,
152,,,0.9445058426687517,0.9355303544042316,,0.9225649587372338,0.9494802952249118,0.9178951284542092
153,,,,,0.9159891176575357,,,0.9270495835314057
