value,sunnybrook_probability,ucmc_probability
0.07,,0.0253592743412406
0.11,,0.04602158877900588
0.16,,0.07424643957511903
0.19,,0.09165535518066059
0.2,0.027031809936734062,
0.23,,0.1141059616917674
0.3,0.056260968308041705,
0.32,0.05909540031559232,
0.4,0.09709920512026428,
0.42,,0.23368452804171244
0.6,0.2073117137843059,0.3465839312261651
0.74,0.2825819581471486,
0.79,,0.4575873138991231
0.9,0.4039257325723724,
1,0.46746302113288796,0.5686122422597117
1.13,0.5737851907563892,
1.18,,0.6554629090987439
1.32,0.6780191420017991,
1.39,,0.7335444810721135
1.6,0.7964812930436963,
1.69,,0.815999827634499
2,0.8953649220604935,
2.17,,0.8989507250123888
4,0.9924582282587857,0.980630426820072
4.24,0.9939683522836201,
4.362,,0.9845086505935837
4.66,0.9954696279254966,
5.024,,0.9883653286794648
5.4,0.9970092465601911,
6.088,,0.9922220067653459
7.8,0.9984751286702355,
8.76,,0.9961002305388577
9.204,0.9987818726127801,
9.77,,0.9968974209811906
11,0.9990945154772966,
11.58,,0.997673065735893
14.548,0.999389461575897,
15.23,,0.9984487104905954
20.796,0.9996932560574555,
23.84,,0.9992243552452976
49.68,1.0,
49.9,,1.0
