value,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability
14.98,,0.00018818924310286424,,,,,,
24.44,,,,,,0.0060967439367546564,,
25.18,,0.00033874063758515565,,,,,,
28.98,,,,,,0.01212649068739113,,
30.52,,0.000489292032067447,,,,,,
31.2,,,,0.016292888633314167,,,,
32.3,,,,,,0.018424226182500336,,
32.8,,,0.024003606175575672,,,,,
33,0.011496746203904555,,,,,,0.011347538027846544,
34.6,,,,,,0.024386975747018626,,
35.7,,,,0.032489936745255896,,,,
36,,,,,0.014483757500517277,,,
36.9,,,0.04857067728485031,,,,,
37.3,,,,,,0.030349725311536915,,
37.94,,0.0006398434265497384,,,,,,
38,0.023969631236442517,,,,,,0.02209884139681086,
38.8,,,,0.04859114433582519,,,,
39.4,,,0.07223620450020661,,,,,
39.58,,,,,,,,0.024875621890547265
39.7,,0.0008280326696526026,,,,,,
40,0.031561822125813446,,,,,,,
41,,,,,0.029588247465342436,,0.032544872620427476,
41.4,,,0.09620224634686901,,,,,
41.6,,,,0.06545907609737397,,,,
41.88,,,,,,,,0.0472636815920398
43,0.046203904555314534,,0.11949213027309268,,,,,
43.3,,,,0.08088940003833621,,,,
43.78,,,,,,,,0.06965174129353234
44,0.05216919739696312,,,,0.04055452100144837,,0.0465635419200664,
44.76,,,,,,,,0.09203980099502487
45,,,,,,,0.0526689848270204,
46.1,,,,,,0.06069945062307383,,0.11691542288557213
47,,,,,0.05938340575212084,,,
48,,,,,0.06662528450237948,,,
48.6,,,0.2392472108485782,,,,,
49,,0.0016937031879257782,,,,,,
50,0.10325379609544469,,,0.16350392946137626,,,,
51,,,,,,,0.10110231863734147,
51.8,,,,,,,,0.236318407960199
52,,,,,,0.09118317030684711,,
52.8,,,0.35862664813493106,,,,,
53,,,,,0.13262983654045107,,,
54,0.15607375271149673,,,0.24305156220049837,,,,
54.3,,,,,,,,0.35074626865671643
54.44,,0.002484098008957808,,,,,,
55,,,,,,,0.15298427371463733,
56,,,,,0.19697910200703497,,,
56.2,,,,,,0.12139890124614766,,
56.4,,,0.4767664625671462,,,,,
57.1,,,,,,,,0.4651741293532338
57.3,,,,0.32604945370902816,,,,
57.92,,0.0033121306786104104,,,,,,
58,0.21789587852494577,,,,0.24539623422304987,,0.20284380082900466,
60,0.2543383947939262,0.004140163348263014,0.5947560196837084,0.40415947862756374,0.2985723153320919,0.15114565188262094,0.24133671040644125,0.5796019900497512
61.82,,,,,,,,0.6592039800995025
62,,,0.6619586041095376,,,,,
62.6,,,,0.47920260686218136,,,,
63,,,,,0.4061659424787916,,0.3300111138140416,
63.8,,,,,,,,0.7388059701492538
64,0.34696312364425164,,,,,,,
64.1,,,,,,0.19134396355353075,,
64.2,,,0.7268322001427444,,,,,
64.8,,0.006022055779291656,,,,,,
65.1,,,,0.5544374161395438,,,,
66,,,,,0.5030002069108215,,,0.8159203980099502
66.7,,,0.7941850418842268,,,,,
67,0.4165943600867679,,,,,,0.4340421370958125,
67.4,,,,,,0.23147527803832238,,
68,,,,0.629384703852789,,,,
68.1,,0.007866310361699725,,,,,,
69,,,,,0.6085247258431616,,,
69.3,,,,,,,,0.8930348258706468
69.9,,,0.8597347958378724,,,,,
70,0.4887201735357918,,,,,,0.5217005566446775,
70.2,,,,,,0.27160659252311403,,
70.9,,0.009710564944107795,,,,,,
71.1,,,,0.7015526164462335,,,,
72,,,,,0.691495965238982,,0.579032096504157,
72.6,,,,,,0.31173790700790566,,
73,0.5674620390455531,0.011592457375136438,,,,,,
74.7,,,,,,,,0.9701492537313433
75,0.6212581344902386,0.013399074108923935,0.9247586491867322,0.7745830937320299,0.7637078419201324,0.3511322524453973,0.6630510996952048,
75.8,,,,,,,,0.9800995024875622
76.38,,,,,,,,0.9825870646766169
76.9,,,0.9401224597122573,,,,,
77,0.6976138828633406,,,,0.8299193047796399,,0.7422382172106712,
78.1,,,,0.8207782250335441,,,,
78.4,,,,,,,,0.9875621890547264
79,,,,,0.8659217877094972,,,
79.7,,,0.95488524097517,,,,,
80,0.7849240780911063,,,,,,0.8087923147737409,
81.7,,,,,,0.4813077850730269,,
82,,,,,0.9089592385681771,,,
82.26,,,,,,,,0.9925373134328358
82.9,,,,0.8650565459076097,,,,
83,0.8509761388286334,,,,,,,
84,,,,,,,0.872494025728718,
84.9,,,0.9700612298561286,,,,,
87,,,,,0.9503414028553694,,,
87.9,,,,,,0.609808388047702,,
88,0.9227765726681127,,,,0.9637906062487068,,,
89,0.942299349240781,,,0.9100057504312824,,,,
90,,,,,0.9714463066418374,,0.9303907960448178,
91,0.95412147505423,,,,,,0.9453014323941445,
92.3,,0.21103541721555197,,,,,,
93,,,,,0.9807572936064556,,0.9591674656211095,
93.4,,,0.9847864467901281,,,,,
93.7,,,,,,0.737907007905668,,
94,0.9709327548806942,,,,,,,
94.2,,,0.9878667217610158,,,,,
94.68,,,,0.9548591144335825,,,,
94.7,,,,,,,,1.0
95,,0.4395724340396703,,,,,0.972439649127828,
95.2,,,0.9910972540475564,,,,,
95.4,,,,0.9645390070921985,,,,
95.9,,,0.994027271702791,,,,,
96,0.9886117136659436,,,0.975177304964539,,,,
96.2,,0.6060822763370846,,,,,,
96.5,,,,0.9829403871957063,,,,
96.8,,,0.9969948536869389,,,,,
97,,,,,0.9921373887854334,,,
97.1,,,,0.9921410772474603,,,,
97.3,,0.7988633369716587,,,,,,
97.6,,0.8485076593021943,,,,,,
97.9,,0.8862207836200083,,,,,,
98,,0.9295795852309082,,,,,0.9903266888942948,
98.1,,,,,,0.8708294251641431,,
98.4,,0.9657871956038993,,,,,,
98.6,,,,,,0.9016481307785073,,
99,1.0,,1.0,,,0.9287819911563714,,
99.3,,,,,,0.9502880879003082,,
99.7,,,,,,0.9751440439501541,,
100,,1.0,,1.0,1.0,1.0,1.0,
