value,emory_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucsf_probability,umn_probability,upenn_probability
0.018,,,,,,,0.19327221248483215,
0.02,,,0.14282537388113636,,,,,
0.06,,,,,,,0.38262485795180956,
0.16,,,0.2854839606382387,,,,,
0.263,,,,,,,0.5730946281708045,
1.45,,,0.4271696225051426,,,,,
1.73,,,,,,,0.7639496138215297,
8,0.06453641967543088,0.07228600659315676,,0.07173044303251588,,,,
9,,,,,,,,0.06335779024600777
10,,,,0.17735675473650922,,,,
10.3,,,0.5693834435981542,,,,,
13,,0.1447311583494373,,,,,,
14,0.12533472314576857,,,,,,,
15,,,,,,,,0.11143720328010358
18.4,,,,0.2142713394474312,,,,
20,0.1755656596517082,0.2146299874957372,,,,0.17551972612572816,,
22,,,,,,,,0.16754423823910228
28.7,,,,0.2855130379783227,,,,
29,0.2331829700052118,,,,,,,
30,,0.28327839036035013,,,,0.2250490047210182,,0.21743634009495036
40,0.2898477795949176,0.3455268841650563,0.7114026797131261,0.35681223586234656,,0.2680351177493719,0.9548045994722548,0.2695727233491584
53.412,,,,,,,0.9638475317321212,
70,,0.47659429350915083,,,,,,
72.386,,,,,,,0.9728808336061943,
76,,,0.769250013898927,,,,,
80,,,,,,0.4311449159327462,,
80.2,,,,0.4855245378489492,,,,
89,0.43372931006595616,,,,,,,
92,,,,,,,,0.41769529564091495
106.279,,,,,,,0.9819237658660606,
155,,0.607979993179493,,,,,,
165,,,0.8269027631066882,,,,,
167.575,,,,,,,0.9909570677401337,
177.92,,,,0.6139493430698905,,,,
180,,,,,,0.5657353468982083,,
194.374,,,,,,,0.9927675802692656,
200,,,,,,,0.9989310271769487,
207,0.5739086677569506,,,,,,,
240,,,,,,,,0.5624514458351316
410,,0.7381380015914516,,0.7437253830894403,,,,
440,,,,,,,1.0,
478,,,0.884666703730472,,,,,
480,,,,,,0.707641975649485,,
587,0.7160289704005894,,,,,,,
769.4,,,,,,,,0.7077255071212775
1176,,,,,1.0,,,
1340,,,,0.8713739470430958,,,,
1520,,0.8690121632374673,,,,,,
1699,,,0.9422638572302219,,,,,
1752,,,,,,0.8536070235498744,,
1775.42,,,,0.8971049075697899,,,,
1877,0.8578976690688855,,,,,,,
2105,,0.895237012617938,,,,,,
2264.2,,,0.9538277644965809,,,,,
2350,,,,,,0.8829132271334309,,
2434.16,,,,0.9228358680964839,,,,
2491,0.8863648617076721,,,,,,,
2643,,,,,,,,0.8538627535606388
2906.8,,0.92140502444015,,,,,,
3220,,,0.9654194696169456,,,,,
3310,,,,,,0.9122056265702216,,
3343.4,0.9147421957838362,,,,,,,
3455.4,,,,,,,,0.8831247302546397
3560.4,,,,0.9485380789466118,,,,
4189,,0.9476185063089689,,,,,,
4537.4,,,,,,,,0.912300388433319
4551.2,0.9431554732850493,,,,,,,
4754,,,,,,0.9414428094199497,,
4789.8,,,0.9768999833212876,,,,,
5950.56,,,,0.9742690394733059,,,,
5957.6,,,,,,,,0.9415623651273198
6313,,0.9738092531544845,,,,,,
6501.8,0.9715687507862624,,,,,,,
6862,,,,,,0.9707214047099749,,
6877.2,,,0.988436092733641,,,,,
7860,,,,,,,,0.9707380233059991
9977,,,1.0,,,,,
9998,1.0,,,,,,,
9999,,,,,,,,1.0
10000,,1.0,,1.0,,1.0,,
