value,mimic_probability,nu_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
6,,,0.02843576772786478,,,,
8,,,0.0502302123405931,0.016428121343055182,,0.02668570788530466,0.0393122830219871
10,0.27047446799200714,,0.07298639929724654,0.03094337924205599,,0.03833445340501792,0.05501735824103157
11,,,,0.03740210640021604,,,
12,,,0.095053463786993,,,0.05037522401433692,0.07293767564886758
13,,,,0.05180484292015483,0.25,,
14,,0.26818757921419517,0.11544694514282253,0.058691151318750565,,0.062163978494623656,0.0910563729542073
32.4,,,,,0.4,,
37,,,,,,,0.27875681930897667
39,,,,0.2484697092447565,,,
40,,,0.2965877078726562,,,,
47,,,,,,0.2505880376344086,
50,0.4317469115094587,,,,,,
52.6,,,,,0.55,,
62,,0.4164765525982256,,,,,
68,,,,,0.75,,
79,,,,,,,0.4561745743098033
80,,,,0.4379557115852012,,,
103,,,0.4705721988307636,,,,
120,0.5689386094135149,,,,,,
127,,,,,,0.4386760752688172,
168,,,,0.6237060041407867,,,
180,,,,,,,0.6371962307819474
181,,0.5609632446134347,,,,,
219.8,,,,,0.85,,
278,,,0.6461772635022567,,,,
300,0.7103163606131766,,,,,,
444,,,,,,0.6251680107526881,
493.6,,,,0.8117292285534251,,,
498.8,,0.7067173637515843,,,,,
550,,,,,1.0,,
566,,,,,,,0.818184823937841
659,,,,0.849513907642452,,,
773.6,,,,,,,0.8545544718135228
831,,,0.8230015448459698,,,,
958,,,,0.8870735439733549,,,
980,0.8536923323755488,,,,,,
1091,,,0.8584572744070518,,,,
1156.2,,,,,,,0.8909241196892048
1310,0.8829947054447864,,,,,,
1501,,,0.893829703450156,,,,
1583,,,,0.924700693131695,,,
1600,,0.8532319391634982,,,,,
1840,0.9126325461997346,,,,,,
1978,,,,,,,0.9272607042486362
2080,,0.8828897338403042,,,,,
2203.2,,,0.9292021324932602,,,,
2310,,,,,,0.8123879928315412,
2710,0.9416286226863669,,,,,,
2830,,0.9125475285171103,,,,,
2988,,,,0.9623503465658475,,,
3330,,,,,,0.8499383960573477,
3785.6,,,0.9645972798594493,,,,
3891.4,,,,,,,0.963630352124318
3948,,0.941191381495564,,,,,
4370,0.9707851402400782,,,,,,
5052.6,,,,,,0.8874327956989247,
5644,,0.970595690747782,,,,,
7800.2,,,,,,0.9249551971326165,
9980,,1.0,,,,,
10000,1.0,,1.0,1.0,,1.0,1.0
