value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
6.7,,,0.1021927732489508,,,,,,,
7,,0.1805571287338853,0.21737315102186447,,,,,0.1357806830044241,0.10386041550261593,
7.2,,,,,,,0.11199081582652992,,,
7.4,,0.20578858755956236,,,,,,,,
7.5,,,,0.10957226160624794,0.10389802896476823,,,,,
7.7,,,,,,,0.2057616206438623,,,
8,,0.33141582750585313,0.3618360537925956,,0.20129886789118187,,,0.29536970626596315,0.23282115101335907,0.1826532799879218
8.2,,,,0.2125912935326313,,,,,,
8.3,0.10814812404412483,,,,,,,,,
8.5,,,,,,,0.30122176784091076,,,
8.6,,,,,,0.10272026105454962,,,,
8.7,,,0.40012070311462117,,,,,,,
8.9,,,,0.31267998120245405,,,,,,
9,0.22685381030374685,0.4583649038149605,,,0.32654704672532214,,,0.43941158508439915,0.3654602868220992,0.30620427266550915
9.5,,,0.5032902353204642,0.4033722514772445,,,,,,
9.6,0.30719613564298087,,,,,,,,,
9.8,,,,,,,0.40410574172535074,,0.4035641116811432,
10,0.46193492636823474,0.5820643740906877,,0.5166145101507926,0.45508052182762243,0.23969946571351586,,0.5618950567750091,,0.4218225409526685
11,0.6024951279742858,0.6708209571546867,0.6576573726955384,0.610586928638815,0.5496585714876192,0.4206527256947287,0.5631795068638761,0.6554548746973065,0.5886600294610657,0.5284400090586547
12,0.7123733182924228,0.7485816651839079,0.7230281045941832,,0.6436465505814476,0.5873191442484187,0.6582575660112469,0.7332698949242171,0.6702053808773979,0.6193740469540273
12.55,,,,,,0.6000547833452675,,,,
13,,0.8028616327648264,,0.7479503490383924,0.7298438878523854,,0.7386791915621461,,0.736772997409458,
13.02,,,,,,0.7000611846600678,,,,
14,0.8453588305692045,,0.8280398143145796,0.8005822999197925,,,0.8041336513768176,0.8407400043081308,,0.7657319544047709
15,,,,,0.8432870921351006,0.8341999919611396,,,0.8370058075549008,0.820479685966634
16,0.919870995267175,0.9127313076172745,,,,,,0.9132420577715602,,
17,,,0.921028026149811,0.9054799086505223,0.9099223073754545,0.9114742823456203,0.9259076085084366,,,
17.1,,,,,,,,,0.900025397470412,
18,,,,,,,,,,0.9247608666113082
40,,,,,,,,,,1.0
42,,,,,,,1.0,,,
48,,,1.0,,,,,,,
50,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,
