value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
0.2,0.713506139154161,,,,,0.4271362723082378,,,
0.4,,,,,,0.5317338376078478,,,
0.5,,,,,,,,0.3190650289610976,
0.6,,,,,,0.6219123035102234,,,
0.7,0.8136084583901774,,,,,,,,
0.9,,,,,,0.726628058149155,,0.4116994618576182,
1,,,,,,0.8000236378678643,,0.5690835147681058,
1.3,,,,,,,,0.6117323255145216,
1.6,0.9007503410641201,,,,,,,,
1.9,,,,,,0.9002481976125754,,,
2,,,,,,,,0.7271823522162428,
3,,,,,,,,0.8000739432280327,
3.9,,,,,,,,,0.10259878526759694
4.7,,,,,,,,,0.21555339270855975
4.8,,,,0.10398478582733446,,,0.11178756767685845,,
5,,,0.33607727578212304,0.5188007351814979,0.3750215217634839,,0.5567480582254504,,0.37005589098143565
5.1,,,,,,,0.64675251582329,,0.40462467759196674
5.2,,0.3142857142857143,,,0.40639029088402007,,,,
5.3,,,,0.6200887614963277,,,0.7001195392948483,,
5.6,,,,,,,,,0.5050636924597708
5.9,,,,,,,,0.9007599720658916,
6,,,0.4574311131259867,,,,,,
6.4,,,,0.7003807189900007,,,,,
7,,,,,0.5151381640826767,,,,0.6018338665843369
7.9,,,,,,,0.8157333103162057,,
8,,0.8285714285714286,0.5779498375506535,,0.6918865395184689,,,,0.7067059486445364
8.1,,,,,0.7044154012370972,,,,
8.2,,,,0.8044402628565593,,,,,
8.4,,,,,,,0.9021031112141101,,
9,,,0.6220676600533677,,,,,,
9.7,,,,,,,,,0.8034733538326926
10,,1.0,0.7305488282570398,0.905826750979148,0.8593698427651913,,,,
12,,,0.8418256363759281,,0.9218682920704425,,,,0.9221112032551616
14,,,0.9028286467591654,,,,,,
36,,,,,,1.0,,,
40,1.0,,,,,,,,
47,,,,,,,,,1.0
50,,,1.0,1.0,1.0,,1.0,1.0,
