value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
50,0.0015078643574738323,,,,,,,,
52,,,,,,,0.0019958054448487757,,
53,,,,,,0.0009760116581920788,,,
55,,,,,,,,,0.0016921949288558641
56,,0.001930432585016437,0.0017336701434913057,,,,,,
60,,,,,,,0.003942836992590292,0.0023894504405407827,
61,,,,,0.0015105096867140755,,,,
62,0.003126414211170512,,,,,,,,
63,,0.003828317496808596,,,,0.002099867657121317,,,0.003530975081202076
64,,,0.0034894318873166454,0.0017654981567155402,,,0.005738080808816975,,
66,,0.005472248504493676,,,,,,0.004937979384605799,
67,0.0047812839690140226,,,,0.0032335726796104214,0.0029652521411821266,0.007718749526977291,,0.0054285563923269975
68,,,0.005243111700220454,,,,,,
69,,0.007553476191787301,,0.003292938290232422,,,0.009511190245669075,0.007436970547283792,0.006831939205921404
70,0.006480004323872822,,,,0.004785518750923206,0.003952531381924612,,,
71,,0.009630054211477458,0.007337996858597565,,,,0.01190629693436435,0.00994699255361485,0.008756796409722552
72,0.008097063727939287,0.011132854131904324,,0.0050025033046632635,0.006320391497100412,0.004884838477496931,0.013333634199135412,0.011477370587899924,0.009917420146555441
73,0.00907825025292538,,0.009288766132073072,,0.007265371268087653,,0.014923270811177183,,
74,,0.014110145702348703,0.010461240229382522,0.006682504961671198,,0.006077665739310479,,0.0151491465016043,0.012706825085729293
75,0.011497250002765176,0.015536180522341835,,,0.009576025214807368,0.006799473906327465,0.018606681126912484,0.017341092312928307,0.014378499536073747
76,0.012983542062959574,0.017812375154145597,0.013313832580368317,0.008935342291213122,0.010929230108137454,,,0.019821294675977454,0.016246008358335933
77,0.014672221493993762,,0.01502055328470868,0.01031715551594309,0.012514939159493633,0.00857224022759151,,0.02260215823910885,
78,,,0.01694657071278375,0.011954728280353334,0.014304760772021233,0.009664512851190061,,,
79,,,,0.013848973033747028,,,,,
80,,,,0.016283114039830054,,,,,
81,,,,,,,0.03584278771413563,,
82,,0.03549661093933679,,,,,,0.04266722243801282,0.03333186723896889
83,0.03137765161775364,,0.032217071370905244,,0.028339034033467554,,,,
84,,,,0.030280360085343207,,0.021596199888280213,,,
85,,,,,,,0.0541541625157464,,
86,0.04515175954246648,0.05500948805700966,0.047282964484571734,,0.041164746077451506,,,0.06845321348476593,0.05213425506722345
87,,,,0.04672315275322909,,0.03225447937622663,,,
88,,0.06726386936585645,,,,,0.07214486295936462,0.08513754633711947,0.06412402562684523
89,0.06382105316582876,,0.06803426395645526,0.061272156892372864,0.058053333998361725,0.04175083209389925,,,
90,0.07158284417168694,0.08224705853822109,0.07715474067237116,0.07033369092221525,0.06573306911243648,0.04796097728865088,0.08685607944202661,0.10498401396399751,0.07880415803732119
97,,,,,,,,0.20812551338374685,
98,0.16087928997489848,0.17657067139194454,0.18543608356408067,0.17541399877896036,0.1522967459009632,,0.1743455187720639,,0.1692823618206364
99,,,,,,0.1395351814900251,,,
103,,,,,,,,0.3090438331381655,
104,0.24243834107935694,0.2622693787661168,0.2851160445163096,0.2698924669371714,0.23252391704282335,,0.25380940954992903,,0.25289470404948217
105,,,,,,0.22722428908382944,,,
109,,,0.3753266896604371,0.3550801938005822,,,,0.41767905635132746,
