value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
10,0.14393966782597378,0.11816238362527377,0.09038226860395915,0.14791369972078003,0.06251293966092338,0.14211346278071207,0.08873830267828332,0.0860549306583772,0.08667387893141526,0.0506196804539346,0.14156002898527645
13,0.2497017375145516,,,0.2504793836975902,,0.2514676824866056,,,,,0.25017120424268
14,,0.2433338001917711,0.18669183463681777,,,,0.2017612341129813,0.19160613648167815,0.18780639942301883,,
15,,,,,0.15772584021531597,,,,,,
16,,,,,,,,,,0.16006593078416284,
17,0.34518911649228856,,,0.3448338697197708,,0.3561528669681195,,,,,0.3541061147785095
18,,0.33910390883639896,,,,,0.2919568227003508,0.2756688036341367,,,
19,,,0.28324787044106065,,,,,,0.29572722045164374,,
20,,,,,0.2460835959605254,,,,,0.2330894430341944,
22,0.44280229354813055,,,,,0.4605768134665805,,,,,0.4580629235314259
23,,0.4381969208890421,,0.45384179777296835,,,0.3865659057552384,0.36305707796184467,,,
24,,,0.36149300566880477,,,,,,0.3882464450357202,,
25,,,,,0.32708012238043754,,,,,,
26,,,,,,,,,,0.33394401626445824,
29,0.541478369643025,,,,,0.5653759927043356,,,,,0.5581537015949865
30,,0.5404019805058385,,0.5454573488679817,,,0.48208058791077246,0.45354615152055444,,,
31,,,0.4477153454484247,,0.40462607255411653,,,,0.48742726820853194,,
32,,,,,,,,,,0.41841352614833277,
40,0.6387950918648455,0.6379605160889166,0.5289060950171026,0.6327696603384281,0.4869568217892388,0.6666650834061633,0.578594551832537,0.5433608012465213,0.5757799479547382,0.5037387578824043,0.6577667003766493
50,,,,,,0.7337462476726071,,,,,
51,,0.7141117966918719,,,,,,,,,0.7262026102674768
52,,,,0.7079095506688945,,,,,,,
53,0.7141307727348319,,,,,,0.6674473555465342,,0.6647978129294465,0.6078812556713109,
55,,,0.6266103192685258,,,,,0.6363460181861875,,,
57,,,,,0.5920268684870373,,,,,,
70,,0.7840051221040027,,,,0.8022665957365961,,,,,
72,,,,,,,,,,,0.7966750543473933
74,,,,0.7813057178420445,,,,,,,
75,,,,,,,0.7492010950462689,,,0.7022662271281056,
76,0.7833132081474465,,,,,,,,0.7462939680126313,,
83,,,0.718513486705661,,,,,,,,
84,,,,,,,,0.728214947402693,,,
89,,,,,0.6924041314899588,,,,,,
111,,0.8556330061733051,,,,0.8670346164076452,,,,,
115,,,,,,,,,,,0.8632197545807089
120,,,,,,,0.8319228887570392,,,,
122,,,,0.8537879722349934,,,,,,,
125,,,,,,,,,,0.8015041178024603,
128,,,,,,,,,0.8307140142101108,,
130,0.8560747933854419,,,,,,,,,,
148,,,0.811522762385106,,,,,0.8178745571671098,,,
169,,,,,0.7947482229532332,,,,,,
248.4,,0.9275917953990331,,,,,,,,,
263,,,,,,,0.9156231458639104,,,,
267,,,,,,,,,,,0.9315123306869669
276,,,,,,0.9332940684728502,,,,,
301,,,,0.9263879699922626,,,,,,,
311,,,,,,,,,0.9150658362815902,,
312,,,,,,,,,,0.9006587335316617,
322,,0.9421300749692566,,,,,,,,,
340,,,,,,,0.9326838001852835,,,,
349,0.9277300959501378,,,,,,,,,,
354,,,,,,,,,,,0.9453101981987722
376,,,,,,0.9466599536421325,,,,,
377,,,,,,,,0.9086271986604547,,,
394,,,,0.9411255144263655,,,,,,,
409,,,0.9056802265117314,,,,,,,,
410,,,,,,,,,0.9320560802315722,,
417,,,,,,,,,,0.9206131333203157,
447,,,,,0.8972648432288192,,,,,,
451,,0.9565944780394409,,,,,,,,,
473,,,,,,,0.949400951399515,,,,
475,0.9422057685772337,,,,,,,,,,
492,,,,,,,,0.9269296661214428,,,
505,,,,,,,,,,,0.9589488059499447
552,,,,,,0.9599878405593343,,,,,
554,,,,0.9558602554470323,,,,,,,
555.8,,,0.9245441812093851,,,,,,,,
572,,,,,,,,,0.9490536339093398,,
581,,,,,0.9179337949437556,,,,,,
604,,,,,,,,,,0.9404928728133148,
680,,,,,,,,0.9452553895766633,,,
697.6,0.9566380575700827,,,,,,,,,,
699,,0.971075811140884,,,,,,,,,
738,,,,,,,0.966263831204655,,,,
793,,,,,0.9383727082422765,,,,,,
815,,,,,,,,,,,0.9726272286412754
824,,,0.9434742619432639,,,,,,,,
853,,,,0.9705641589199009,,,,,,,
867.8,,,,,,0.973315727476536,,,,,
872,,,,,,,,,0.966048751011179,,
980,,,,,,,,,,0.9603209244093222,
1002,,,,,,,,0.9634880890549539,,,
1094,0.9710992689857629,,,,,,,,,,
1148,,,,,0.9589381426698259,,,,,,
1328.4,,,0.9622720906046925,,,,,,,,
1370,,0.9855325187423142,,,,,,,,,
1466,,,,,,,0.98313712019486,,,,
1563,,,,0.9852988999405676,,,,,,,
1597,,,,,,,,,,,0.986307642079614
1603,,,,,,,,,0.9830268120815181,,
1701.4,,,,,,0.986657863738268,,,,,
1781.8,,,,,,,,0.9817207885332444,,,
1921,,,,,,,,,,0.9801403613558309,
2043,0.9855568650985893,,,,,,,,,,
2072.8,,,,,0.9794460674932713,,,,,,
2455.2,,,0.9811360453023463,,,,,,,,
13964,,,,,,,1.0,,,,
14860,,,,1.0,,,,,,,
15469,,,,,,,,,1.0,,
16020,,,,,1.0,,,,,,
16757,1.0,,,,,,,,,,
18330,,,1.0,,,,,,,,
18470,,,,,,,,1.0,,,
18934,,,,,,,,,,1.0,
19495,,,,,,1.0,,,,,
20000,,1.0,,,,,,,,,1.0
