value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
83,0.006604299212093102,0.004484217286294657,,,,,0.0042667319407721895,,0.00614242446627761,,0.003339590388013396
84,,,,0.005635790334196236,0.00471345266090004,0.0040530582166543845,,0.005458002371132166,,0.0037577554041060305,
85,,,0.007919332310186064,,,,,,0.01039004210681835,,
86,0.0151761778493438,,,,,,0.008444837402062465,,,,0.007323595433881899
87,0.019610159652515845,0.010978793505423782,0.013671661694630776,0.011671565097222492,0.009827786433687239,0.00910721486074999,,0.011681724488837086,0.016484450025855062,0.008134273459698417,0.009442411184260145
88,,0.013914289836053367,,0.014734219592424627,0.012786867630709972,0.011806936314381985,0.013042863563755147,0.014920539082695734,0.020668661200167443,0.010520929401145792,
89,0.031737975012178864,,0.023520891172768187,,,,,,0.02555588387382729,,0.015245651078052752
90,,0.022236803529296793,0.030690107085582244,0.023735329038285614,0.021019395206784395,0.01939628203167364,0.0204473949090418,0.024003214823374645,,0.017318479101045905,
92,0.061743196609170756,,,,0.03365334942368174,,,,0.04904459382925808,,0.030320113068988852
93,,0.04646907444377743,0.06773464847993654,0.04749012203904471,,0.04016675704360803,0.04346495772305913,0.04860421085882567,,0.03668771441844659,
94,0.09391873561508371,0.059565259880774546,0.08688991970018337,0.06025653502540047,0.05359821793880984,0.05120433067764167,,0.061445510942994865,0.07671936174927975,0.0474178445255711,0.04799854348957027
95,0.1150866230852929,,0.11025130336316555,,0.06730256605239557,,0.07324134467470916,,0.09557447489596414,,
96,0.14085476667629307,0.09711243583837087,0.13761905583050243,0.0966327344920879,0.08409411200700923,0.08241218373863915,0.09510676325546161,0.0979041670748506,0.11849683583265617,0.07709880853813886,0.07571363573698481
99,0.2783329978676048,0.2159358174296258,0.2771134026544349,0.2133006987562528,0.17556319663425177,0.18153019748520366,0.22208107634749177,0.21287008954722572,0.24690477949324074,,
100,,,,,,,,,,0.20168617733344726,0.20130994731375207
101,0.38486524487539636,0.3174282297207369,0.37339558437228765,0.31328707398252137,,,0.3272195130185968,0.3125995885505905,0.35700118194577823,,
102,,,,,0.3006112403757537,0.32012207839156853,,,,0.2906318352402027,0.3067105069757799
103,0.5076573698903465,0.44244463369119585,0.48247141797865184,0.4365932226482667,,0.3786654801796416,0.45182412286162243,0.438007689185758,0.49624424417029867,,
104,,,,,0.4140048023077527,,,,,0.40517364149677704,0.44573148079612745
105,0.625354791471586,0.5682958950518179,0.5938694510067655,0.562353776981918,0.47627155769175133,0.5074873819885708,0.5784354894186314,0.5631578842143775,0.6285913914949152,0.46568371799744834,0.514910113451358
106,0.6769465034261261,0.6245086952677453,0.6465414173463698,0.6199875430640169,0.5384349932015523,0.571847351028675,0.636141878332725,0.618007809141854,0.682787299007658,0.5294251105669928,0.578378467499857
107,0.7741863497536515,0.7303066262733436,0.7476476234818047,0.7301603830507815,0.6602821872404088,0.6964678837428104,0.7446692227668765,0.7211780488341267,0.7836996134052351,0.6501132924949984,0.6981610152635418
108,0.8128582555198698,0.7732938707320591,0.7904229391917137,0.7766344862487106,0.7151264428620432,0.7514564591704788,0.7886807104467407,,0.8227764645046909,,0.7477627024582824
109,,,,,,,,0.7992954578624224,,0.7518054610223727,
110,0.8710615594197318,,0.8588387278485742,0.8493800727952197,0.8064653444477966,0.8366193462271103,0.8549965287962203,,0.8820805939277535,,0.8278374503490258
111,,0.8659304657796889,,,,,,0.8560826737414107,,0.8302665295567204,
113,0.9245070841610585,,0.921963465595236,0.9140568736983475,0.8944876780718032,0.9109207788174988,,,0.9351370318386644,,0.9037212227811983
114,0.9502912717651624,0.9192003238911614,,0.944002179963797,,,0.9281049337517066,,,0.907796507625022,
115,0.9597922446157751,0.9456793570574302,0.9621378029924184,0.9544329174533351,0.9506564944806524,0.9565101523430801,0.9520425238289172,0.9246735694735727,0.9687547708748862,0.9449271775288977,0.9529194930698237
116,,0.9553951611777353,0.9700470762704557,,0.9619266263581397,0.965587241556708,0.961107746587353,0.9481849643030651,0.9755331067937258,,0.9631547061739274
117,0.9739284787066775,,,0.9694094633785546,,,,0.9570537183390879,,0.9676495171195911,
118,,0.9697729504344144,,,,,0.9743257529557986,,,,
119,,,0.9855969029677019,,0.9827621121888522,0.9831551285438189,,0.9703828398806037,0.9884747974686662,,0.982465747273691
120,0.9865536584725516,,,0.982920372929521,,,,,,0.9857655125269972,
121,,,,,,,0.9862291332119292,,,,
122,,0.9860978095464128,,,,,,,,,
123,,,,,,,,0.9864629545586315,,,
140,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
