value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0.25,,,,,,,0.28641467137269866,,,,
0.27,,,,,,,,,,0.12867681975909517,
0.28,,,,,,,0.3461955070113517,,,,
0.3,0.38614055096853256,0.25344983758836054,,0.33130343203450163,0.3291742443738775,0.39130875894947287,0.5651671754268817,0.11571668428059245,0.30143316700526607,0.30826374273754975,0.22183093646693305
0.35,0.43951449007201054,,0.1579381842914236,,,0.40089046186969224,0.6745194600782218,,,,
0.36,,,,,,,,,,0.40503791408526507,
0.39,,,,,0.40132230896602006,,,,,,
0.393,,0.300311187925861,,,,,,,,,
0.4,0.7413712738442623,0.6675153147570304,0.5258283279825281,0.667239976895862,,0.6764274302411017,0.8120848039683297,0.6550854668179125,0.6316485635863148,0.6376587897499143,0.6550635063419529
0.42,,,,,0.5010970243525386,,,,,,
0.498,,0.7001696109023127,,,,,,,,,
0.5,0.8561255462466962,,0.7907129282513544,0.8010355250890926,,0.7915776703176529,0.909587427263188,0.7960286445377104,0.779992703042157,0.7859027599031536,0.7983857590142186
0.53,,,,,0.603323140271219,,,,,,
0.55,,0.8032661079903,,,,,,0.8007629326191401,,0.804047529906636,0.8049271705486429
0.6,0.9119301693996695,,0.8662238867842588,,,0.8581508552193154,,,0.8390346347198151,,
0.7,,0.9100923150709488,0.9075967676231119,0.9143092090597547,0.7062028122358356,,,0.9159845416416598,,0.9148249303864635,0.9073354929515369
0.75,,,,,,0.9006426960340379,,,,,
0.9,,,,,,,,,0.9006800807759601,,
0.95,,,,,0.8101620954680298,,,,,,
0.99,,,,,0.9250984065444253,,,,,,
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
