value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
0,,0.30788131949136927,,,,,,,,
4,,0.41017568646722774,,,,,,,,
5,,0.5073868173720745,,,0.21612494548173378,,,,0.18234725971420787,
7,,,,,,,,,0.22610763020381883,
8,,0.6261901836722157,,,,,,,,
9,,,,,0.3019938108787306,,,,,
10,0.18296957809957018,0.7613796916272498,0.11472181191531265,0.11739371008987723,0.4751542088101518,,,0.1050157243827617,,0.18143928287186362
12,0.2936401953010892,0.8093709687327232,,,0.559577561320069,,0.8017870053995213,,0.3061740013373288,0.24550747706614168
14,0.40629303509577264,,0.24839980305268342,0.2239602805485352,0.6027207210949345,,,,,0.3017425543501026
15,,,0.5311012637452814,0.3978824268345571,0.7615194500404993,,,0.45363397238425374,,0.47237464918527206
16,0.5721737678921671,0.9070888875238037,,0.4505824821666243,,,,,,0.5189544673899384
18,0.6666944873346409,,0.6440177252584933,0.5677967369034979,0.8369249620968244,0.19905648192836603,0.9326125806129358,0.5710812844473313,,0.6540862061743392
19,,,,,,0.20461018700419417,,,,
19.6,,,,,,,,,0.40000990613932985,
20,0.7832074448107499,,0.7506154603643526,0.754168598304147,,0.3915532020474614,,0.7440237698644938,,0.8081724123486784
22,0.8327421441388808,,0.8090431642868866,0.8216064245016376,0.9064321169702382,0.5004860341651428,,,,
23,,,,,,,,0.8090693352026805,,
24,,,,,,0.6374049174421688,,,0.5096461031724411,
25,0.9034761924633811,,,0.9164261466449326,,,,0.9080911435388543,0.7828326605413705,0.9396598667951241
26,,,0.903085507959954,,,0.7582404883453766,,,0.8014066717848387,
28,,,,,,0.8447205813376476,,,,
30,,,,,,0.9438919440686838,,,0.9175066247306768,
46,1.0,,,,,,1.0,,,
50,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
