value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0,,,,,,,0.4935871153071539,,,,
5,,0.48968785478881593,0.48558327865962925,0.43285699353432183,0.3569619522105224,0.21629264261549982,,0.4805146759426225,0.30472612532041793,0.24791358911975364,
6,0.2911828982397584,,,,,,0.7519960592682023,,,,
7,0.3760638931934676,,,,,,,,,0.5824542373909861,0.4277042868584366
8,0.570167282552549,0.5683791523218988,0.6148417073863358,0.5397472462383093,0.4908621776197667,0.49091840336062115,0.805276714883655,0.5448026338750771,0.46558892345868735,0.674368198186752,
10,0.808924385107482,0.7714619942176605,0.8214715876264431,0.8148297470969155,0.7080279324010076,0.7274574111854282,0.901174466452393,0.8408902125481346,0.6651663968962759,0.8653376088716789,0.7160386940316872
12,0.9022529502920491,0.8498269434957874,0.9052178298293201,,0.8035958464906992,0.8624374833217123,,,0.7652139478639853,0.9240719003453174,0.8143396499729303
14,,,,,,0.9165870412932883,,,,,
15,,0.940740212999692,,0.9706132688258746,0.9295965565213256,,,0.9656572472282653,0.8971300944091398,,0.9341676006836781
16,,,,,,,,,0.9160146778185757,,
47,1.0,,,,,,,,,,
50,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
