value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
6,,,,,,,0.5010419324733539,,,,
10,,0.1093834097815962,,,0.1345563254595651,,,0.10041928472676451,0.12458189096725569,,
12,0.13154102201725676,0.2022154240200064,0.10322085065214276,0.17349536568301188,0.2182411452525162,0.15053821259928313,,0.2746880687579539,0.23216329683069478,0.2335947966545092,
13,,,,,,,,,,,0.11002891882212894
14,0.24307776703362094,,0.2155475132578472,0.3387541179575768,0.45527135383389405,0.25725104748751576,,0.4021658195125263,0.322518948250428,0.3854449736634871,
15,,0.40389388250034347,,,,,,,,0.4095394667331595,0.20293795296089603
16,0.5292649137161559,0.5322929310881619,0.4171586104342841,0.5420188780162861,0.6261935018425042,0.601391555856803,0.6231955331985489,0.5931962944324893,0.4875615170042595,0.6189362274618194,
17,,,,,,,,0.6008433107868566,,,0.3088512270852749
18,0.6842480846474264,0.6375696889255269,0.54161441163824,0.6632373046806811,0.7468990996131095,,0.7176018600966094,0.7013035433923593,0.579662509182606,0.7395425237127228,
19,,,,,,,,,,,0.4191280365949946
20,0.813122954477834,0.7703816867020358,0.6689457324064785,0.7823819146425425,0.8481305006943282,0.7607072963996995,,0.8043192469038555,0.6927020282583899,0.8370608761557002,0.5264747254346921
22,,0.8115440028133969,0.7401260391285653,0.8302696241015206,,0.8004304568757774,0.8284349956548971,,0.743966099149499,,0.6102976428760172
24,0.9217587771496578,,0.8146275261573742,,0.9265747339980337,,,,,0.9232874222900299,
25,,,,,,,,,0.8234011538398888,,0.7288773399957912
26,,0.9069284940889674,,0.9229001034813586,,,0.9139034370031459,0.9155573922235668,,,
28,,,0.9188270388419091,,,0.9264954555810107,,,,,0.832715716322336
30,,,,,,,,,0.9291458398474048,,
32,,,,,,,,,,,0.9199278796327209
181,,,,,,,1.0,,,,
200,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
