value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
34,,,0.011280241563403631,,,,,0.007862499908618887,,
35,,,,,,0.006161568981789535,,,,0.009640939311300648
36,,0.011891554315340142,,,,,0.00902267519949435,,0.012193816354523268,
37,0.009019469988686126,,0.02140755020897912,,0.011885306789481503,,,,,
38,,,,,,0.01053017672935389,,0.01678777940033852,,0.017837766386216924
39,,0.021063672990657097,0.03244328929537665,,,,0.01722484740594306,,0.022331989459587212,
40,,,0.039770339614284445,0.008592388270847994,0.02385239185120332,,,0.024641313614875437,,0.026961934949107508
41,0.019275293416544912,0.031945884044029316,,,0.029842687397285527,0.018435411371563404,0.026397300963725397,0.029726793231921678,0.03345869064733435,
42,,0.04111170214382221,0.0584081226634424,,,0.022117280780600133,,,0.0408308220141111,0.040155968852680766
43,0.028526242998473374,,0.0700535704583235,,0.045649047134710484,0.02638899722792668,0.03954669773180765,0.042899880645921706,,0.04865627060694147
44,0.03467114891602447,0.06051582141541491,0.08342750060237249,0.019224983619100914,0.05576239241370723,0.03145284255088163,0.04797362152639444,0.05128473568513144,0.059681938743364575,0.058570075482650905
45,0.041758364547422766,0.06968016491242557,0.0986509607354011,,0.06756517884136366,0.03739192039879175,0.05785327772538617,0.0608704419963042,0.07149252326555051,0.0700402857529337
46,0.050329573688157894,0.0866134308251323,,0.028516772042123537,0.08101495889343163,0.04440227983529612,0.06915961060988873,0.0717979678771595,0.08518831929181536,0.0831298400662992
47,0.05976444488838728,0.09864297221294265,,,0.09625599478518806,0.05218097028421259,0.08211333733414694,,0.10058815324465425,
48,0.07050777603672152,,,0.04017727773011416,,,,,,
49,0.08309309373553733,,,0.04857231007079118,,,,,,
50,,,0.2004023916996166,0.06473113912558118,,,,,,
51,,,,0.08553782524471422,0.17469337971492183,,,0.14656744264059277,0.18360191041687374,0.17330762597783397
52,,0.2131868990211676,,,,0.10873035944405925,0.17301014155819924,,,
53,0.16716328068762984,,,,,,,,,
54,,,0.3065661008377276,0.16083732089860117,0.24712340103812397,,,,,0.243931277017293
55,,0.2969151131056082,,,,0.15680412073222624,0.2466183879410771,0.22740931303886408,0.29455832760934775,
