value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
1,,,,,,,,,,0.005827371003417238
3,,0.003916577282672228,,,,,0.008115624897237146,,,
5,,,,,,,,,,0.007865738062984537
6,,0.006576184651589421,0.0053781257305154295,,0.00622825620993448,,0.010873099336372464,,0.005180275651167674,0.009150453801663195
7,0.004686635022879977,0.008700159332863758,0.00711647885215287,0.0037016894109473102,0.00810641034166135,0.00544424278679257,0.012844186143244504,0.004148539152387706,0.00729285407305262,0.011293063590932637
8,0.0065609168738089,0.012507893521726184,0.010493375346816988,0.005171670148188578,0.012058810629715724,0.008239518422858754,0.01609797113733081,0.006216519579473678,0.012591754749661116,0.01451713266371717
9,0.009666034514573872,0.018395441823845844,0.01603588072910146,0.007390823224342506,0.018939999518966175,0.012986772762369715,,0.009351897098159551,0.02053645357466625,
10,0.01913118112165387,0.03275620921081085,0.026780750376694248,0.015733529885900193,,0.023453160282551358,0.03043805776410244,0.02000098191876394,,0.030289901055432337
11,0.03176734838816723,0.046989385640671066,0.041704168282738256,0.02453194618918098,0.053685638735107406,0.038556075263962215,0.043766141254034566,0.03110829549587371,0.056052482633006946,0.04308335150834001
12,0.055647035837286224,0.07710756430732879,0.06650787577713708,0.04917578682286784,0.08858563321736646,0.06671731158222415,0.06554805512248461,0.06354488633343554,0.09552947765478752,0.06664602053379362
14,0.14355701076312594,0.17428258256371995,0.166261262523278,,0.21506116911027134,0.17337979409168058,,0.1704294487986846,0.21862464124941702,
15,,,,0.1721926692224572,,,0.19881734791587677,,,0.1985027505405694
16,0.24825767925233413,0.2836412186398833,0.28018697692906414,0.2520259725221073,0.34799953594383787,0.2989403489129819,0.2588164811690542,0.2861941545537429,0.35114862084060033,0.2642899324294578
17,,,,,0.4055434904097418,0.3579496824694817,,,0.3960440901851855,
18,0.365296865962564,0.393894286025266,0.40614086044758546,0.3816619968084061,,,0.38886683306173087,0.4103702253016661,,0.3968552431141183
19,0.41560095024399624,0.440718153445747,0.46366104346714554,0.4239746207786682,0.5346597605300427,0.48544114962759416,0.4496188165073021,0.4632331609385142,0.5169732680094109,0.44833242837824455
20,0.48599901998334594,0.5108216406921654,0.5306480498138197,0.506409339803261,0.6018275040993986,0.5517702748685568,0.5182867246399788,0.5330443390422126,0.5872445322804022,0.5205223741500971
21,0.6041693350928147,0.6227575565636461,0.6492730304428489,0.6286315114272202,0.7134971017711949,0.6669403581616307,0.6420505487618042,0.6505194228535777,0.6942204948470684,0.6382834629704691
22,,,,,0.7610386652160196,,,,,
23,0.7018055876455875,0.7048976515304441,0.7453453855063987,0.7167764901965504,,0.7558256532082984,0.7409727120660522,0.7398119503841588,0.7707213516176189,0.7268089866678946
24,,,,,0.8312605491425572,,,,,
25,0.787262729749553,,0.8211972923541355,0.7914168503925738,,0.8252529473324135,0.8172457791280832,0.8130515938800222,0.8366384940531676,0.8018847018059125
26,,0.807011892666325,,,,,,,,
28,,,0.8971504316771628,,0.9152425471590001,0.8955573216478369,0.8914025030690024,,,
29,0.8866978245801203,,0.9346572279330715,,0.9442478965381127,0.9310308993501668,0.9285001381786078,0.9011449903140342,0.9164228118437767,0.894485846350602
30,0.9209138190101521,0.8907714961514137,0.9508056135103876,0.9032419463648292,0.9574152071770247,0.9471077484280187,0.9428744155719996,0.9340456256803946,0.9452014991433243,0.9295136638097748
31,0.9329603480919914,0.9245116085714655,0.9600976603369192,0.9338591938525712,0.9646335441864939,0.9558551718122765,0.953344412303188,0.9447444826917882,0.9534216300046089,0.9403137503750967
32,0.944247286733955,0.9364925960324535,0.970581623799547,0.9464611105003178,0.9722518466747122,0.9652497437032438,0.9626671672601415,0.9553623246426309,0.9631040123290342,0.9524993881221651
33,,0.945599358640871,,0.9548802566806514,0.977144809574271,0.9713552648768048,0.9696521013274946,0.9630244017632881,0.9692330984595774,0.9601554937183635
34,0.9607193973517841,,0.982656852333228,0.9633238635069931,,,,,0.9751587528691628,0.9686647029225579
35,0.9674705801171368,0.9662902389801162,,,0.987068961858262,0.9823683503018207,0.9803215804932313,0.9768709440905464,,
36,,0.9720609367890136,0.9902465519671714,0.9756362207521259,,,,0.9817626848418116,0.9836164657985933,0.9811451890377806
37,,,,,0.9920545945097062,,,,,
38,0.9806344367307761,0.980712668137407,,0.9831412153428101,,0.9910387016130285,0.9892320862704908,,,
39,,,,,,,,0.9907776728985146,,0.9902730737824306
40,,,,,,,,,0.9922311754630135,
42,0.9900681049548216,0.9906392062413603,,0.9918005442493737,,,,,,
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
