value,sunnybrook_probability,ucmc_probability
0.01,0.4450294447290276,0.4532890365448505
0.03,0.6143337480116623,0.6526467331118494
0.05,,0.776500553709856
0.1,0.9560428132907614,
0.2,0.9822060630336736,0.9686821705426356
0.22,,0.9750830564784053
0.26,,0.9815060908084164
0.3,0.9964373611052268,
0.32,,0.9883056478405315
0.4,0.9991064516501759,
0.44,,0.9937541528239202
0.48,0.9992951752240611,
0.49,,0.9950609080841639
0.6,,0.9964341085271318
0.72,,0.9975193798449612
1.018,,0.9987375415282392
12.78,,1.0
15.6,1.0,
