value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
0.1,,0.20598209007173696,0.48469931129150595,0.4261034397177151,0.27279883215021755,,0.4610204630390984,,,
0.2,,0.40796912469640395,0.6075544931720824,,0.45684966796427756,0.3937872576396728,,,,0.4474708171206226
0.3,,,,0.636374754061802,0.5998110831234257,0.559632028201929,0.6327954202697489,,,
0.309,,,,,,,,,0.7903713243732626,
0.4,,0.7008391919802013,,,,0.6836690234289902,,,,0.5887591332951667
0.5,,,0.8307575793434786,,,,,,,
0.6,,0.8578568997243642,,0.8017747116183542,0.8459754980535837,0.8395322123858753,,,,
0.7,,,,,,,0.8165535893129235,,,
0.8,,,,,,,,,,0.7818755640082673
1,0.9397590361445783,,,,,,,0.9292704075312771,,
2,0.9618922976250048,0.9974483854703852,0.9816581071166545,0.9834974120287608,0.9948763453171514,0.9942071178183115,0.9888663297078435,0.95906106775672,0.9879561857641989,0.9756736563261108
2.1,,,,,,0.9959103242033549,,,,0.9818352950309053
2.128,,,,,,,,,0.9904172298589682,
2.2,,0.9986103042230884,,,0.9969801923517289,,0.9933556500356574,,,
2.3,,,,,,0.996940169924544,,,,
2.381,,,,,,,,,0.9930886740965545,
2.4,,0.9991170441196418,,,,,,,,
2.5,,,,,,,,,,0.9852945457368253
2.56,,,,,,0.9976333353138058,,,,
2.6,,,,,0.9981394550034348,,0.9959159655351137,,,
2.7,,0.9994625485945646,,,,,,,,
2.752,,,,,,,,,0.9951926755247252,
2.8,,0.9996007503845337,,,,,,,,
2.9,,,,,,,,,,0.9910923081401555
3,0.9902998575772739,0.9997389521745028,0.9949589378268998,0.9963815162382157,,,,0.9890375325157934,,
3.2,,0.9997952566074532,,,0.9989695443095947,0.9987919117501436,0.9977592368155442,,,
3.39,,,,,,,,,0.9976154650480732,
3.4,,,,,,,0.9983359897743259,,,
3.5,,,,,,0.9990790802685521,,,,
3.6,,,,,0.9991985344630181,,,,,
3.628,,,,,,,,,0.9980936471908393,
3.7,,0.9998976283037266,,,,,,,,
3.8,,,,,,,0.998784142411217,,,0.9948086980991102
3.9,,,,,,,,,,0.9961040977323229
4,0.998614265368182,,0.9987456511963647,0.9991331465342047,0.9994132127318526,,,0.9973780915809901,,
4.008,,,,,,,,,0.9985718293336053,
4.1,,,,,,0.9992870298853307,,,,
4.2,,,,,,,0.9991231796234739,,,
4.6,,,,,,,,,,0.9969482907517199
4.76,,,,,0.99958495534692,,,,,
5,,,,0.9994676584525407,,0.9995246865902204,,0.9984929187827739,0.9990818902858891,
5.42,,,,,,,0.9995518473631089,,,
5.6,,,0.9989823207819563,,,,,,,0.9979719960798393
6,,,,,0.9997996336157545,,,,,
6.028,,,,,,,,,0.9995218178572339,
7.7,,,,,,0.999772245657814,,,,
8.1,,,,,,,,,,0.9989787205138904
12.5,,,,,1.0,,,,,
13,,1.0,,,,,,,,
14,,,1.0,,,,,,,
17.4,,,,,,1.0,,,,
18,1.0,,,,,,,,,
21.013,,,,,,,,,1.0,
25,,,,,,,,1.0,,
30,,,,,,,1.0,,,
40,,,,1.0,,,,,,
100,,,,,,,,,,1.0
