value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
12.1,0.010882344296505305,,,,,,,,,
13,,0.016256320937893004,0.015560165975103735,,,0.025198821401987287,0.01955620016814826,0.021254084958183,,
14,,,,0.013536576120821476,0.010727117533795185,,,,0.016917954420821963,0.01289281989323814
14.3,0.021582458924844956,,,,,,,,,
15,,0.031077177270407225,0.029418834126100597,,,0.04816663676871148,0.03720778263450864,0.04326644552158849,,
16,0.03944831437556947,0.04359013486421494,0.043492561481631414,0.028367456747116937,0.022990650495265698,0.06624562098052922,0.05131311038415103,0.06181847463579285,0.03498838781846107,0.02816746999622301
16.9,0.043482350174881695,,,,,,,,,
17,0.05378714399082973,0.061010402908815375,0.06230391660763081,0.04079277999966718,0.032997201103678264,0.09094545582010091,0.07080954221437707,0.08695564646909747,0.04961340065412741,0.04085980165932169
18,,,,0.058497016628114885,0.04739464438136451,,,,0.0716055397643481,0.05884967813003802
19,0.10094347941098669,0.11754708144998763,0.1206608642849914,,,0.16631098409634976,0.13211990325498368,0.16698839323859735,,
20,,,,0.11861283839129044,0.09524386128590429,0.2214221941800022,,,0.1432078023372929,0.1183894262357246
20.9,0.1505819592628516,,,,,,,,,
21,,0.2154659734902101,0.2165730526599872,0.1678472572763026,0.13430136768763523,,0.23341129780968964,0.2994629440329973,0.19493171425512718,0.16574895119125302
21.8,0.20042030391205948,,,,,,,,,
22,0.24854069306057666,0.28331061917566025,0.2789570893634248,0.23228882959741584,0.18573753895626974,0.36418389922945754,0.29939155831995184,0.38413705328284126,0.2616312984887778,0.22723951735649886
23,0.3685227640125797,0.4289429234436417,0.41113838005599973,0.37414182988770983,0.3024852611310717,0.5226203805081827,0.43722929923616066,0.5590124075362306,0.39902645567380146,0.36282813052609764
24,0.45275842812215267,0.5127755297485306,0.48450730357925986,0.45956777625542916,,0.6059696937830811,0.509971351043356,0.6482518280257769,0.479295797111265,0.4476654384572468
25,,0.5952905395094794,,0.5458424165774521,0.4662246660182226,0.6805166366656151,0.581510066980384,0.725942643943749,0.5540649189769046,
25.7,0.5527011139523264,,,,,,,,,
26,,,0.62790962453193,,0.5529090656450364,0.744287944113505,,0.7874725712253421,,0.6162550150215994
27,0.6948123328336714,0.7338065595680977,0.6903526970954357,0.6930834216233906,0.6333386267542728,,0.7065613681371006,,0.6910231173081587,0.6858897585055442
28,0.7539605560944067,0.7844119488747283,0.7452476132645144,0.7487708729714088,0.7035631339698672,0.8373221329407422,0.7571094437958473,0.8669930905211076,0.7465234461196961,0.7429132666891434
29,0.8483481762337243,0.8739832564209152,0.844225449515906,0.84812261131481,0.8294578875280386,0.908040075631517,,0.923948759358217,0.8442318154111018,0.8438421954887896
30,,,,,0.8722988665462413,0.9304820993725553,0.8812124206575314,,,
31,0.9099373952914205,0.9252474439995159,0.9062067773167358,0.9080405893892917,,,0.9059246361104359,0.953264275824429,0.9059926722000223,0.9037115852912223
33,0.9446183464127208,0.9533231952768584,0.9412719697736397,0.9416971290477062,0.941788911606487,0.9673823618559826,,0.9694497692739567,0.9413644914126661,0.9377330112506186
34,0.9671942509478882,0.9741342748746337,0.9671064838241743,0.9668084854603379,0.9683367409730631,0.982463302837419,0.9497945961453407,0.9817723070591209,0.9676584904382479,0.9632137887845232
35,,,,,,0.9873273908569992,,,,
36,0.9824310025570937,0.9854632898870256,0.9816398475188072,0.9811623224260444,0.9821982253806301,,0.9760368810490538,0.9888987556674951,0.982063931449895,0.9778817179513557
37,,,,,,,0.9810016376524591,,,
38,0.9909649354848191,0.9917713359608089,0.9899280605876598,0.9902159824418348,0.9900271949500764,0.995119416556869,,,0.9902492631781328,
39,,,,,,,,0.9951573254120747,,0.9900972330371564
40,,,,,,,0.9915009423474612,,,
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
