value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
0.74,,,0.0067370721048798255,,,,,,,
1,,,,0.013832153690596562,,,0.006645020010571622,,,0.004498047550788394
1.1,,,,0.014681496461071789,,,,,,
1.12,,,,,,0.0005265005265005265,,,,
1.2,0.007135016465422613,,0.013474144209759651,,,,,,,
1.4,,0.005449591280653951,,,,,,,,
1.5,,,,,,,,,,0.006574069497306115
1.52,,,,,,0.001053001053001053,,,,
1.7,0.015550676911818514,,,,,,,,,
1.72,,,0.02002913328477786,,,,,,,
1.8,,,,0.022285136501516683,,,,,,
2,,,,,,,0.013743109567318583,,,
2.1,0.021405049396267837,,,,,,,,,0.009539815135188572
2.3,,0.009536784741144414,,,,,,,,
2.38,,,,,,0.001404001404001404,,,,
2.4,,,0.027130371449380918,0.029079878665318505,,,,,,
2.5,0.028174167581412366,,,,,,,,,
2.6,,,,,,,,,,0.012554989867035737
2.7,,0.013623978201634877,,,,,,,,
2.78,,,,,,0.0019305019305019305,,,,
2.9,,,,,0.0220763723150358,0.002457002457002457,,,0.01449894348783887,
3,,0.020435967302452316,,,,,0.02227591935362078,,0.02731196331430113,
3.1,0.0349432857665569,0.021798365122615803,0.03332119446467589,0.03555106167846309,0.022971360381861577,,0.022577965717737673,,0.028076248707458527,0.015570164598882903
22.8,,,,0.22867542972699698,,,,,,
23,,,,,,,,0.20683036071342878,,
24.08,,,,,0.21792959427207637,,,,,
25.3,0.22813757775338456,,,,,,,,,
28.84,,0.21798365122615804,,,,,,,,
30,,,,,,,,,0.22299150294474665,
30.4,,,,,,,,,,0.17473184716524146
35,,,,,,,0.2197387298950389,,,
35.3,,,0.22705753823743627,,,,,,,
36.06,,,,,,0.202000702000702,,,,
53,,,,,,,,0.4046228905062785,,
57,,,,,0.4143794749403341,,,,,
61.8,,,,0.4213953488372093,,,,,,
64.1,,,,,,,,,0.4127590702692982,
64.86,,0.4128065395095368,,,,,,,,
66,,,,,,,,,,0.33394295882556474
67.9,0.4211489206000732,,,,,,,,,
72,,,,,,,0.4142565883863173,,,
79.1,,,0.4202476329206118,,,,,,,
84.7,,,,,,0.40171990171990174,,,,
95,,,,,,,,0.6015356314484523,,
104,,,,,0.6081443914081146,,,,,
109.3,,,,,,,,,0.6048869307197771,
114,,,,0.6147623862487361,,,,,,
116.02,0.6139773143066227,,,,,,,,,
117.1,,,,,,,,,,0.4929069250160645
125,,,,,,,0.6127010496111153,,,
127.82,,0.6089918256130791,,,,,,,,
143.28,,,0.6132556445739257,,,,,,,
156.3,,,,,,0.6010881010881011,,,,
160,,,,,,,,,,0.8063862389402402
164,,,,,0.8032517899761337,,,,,
166,,,,,,,,0.7990082380228745,,
170,,,,,,,,,0.8021624780829923,
182,,,,,0.8433770883054893,,,,,
184.04,0.8069886571533114,,,,,,,,,
186.4,,,,,,,,,0.841770444634267,
187,,,,,,,,0.8397984483723906,,
188,,,,0.806835187057634,,,,,,
204.6,0.8457738748627881,,,,,,,,,
205.36,,,,,,,0.8045004908253417,,,
209.42,,0.8038147138964578,,,,,,,,
211.9,,,,,,,,,0.8813109742390864,
212,,,,,0.8824582338902148,,,,,
212.95,,,,0.845500505561173,,,,,,
216.8,,,,,,,,0.8793889466528033,,
231,,,,,,,0.8453522615721514,,,
231.58,0.8841931942919868,,,,,,,,,
236.56,,0.8433242506811989,,,,,,,,
241.04,,,0.8066278222869628,,,,,,,
242.2,,,,0.8841658240647118,,,,,,
242.38,,,,,0.9212410501193318,,,,,
246,,,,,,,,,0.9213685204333948,
256,,,,,,,,0.9200191953931056,,
256.54,,,,,,0.8004563004563005,,,,
258,,,,,,,0.8831080570867628,,,
266.52,0.9227954628613245,,,,,,,,,
267.48,,0.8828337874659401,,,,,,,,
273.24,,,0.8454115076474873,,,,,,,
278.9,,,,0.9227906976744186,,,,,,
281.7,,,,,,0.8406458406458407,,,,
292,,,,,0.9609188544152745,,,,,
295,,,,,,,0.9228271539681341,,,
300,,,0.9990895848506919,,,,,,,
303,,,,,,,,,0.9607067391988491,
307.04,,,,,,0.8803088803088803,,,,
314,,,,,,,,0.9604095017195873,,
317.02,,0.9209809264305178,,,,,,,,
318.86,0.9613977314306623,,,,,,,,,
334.22,,,,,,0.9201474201474201,,,,
335,,,,0.9614155712841254,,,,,,
336,,,,,,,0.9619421581212716,,,
350.68,,0.9604904632152589,,,,,,,,
376.86,,,,,,0.95998595998596,,,,
491,1.0,,,,,,,,,
586.6,,,1.0,,,,,,,
593.6,,1.0,,,,,,,,
610.66,,,,,,1.0,,,,
653,,,,,,,1.0,,,
660,,,,,1.0,,,,,
688,,,,,,,,1.0,,
725,,,,,,,,,1.0,
763,,,,1.0,,,,,,
800,,,,,,,,,,1.0
