value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
0.1,,0.21791289180001067,0.3510330043110556,,0.38774427020506635,,,,,
0.2,,,,0.36301533351487464,,,,,,0.3626179174499819
0.3,,,,,,0.3511452631992689,0.35556782297851314,,,
0.5,,0.3530834187260508,,,,,,,,
0.7,,,,,0.5297587454764777,,,,,
0.735,,,,,,,,,0.5247604537842636,
1,0.6595641422661829,,0.5867276025348065,0.5543632103223031,,0.527813534839388,,0.6756092912952336,,0.5559749243095422
1.2,,,,,,,0.5380517445047521,,,
1.3,,0.5379156379280973,,,,,,,,
1.8,,,,,0.705934861278649,,,,,
1.818,,,,,,,,,0.7007403583435111,
2,0.7624043816875044,,0.7199227308063795,0.6983691541184658,,,,0.7895907002350351,,0.7039032506680688
2.1,,,,,,0.6991460886141873,,,,
2.2,,,,,,,0.7064954717767775,,,
2.3,,0.7033800259865084,,,,,,,,
4,0.8692195696887061,0.862124028366486,0.8561096845626517,0.8537012570053084,0.8755006031363088,0.8594927628799119,0.8690289605546591,0.8953776441442395,0.874107603782375,0.86697447052694
4.2,,,,0.8841295935828517,,,,,,
4.4,,0.8904879717047098,0.8848736130415322,,,,0.8961133715768099,,,
4.5,,,,,0.9011700844390832,0.8891487417335678,,,,
4.545,,,,,,,,,0.8994661361604613,
4.6,,,,,,,,,,0.8967224411103027
5,0.9353146449122969,,,0.9155530453550645,,,,0.945370233129354,,
5.1,,0.9195587887540969,,,,,0.9231475976868616,,,
5.2,,,,,,,,,,0.9205232185431418
5.3,,,0.9138966760112135,,0.9258021712907117,0.9185394086491692,,,,
5.357,,,,,,,,,0.9247994862819657,
6,0.9508446765732246,0.9447316295473212,,0.9411806234934594,,,0.9474756989214105,0.9593876384271709,,
6.4,,,,,,0.9443139721127674,,,,0.9469770635703807
6.475,,,,,,,,,0.9496732602208484,
6.5,,,,,0.9497225572979493,,,,,
7,,,0.9464298334471954,,,,,,,
7.8,,,,,,,0.9735757135908463,,,
7.9,,0.9724904076220311,,,,,,,,
8,,,,0.9673898061206309,,,,0.9751413386410316,,
8.3,,,,,,,0.9791307973224419,,,
8.5,,0.9782140505135005,,0.9740833005550457,,0.9715231853154755,,,,
8.6,,,,,,,,,,0.973123584930576
8.621,,,,,,,,,0.9748869946235882,
8.8,,,,,0.9744993968636912,,,,,
9,0.9734926394120774,,,,,,,0.9856438054502721,,
9.2,,,,,,0.9774288325292089,0.9844426772492492,,,
9.375,,,,,,,,,0.9800304705304642,
9.4,,,,,,,,,,0.9790707780810999
9.5,,0.9839148090042489,,,,,,,,
9.6,,,,0.9805784443256582,0.9802171290711701,,,,,
9.7,,,0.9709062639873731,,,,,,,
10.3,,,,,,0.9832558687983335,,,,
10.39,,,,,,,,,0.9849598972563931,
10.5,,,,,,,0.9895808401726361,,,0.9844129277621315
10.7,,,0.9770077033616811,,,,,,,
10.9,,0.9890917689896028,,,0.9850301568154403,,,,,
11,0.9864112222966883,,,0.9870466930910093,,,,0.9909585618396256,,
11.8,,,,,,0.9886505448721098,,,,
11.927,,,,,,,,,0.9899585751879226,
12.06,,,0.9825437583924238,,,,,,,
12.2,,,,,,,,,,0.9893084977394904
12.9,,,,,0.9899758745476478,,,,,
13,0.9901088488826235,,,,,,,,,
13.1,,,,,,,0.9947769087638298,,,
13.7,,0.9945128292493154,,,,,,,,
14.74,,,0.9883625055949492,,,,,,,
14.9,,,,0.9935317512346489,,,,,,
15,,,,,,,,0.9952569504732462,,
15.2,,,,,,0.994340011988169,,,,
15.385,,,,,,,,,0.9950579821457801,
15.8,,,,,,,,,,0.9946362416236294
17.14,,,,,0.994897466827503,,,,,
18,0.9948233227796908,,,,,,,,,
19,,,0.9942754835214022,,,,,,,
50,,,,,,,1.0,,,
55,,,1.0,,,,,,,
60.1,,,,,,1.0,,,,
64.286,,,,,,,,,1.0,
71,1.0,,,,,,,,,
79,,,,1.0,,,,,,
79.4,,1.0,,,,,,,,
81.3,,,,,1.0,,,,,
92,,,,,,,,1.0,,
100,,,,,,,,,,1.0
