value,emory_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
25,,,,,0.0008312869445262002,,,0.0007346524871773111
28.6,0.0008442380751371887,,,,,,,
31,,,,0.001672733827566348,,,,
33,,,0.0006010063317951219,,,,,
34.6,,,,,,,0.0004891135703620832,
36,,,,,0.0015771984731280878,0.0008817221168903879,,0.0014788798290453218
36.6,0.0016884761502743773,,,,,,,
39,,,,0.0026091592488432166,,,,
39.4,0.002532714225411566,,,,,,,
41,,,0.0011557814072983114,,0.0023747845955789013,0.0017377498776137246,,
41.8,0.0033769523005487546,,,,,,,
42,,,,,,,,0.0022313763636007547
43,,,,,,,0.0010269297721969201,
43.6,,,,0.0032965841094869212,,,,
45,,,,,,0.002604596314617925,,
46,,,,,,,,0.002919025018660086
47,,,0.0018709506372837155,0.004121493942259367,0.0033296412210481853,,,
48,,,,,,0.003447100729990182,0.001547352177077202,
49,,,,,0.0037767387939149797,,,0.003594487495022164
50,0.004221190375685944,,0.002400251347075024,,,0.004057003605323871,,
51,,,,,,,0.00202533371738837,
52,,,0.002886151285653498,,,,,
53,,,,,,,0.0024448720999322338,
58,,,,0.008131472296014311,,,,
59,,,,,0.008362297317639236,0.008251945333228752,,0.007447496066693215
59.6,0.008442380751371888,,,,,,,
60,,,0.005805324897229804,,,,,
61,,,,,,,0.005208398560071913,
63,0.013507809202195019,,,,,,,
64,,,,0.012474469804481093,,0.012095280082005565,,0.010906629934042308
65,,0.4,0.008939615374817552,,0.011968285279705589,,0.0076003935172623,
65.2,0.016884761502743775,,,,,,,
68,,,0.011589892903879557,0.01695647989587805,0.016176394596185518,0.016386237561903112,0.010137104865114583,0.014980295384267208
70,0.021105951878429716,,0.013753326999336722,0.01975200766249578,0.01863655460768873,0.0192220830820245,0.012143653281792035,0.017523289745983456
80,,0.8,,,,,,
84.8,0.05909666525960321,,,,,,,
85,,,,0.05879162930385248,,0.058712956176247055,,
86,,,,,0.059706623110226405,,,0.05727765120110024
87,,,0.05222528019443545,,,,0.05182377439827899,
93,0.0975094976783453,,,0.09266334360396995,,,,
94,,,,,0.08952061703958498,0.09906661870386849,,0.09296966294335385
95,,,,,,,0.08859773991959892,
96,,,0.09492692159273282,,,,,
99,0.13676656817222457,,,,,,,
100,,,,0.13106595154113015,,0.13493864458214216,,
101,,,,,0.12783845173929942,,0.126506476754234,0.13534622892171905
102,,,0.13583592244093484,,,,,
105,0.17391304347826086,,,0.16303884561506957,,,,
106,,,0.16886202234384923,,0.16785480787161336,0.17679610311280364,0.16506435009121306,0.17222595786628717
110,0.21105951878429718,,0.20600836502690376,0.19800127402740839,0.18994906682423673,0.2069761529328079,0.20033688305941583,0.2051264642455341
124,,,0.3682961140270349,,,,,
125,,,,,,,0.36546176356403076,
126,,,,,,,,0.36379834485580054
129,,,,0.36374857359341417,,0.3689601358825741,,
130,0.37019839594765724,,,,0.3682983106901254,,,
138,,,0.530859363574865,,,,,
140,,,,,,,0.5273472233238293,
143,,,,,,,,0.5239029719043298
146,,,,0.5183320934225661,0.5125153619580627,,,
149,0.5306036302237231,,,,,,,
150,,,,,,0.5275943861888779,,
153,,,0.6809977271204815,,,,,
158,,,,,,,0.6847367344468146,
161,,1.0,,,,,,
164,,,,,,,,0.6838178427417161
167,,,,0.6797715305285381,,,,
168,,,,,0.6751712563441797,,,
169,0.6825664837484171,,,,,,,
175,,,,,,0.6815536160073135,,
178,,,0.8388387840613498,,,,,
186,,,0.8728555537419485,,,,,
188,,,,,,,0.8385772152391925,
196,,,,,,,,0.8389008937256413
197,,,0.9041861930824832,,,,,
198,,,,,,,0.8729223109537784,
202,,,,0.8374392965657782,,,,
203,0.8400168847615027,,,,,,,
205,,,,,0.8348839456023798,,,
206,,,,,,,,0.873319014573364
211,,,,,,,0.9031812558878003,
213,,,,,,0.8399282180828764,,
214,0.8737864077669902,,0.9368282905096665,0.871500434605273,,,,
216,,,,,0.8697440759571595,,,
219,,,,,,,,0.9047236675175231
224,,,,,,0.8726844651922614,,
226.2,0.9041789784719291,,,,,,,
230,,,,0.9026071733548013,,,,
231,,,,,,,0.9362343403646018,
232,,,,,0.9029888135737925,,,
237,,,,,,,,0.9360216913980811
239,,,,,,0.9048970738185329,,
244,,,0.9682079915915723,,,,,
249.6,0.9358379062895736,,,,,,,
254,,,,,0.9346900535393726,,,
255,,,,0.9360374081333054,,,,
260,,,,,,0.9366417746956571,,
265,,,,,,,0.9681790920994591,
270,,,,,,,,0.9684499833528094
288,,,,,0.967332669801592,,,
296,,,,0.9679430873319819,,0.968546051047924,,
299,0.9683410721823554,,,,,,,
541,1.0,,,,,,,
600,,,1.0,,1.0,,1.0,
698,,,,,,1.0,,
700,,,,1.0,,,,
1062,,,,,,,,1.0
