value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,upenn_probability
1.21,,,,,,,0.006775869119272194,,
1.3,0.00649181193097685,0.009715630705803151,0.007828964744056185,0.005550785037457309,,0.006493464992170773,,0.0065976361023538715,
1.4,,,,,0.007938487806770998,,,,0.00923733260328976
1.42,,,,,,,0.014775112114442908,,
1.5,0.01414182879092202,0.019255858862756693,0.015986719057398034,0.01108058978589615,,0.013447096794810341,,0.01520603339757372,
1.52,,,,,,,0.020266776612606157,,
1.6,0.02007359732586609,0.02630704132651101,0.022185210937373672,0.015451982862101057,0.01647846019946005,0.01895631610903397,,0.02191785399979948,0.01867428649647526
1.61,,,,,,,0.02767123009905273,,
1.67,,,,,,,0.03375768410594012,,
1.7,0.027535955665674617,0.035715299946711035,0.029755456020352615,0.02116611443548786,0.022812065170993476,0.025718211740644873,,0.031016409148127932,0.026099057787511693
1.8,,,,,0.03136866847389224,,,,0.03579951178335957
1.9,,0.06147274662015993,0.05216974165763843,,,,,,
1.92,,,,,,,0.06940788028509343,,
2,0.06245216906859798,,,0.04936811865252595,0.057168753845897986,0.059342344933371684,,0.07456526340414629,0.06468984555015628
2.07,,,,,,,0.10242207750512837,,
2.1,0.07940887566156958,0.09859794895952878,0.08423750464886891,0.06329603337664265,0.07449261864768525,0.07584443805323875,,0.09511847338108659,0.084908630483882
2.2,0.09930947528918471,0.12152723834533588,0.10429636337176398,0.07991392087134137,0.09458275818102191,0.09510114083021762,0.13469616732510317,0.11883821448862054,
2.29,,,,,,,0.1621544898159194,,
2.3,0.12169361814423317,0.14727466201599337,0.12664057910084137,0.09968334749502843,0.11734770243975452,0.11783465950851628,,0.14607539518976906,0.13613259416421417
2.69,,,,,,,0.30519122820654065,,
2.7,,0.30245580273394107,,,,,,0.3062289037174017,0.298902653252116
2.8,0.2919497427025759,,0.29569231764306386,0.26410886971690095,0.2951958844040868,0.2912919822324482,,,
3.07,,,,,,,0.4548652767967881,,
3.1,,0.45304473767295944,,,,,,0.45481078792874885,0.4441607920972783
3.2,0.43420369745927956,,0.4362633334950331,0.4142288320123244,0.445719480893856,0.43683251845460647,,,
3.44,,,,,,,0.5986860559034548,,
3.5,0.5382017035875031,0.5972273033278039,0.5400422575446426,,0.556800102002916,0.5439299523855176,,0.5935533102365012,0.5780142814774257
3.6,,,,0.5628546980112185,,,,,
3.87,,,,,,,0.7338857666194665,,
3.9,,0.7131065796001824,,,,,,0.7044682344291332,
4,0.6848861587180577,,0.6859143314522258,0.686767282138431,0.7109686396469812,0.693611989901895,,,0.7135970615746128
4.68,,,,,,,0.8762128129826329,,
4.7,0.8152150009529534,0.8545562064939035,0.8156029515601334,0.8266473648007697,0.8427492003304008,0.825545649186719,,0.8412919001414774,0.8356991307918692
4.9,0.8531014968699145,0.8877356867343887,0.853540416862054,0.8672562127880856,0.8789630073120569,0.8643274853801169,,0.874310715519066,0.8714678438619305
4.96,,,,,,,0.9026234948614917,,
5.2,,0.9122953845742646,,0.8966451019267399,0.9057027391109116,,,,
5.3,0.8899441422686156,,0.8906559082407602,,,0.9015051289425751,0.9257560754706778,0.9066137890316041,0.906515638902197
5.7,,,,0.9299528093356292,0.9366694939214023,,,,
5.8,,0.9446212390770151,,,,0.9319336592848241,,,0.9356352519791025
5.85,,,,,,,0.9511461526243398,,
5.9,0.9263938776407805,,0.927229705329086,,,,,0.9385575991177159,
6.6,,,,0.9640622635034385,0.9673285768930133,,,,
6.7,,0.97002955115323,,,,0.964400984245678,,,
6.8,,,,0.9716136689580139,0.9740003437054777,,,,0.9674537448953985
6.84,,,,,,,0.9749411124591505,,
6.9,,,0.9618523249734543,,,0.9717061323618701,,0.9680506199382847,
7,0.9630400680262136,0.9772928871760691,,,,,,,
7.1,,,,,,,,,0.9755366960965483
7.18,,,,,,,0.9803753256979483,,
7.2,,,0.9710719078958007,0.9790077222449509,0.9804669959586888,,,0.9754586874909488,
7.3,0.9715052265830022,,,,,0.9791263221806794,,,
7.4,,0.9828189027150644,,,,,,,
7.5,,,,,,,,,0.9815857915269318
7.6,,,0.978089678702521,,,,,0.9814659061793309,
7.62,,,,,,,0.985059293079151,,
7.7,0.9778709554457623,,,0.9857798598216975,,,,,
7.8,,,,,0.9876099718937618,0.9860991276004218,,,
8,,0.9884117382726691,,,,,,,0.9871991421988
8.2,,,0.9856572287890303,,,,,0.9874786948433166,
8.33,,,,,,,0.9901994910494317,,
8.4,0.9861308624961516,,,,,,,,
8.6,,,,0.9929191524562674,0.9939352614101903,,,,
8.7,,,,,,0.9930080209631547,,,
8.9,,0.9940246198358567,,,,,,,
9,,,,,,,,,0.993666871991422
9.1,,,0.9924243649240819,,,,,,
9.3,0.9928191294403964,,,,,,,0.9938953067385565,
9.35,,,,,,,0.9950220173502803,,
14.8,,,,,1.0,,,,
14.99,,,,,,,1.0,,
15,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0
