value,sunnybrook_probability,ucmc_probability
16,0.012878397167355827,0.019018774332405248
24,,0.035444079437664325
28,0.025783938497359476,
31,,0.05183957455180678
38,0.03809834028525499,0.07172581962570575
43,,0.08632973427373919
48,0.05108229808513012,
56,0.06343590810796139,
70,,0.17113021600319564
87,0.12704071322795366,
97,,0.25494398702669185
110,0.1887393949264544,
123,,0.3369155005991808
131,0.2517741726308424,
150,0.31233883153427855,0.4203477037363843
178,,0.5068205259674833
180,0.40926460431350903,
209,,0.5912454018088703
212,0.5019257275389594,
245,,0.6770176892487286
249,0.5961642282160555,
289,,0.7610282062135946
293,0.6897573010257477,
350,0.7823249276909667,0.8450029511891205
381,,0.8766701047523088
384,0.8259697252105934,
421,,0.9076605715171497
429,0.8695722984772125,
476,,0.9380816674516631
493,0.9128189816113378,
575,,0.9688485592831293
604,0.956252657865926,
608,,0.9752457833767566
640,0.9651468951601958,
650,,0.9813329835627709
687,0.9738088990629232,
713,,0.9875871196990383
754,0.9825553514716661,
818,,0.9938114458441891
873,0.9912867237900489,
1995,,1.0
1996,1.0,
