value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
2.8,0.006417447146943959,0.006155567098074979,,,,0.007265783468559838,0.009124049139220769,0.006217873045005661,0.010605096480110134,
2.9,,,0.00896060515013874,0.0101557928579203,0.00865106090070833,,0.01491876856944181,0.009623576667754447,0.01637795166371623,0.008912255978294238
3,0.016428664696176536,0.01582575157359912,0.016183877980240718,,,0.019055844320486817,0.023739911920264662,0.014915010720848382,0.025845642226888208,0.014263775878653564
3.1,0.026226214640979073,0.024702055392923052,0.025577490677082412,0.02660674466697614,0.02276278327402576,0.03012487322515213,0.03686495142971532,0.023020804359300637,0.03948150935152258,0.02266218653973786
3.2,,,0.03988971562892137,0.041508791547165316,0.03640735897567475,,,,,0.03520169342365706
3.3,0.061439822893296775,0.05725196016713781,0.060948021420618226,0.06354882492536883,0.05681671394167391,0.07001537145030426,0.08251943864972501,0.0523667997555778,0.08932537611551605,0.05365626891286996
3.4,0.09067667343280747,0.08394789270563305,0.09014686909033068,0.09420132787200929,0.08590898071781333,0.10191509254563895,0.11904197484038181,0.07685501339284737,0.12982292185015717,0.07996544152688807
3.5,0.12960720772052278,0.11848050444533274,0.12876760750075114,0.1355352280518311,0.12538287447379642,0.14380229462474645,0.16611880228417303,0.1090175585375843,0.17741885146276296,0.11601867093141224
3.7,,,,,,,0.33733168974018585,,0.34953472122285006,
3.8,0.3460777156559002,0.31083100554759013,0.3421625634046765,0.3650401459412644,0.3507563706242601,0.368930654158215,,0.29109457781320974,,0.3218707331834435
3.9,,,,,,,0.4851470805149925,,0.4910706700118422,
4,0.49534085918117826,0.4482609226409178,0.485638288471395,0.5217204845235094,0.5079122967513842,0.5219954361054767,,0.42488726135435306,,0.469041002371144
4.1,,,,,,,0.6303100701687844,,0.6251033808350571,
4.2,0.6340600999489572,,0.6243473957688976,0.6657379438915004,0.6518677904139379,0.6619865618661258,,,,0.6099603396203246
4.3,,0.6503262889390483,,,,,,0.6258741488478647,,
4.4,,,,0.7753650624724988,0.7616313328013051,0.7701928562373225,0.796031143982974,,0.778893317913623,
4.5,0.784568154030602,0.7554927365903983,0.7832611654088828,,,,,,,0.7715277798081449
4.6,,,,,,,,0.778217513858257,,
5,0.9074804434789834,0.9014431074802707,0.9111963379933193,0.9316444532923766,0.918734174079376,0.9223266353955375,0.9364213919969657,0.8909473988527926,0.9193005300380926,0.9106000514576249
5.1,0.936643103878067,0.9352688063944494,0.9401707286898429,,0.945273059616055,0.9480104272312373,0.958183197420823,0.9280991355426239,0.944605210914242,
5.2,0.947747884097195,0.9471881864175398,0.9505911878545802,0.96502265680453,0.9550212073971968,0.9571857568458418,0.965663653412563,0.9416233926940539,0.9542636250305591,0.9544029892202123
5.3,,,,0.971813651387549,,,,,,0.9634738574799213
5.4,0.9641201642866469,0.9643982424519503,0.9658454251427158,,0.9691700891648515,0.9708932872718052,0.9771029563604947,0.9606077264573892,0.9683979741690955,
5.6,,,,0.9845072296184112,,,,,,0.9801767540179341
5.7,0.9790234796956424,0.9795920809806141,0.9796610169491525,,0.9820661684948498,0.9832657200811359,0.9867221906146617,0.9773975167930756,,
5.8,0.9859617416283846,0.9866085498154128,0.9864406779661017,0.9923652475968717,0.9883213332082891,0.9891488653651116,0.9913026529279136,0.9850258548754126,0.9841300665278431,0.9902055088895971
5.9,0.9885702669658013,0.9891002978448733,0.9892472738198335,0.9941820712161369,0.9905526663634932,0.9910742583671399,0.9930015593063194,0.9877044243484813,0.9894183105014123,0.9921249367743671
6,,,,,,,,,0.9912587927892627,
6.1,0.9922649359590708,0.9927138511030952,0.9921811208709638,,0.9937236013469396,0.9938474581643002,0.9952509640305961,0.991699281845519,,
6.2,,,,,,,,,0.9941317830398213,
6.3,,,,0.9973719781236947,,,,,,0.9963416844770473
6.4,,,,,0.9965724882461297,,,,,
6.5,0.9961510155146421,0.9963968190518592,0.9961453491454728,,,0.9969019396551724,0.997755863202478,0.9957269917890785,,
6.6,,,,,,,,,0.9972076337969071,
10,,,,,,1.0,1.0,,,
11.2,1.0,,,,,,,,,
12,,,,1.0,,,,,,
13.8,,,,,,,,1.0,,
14.7,,,1.0,,,,,,,
15,,1.0,,,1.0,,,,1.0,1.0
