value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,upenn_probability
18.8,,,,0.0015102230483271376,,,,
19.1,,,,,,0.009085228092102101,,
19.7,,,0.003043433657542879,,,,,
20,,,,,,0.01840119213574965,,0.0015952704921878666
20.02,,,,,,,0.0008482379530678869,
20.26,,,,0.002973977695167286,,,,
20.4,,,,,,,,0.0021583071364894664
20.5,,0.0018543303268354185,,,0.0016271532885978241,0.02655386242368889,,
20.8,,,0.006130833451390551,,,,,
20.9,0.0027524386048111884,,,,,,,
21,,,,0.004519052044609666,,0.03709080421093112,,
21.1,,,,,,,0.0017187979575322971,0.0032843804250926663
21.3,,,,,0.0031063835509594824,0.04337835889054463,,
21.4,0.0051887187212319025,0.003801765105227427,0.009052138952531229,,,,,
21.5,,,,0.005982806691449814,,,,
21.6,,,,,,,,0.004222774832262
21.7,,,,,,,0.00253913334635453,
21.8,0.007615700058582308,,,,0.004357005500047066,,,
21.9,,0.005551352924061682,0.012330058670366335,0.007434944237918215,,,,
22.1,,,,,,,,0.005255008680148266
22.2,0.010740089826205819,,0.014943601217373464,,0.005997606336484542,,0.003487820530706772,
22.3,,0.007394045194452526,,,,,,
22.4,0.012432467617001888,,,,,,,
22.5,,,,,0.007234780737732475,,0.004224448226792042,
22.6,,0.009197943943361458,,,,,,
22.7,,,,,,0.08806422150651348,,
23.2,,,,,,,,0.010463097639938065
23.3,,,0.028919947436041486,0.015311338289962825,,,,
23.4,0.024390697501418063,,,,,,,
23.5,,,,,0.013891316918359937,,0.008420993889338431,
23.6,,0.01807002230627485,,,,0.13089458251213767,,
24,,,,0.022269981412639406,,,,0.015295828836860132
24.1,0.03693475046726365,,0.04518741786881482,,,,0.012305030832333492,
24.2,,0.026918824556299098,,,0.02183881769159394,,,
24.4,,,,,,0.17399413546123155,,
24.6,0.048502431630726886,,0.05871921759817882,0.031110594795539032,0.027473340236407892,,0.01649041546918162,0.020316238915216066
24.7,,0.03595771506158472,,,,,,
25,0.059326210468565475,0.043076326253515665,0.07184555184828752,0.036907527881040895,0.03399540093863884,0.21178676152478007,0.020140070872513183,0.025336648993572
26.7,,,,,,0.3364034033552853,,
27.4,,,0.18039305725856486,,,,,
27.5,0.15054723314828763,,,,,,,
27.7,,0.143772669964116,,,,,,
28,,,,,0.11767949114478975,,,
28.3,,,,0.12569702602230484,,,,
28.4,,,,,,,,0.10341106367006053
28.6,,,,,,0.46638465605922225,,
29,,,,,,,0.101130053851949,
29.4,,,0.28288300611129297,,,,,
29.6,0.235194019025302,,,,,,,
29.9,,0.24423237319367666,,,,,,
30.3,,,,,0.20161908475989404,,,
30.6,,,,,,0.5856559150122579,,0.17824801764181486
30.7,,,,0.21569470260223048,,,,
31.5,,,,,,,0.1811434470827869,
31.7,,,0.3877275858194555,,,,,
32.2,0.3227978166466743,,,,,,,
32.3,,0.34400931044515565,,,,,,
32.8,,,,,0.2871858316635961,,,
33,,,,,,,,0.2557124759536433
33.1,,,,0.30480947955390336,,,,
33.6,,,,,,0.7119357784934865,,
33.9,,,,,,,0.2599960936410056,
34.8,,,0.4897094815415504,,,,,
35.4,,0.4421918339637281,,,,,,
35.6,0.41114551659367127,,,,,,,
35.8,,,,,0.3688527896937993,,,
35.9,,,,,,,,0.32914183831464366
36,,,,0.3922165427509294,,,,
36.6,,,,,,,0.3394514355869304,
40,0.4967035828195758,0.5398390068858501,0.591837931051328,0.4797630111524164,0.4521065583690814,0.8346776907176849,0.41740561957643907,0.40482334725285035
43.6,,,,,,0.8679421237321541,,
45.9,0.5983299392789727,,,,,,,
46.3,,,0.6745431185668994,,,,,
46.6,,,,,0.5618519962884768,,,
47.1,,0.6323499175637669,,,,,,
47.3,,,,0.5847932156133829,,,,
47.9,,,,,,,0.5342615586372388,
49.6,,,,,,,,0.5246093933280158
49.9,,,,,,0.9010046627890208,,
52,0.6987660520173701,,,,,,,
52.7,,,,,0.6714360636337964,,,
53.6,,,0.7551281612873285,,,,,
56.6,,0.7244845310833091,,,,,,
57.5,,,,0.688603624535316,,,,
57.9,,,,,,,0.6514132648790424,
59.2,0.7989046038255178,,,,,,,
59.6,,,,,0.7808318653093609,,,
59.9,,,,,,,,0.6438793224792381
61.5,,,,,,0.9339806758640581,,
62.8,,,0.8372422485259131,,,,,
66.6,,0.8157501697216565,,,,,,
67.5,,,,0.792646375464684,,,,
68.3,,,,,,,0.7668015290605207,
70.1,,,,,,,,0.7623046966640079
70.4,0.8993221190057745,,,,,,,
71.9,,,,,0.8905235130373976,,,
74.2,0.9194818720302025,,,,,,,
76.1,,,,,0.9125640439465863,,,
78.2,,,0.918252297230622,,,,,
79.3,0.9396416250546303,,,,,,,
81.8,,0.9078925419454951,,,,,,
82.3,,,,,0.9345911273079354,,,
83.3,,,,0.8957481412639405,,,,
84,,,0.9348470711225532,,,,,
84.1,,,,,,,0.8832277686319373,
84.7,,,,,,0.9668605489592847,,
86.9,,,,,,,,0.8808708300098531
87,,0.9264746387353312,,,,,,
87.1,0.959764182962777,,,,,,,
89.3,,,,,,,0.9069058846507994,
91.7,,,,0.9166705390334573,,,,
92.7,,,0.950977758020156,,,,,
93.3,,,,,,,,0.9047529676723127
93.7,,,,,0.95640304990385,,,
94.2,,0.9447502667054601,,,,,,
94.3,,,,,,0.9735230495601596,,
96.7,,,,,,,0.9301431401545802,
103.4,0.979868143312783,,,,,,,
103.9,,,,,,,,0.9286351053347722
104.9,,,,0.9375116171003718,,,,
108,,,,,,,0.9534417812997015,
108.9,,,,,,0.9801663221650724,,
109.1,,0.963204344874406,0.9673233904730267,,,,,
126.4,,,,,0.9781342872127268,,,
126.58,,,,,,,,0.9523295641157978
130.5,,,,,,,0.9766567147520857,
131.8,,,,0.9583294609665427,,,,
138.7,,,,,,0.9867519107820988,,
150,,1.0,0.9965022496006409,,,0.9999807720040379,,0.9960118237695303
180,,,,,,1.0,,
197,,,,,1.0,,,
199.7,,,,,,,1.0,
200,1.0,,1.0,1.0,,,,1.0
