value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
3.6,,,0.03433984606275903,,,,0.037520391517128875,,,0.03424337077750498
3.7,0.025294910684192786,0.036975814332517315,,,0.032041253242208405,0.028626643307076084,,,,
3.8,,,,,,,,0.032092039711838286,,
3.9,,,,0.033118111989313144,,,,,0.033677539728495146,
3.98,,,,,,,0.06933115823817292,,,
4,0.04797354229861813,0.07510608765937994,0.07519242155121374,,0.0631973321256536,0.05641073649579394,,,,0.08068023330942016
4.1,,,,,,,0.10603588907014681,0.05966094405218451,,
4.2,,0.11434278653605986,0.11308466548253404,0.06705258080077182,0.09554736712091894,,,,0.06743550151193463,0.11828110309549378
4.3,0.08529238287832827,0.13692181811556514,0.1373593842510361,,0.1150623739141175,0.1001096652535006,0.15252854812398042,0.08776746353177306,,0.14127562682969214
4.4,0.10117964273677114,0.16221391114806558,0.16163410301953818,0.10197834003912151,0.13764461278768167,0.11865245476308293,0.1737357259380098,,0.10228720324261725,0.1673736649095681
4.5,0.11929558476575666,,,0.12319036486909135,,0.13948216602249475,,0.12338625855704097,0.12302322588946793,
4.6,,,,0.14720662839331436,,,,0.14514891939357014,0.1486810782989127,
4.8,,0.2909501677857907,,,,,0.31158238172920066,,,
4.9,,,0.3280047365304914,,0.2862098069084771,,,,,0.3414066294452886
5,0.24164981462756993,,,0.27030422544170735,,0.2706926296925361,,0.25391204616321994,0.2777809946599756,
5.2,,0.4442596721137697,0.4570751924215512,,,,0.49755301794453505,,,0.46769938910004766
5.3,,,,,0.43458973197743833,,,,,
5.4,0.3750337040781935,,,0.4271162990410458,,0.40390916507295416,,0.3938998602200638,0.44417422633983145,
5.5,,,,,,,0.6215334420880914,,,
5.6,,0.5959476336075105,0.6163410301953819,,0.549343324138499,,,,,0.6289997014566243
5.7,0.48611813279406807,,,0.5503040134009743,,0.5126449386810747,,0.5106770366653525,0.5700090072701538,
6,0.5940091001011122,0.7258449745422744,0.7489638839550029,0.6627598161606845,0.6841574375231586,0.6170275366776777,0.7724306688417618,0.6248234830292821,0.6836775397284951,0.7574312793252028
6.1,,0.782953427434716,0.8158673771462404,0.7322296613179392,,,,,0.7518271890883356,0.8120402097824198
6.2,0.6953235591506572,,,,0.7719235044670427,0.7159603065277573,0.8393148450244698,0.7291996702627146,,
6.3,,,0.8626406157489639,,,,0.8703099510603589,,0.809846876407386,0.8560374827891972
6.4,0.7543394000674082,0.8529547193687411,,0.817000895872097,0.8208757050516695,0.7736281812953874,,0.7881652987348123,,
6.5,,,0.8946121965660154,,,,,,,
6.6,,0.8890361178376337,,0.8616778783204253,,,0.9102773246329527,,0.8774367882648137,0.9071752895202363
6.7,0.8295458375463431,,,,0.8804191197661493,0.8430182017573188,,0.8577255295509122,,
7,,0.9399002229414356,0.9461219656601539,,,,0.9502446982055465,,0.9364311908897897,0.9506579093943134
7.1,,,,0.9358709308058077,0.9352175882086541,,,0.9203326045661446,,
7.2,0.915314290529154,,,,,0.9217030211439958,,,,
8.2,,,,,,,0.9934747145187602,,,
8.3,0.9853471520053927,0.9934045111686041,0.9893428063943162,0.9915766818805892,0.9905615710815595,0.9854961015339762,,0.9886455682592021,0.9930097149842373,0.994160580689145
8.4,0.9897792382878329,0.9953921019766591,0.9928952042628775,0.9942828517358184,0.9927024579027544,0.9892006472924719,,0.9921221461596359,0.9952164961719102,0.995925105715546
8.5,0.9914644421975058,0.9961473864837199,,0.9951628207778714,,,,0.9935199455216659,0.9960496686611336,0.9965489276945768
8.6,,,0.9940793368857312,,,0.9922565631979458,,,,
8.7,0.9940596562184024,0.9973068144550854,,0.9965384350333699,0.9947712956482359,,,0.9957277516934877,0.9972624332496944,0.9975537266679441
8.8,,,,,,0.9944030599280489,,,,
8.9,,,0.9970396684428656,,,,,,,
9,,,,,,,,0.9975771477724813,0.9984301614874863,
9.1,0.9970129760701045,0.9986931590437038,,,0.9964284243896414,,,,0.9989995496364923,0.9987077973291507
9.2,0.9979861813279407,0.9991287726958026,,0.9982718680258478,,0.9970778222085512,,0.9986882190602487,0.9991957794505565,0.9990731787740116
9.22,,,0.9976317347542925,,,,,,,
9.3,0.998361139197843,0.9992629350753462,,0.9986747454185949,,0.9979671806668182,1.0,,,
9.4,,,1.0,,,0.9982814652347772,,0.9992114977957779,0.9994692144373672,0.9993137958230662
9.5,0.9989341085271318,0.9994948206696194,,,,,,,,
9.6,,,,0.9990537682288768,,,,,,0.9994964865454967
9.66,,,,,,0.9988297915022802,,,,
9.7,,,,,,,,,0.999700829955607,
9.8,,,,,,,,0.9995770760904628,,
9.9,0.9994607347489046,0.9997416131949528,,,,,,,,
10,,,,0.9993479747459487,0.997982625880028,0.9994650475438995,,,,
10.2,,,,,,,,,,0.9997571550153059
10.7,,,,,0.9984046276092058,,,,,
10.9,,,,0.9996607348271603,,,,,,
11.3,,,,,,,,1.0,,
12,,,,,0.9989089711391989,,,,,
14.6,,,,,,,,,1.0,
15,,,,,0.9992692165177652,,,,,
16,,1.0,,,,,,,,
16.5,,,,,,,,,,1.0
17.4,,,,1.0,,,,,,
18,,,,,0.9997426818724525,,,,,
18.1,,,,,,1.0,,,,
20,1.0,,,,1.0,,,,,
