value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
0.6,,,,,0.20055178445538344,,,,,
1,,,,0.1009857600120511,0.3306475367829063,,,,0.10508585450793445,
2,0.3722555384343345,0.367322438269839,0.29388675175490575,0.4068772621812961,0.5487840002847545,0.3817354379197753,0.34178812664024744,0.38304640467166534,0.4389988196684011,0.31419459918152826
3,0.5039715057973577,0.45914100243818956,0.41945617516765266,0.5366442757022841,0.6508379736086347,0.49703831057876124,0.42755472271751654,0.5292076111602885,0.5909313558960486,
4,0.6168206734534064,0.5565119937042714,0.5825628677934431,0.6435525436009236,,0.6182444720770103,0.5149829581578558,0.6565469144408735,0.7181535631951435,0.5192525058283034
5,0.7001247884406497,0.6768886934857478,0.631502713480874,,0.7118117540404083,,,0.7582753529946515,,
6,,0.7419353543505472,,0.7647072685996182,,0.7820266372295251,,0.8177698231556132,0.8120159968903714,0.6824943313761184
8,,,,0.8060737936072773,0.8121572004566242,0.8288384594562588,0.7371932826938061,,,0.7039698045978585
9,,,0.7008210983719114,,,,,,,
10,,0.8267751154099802,0.8578455808353947,,,,,,,
12,,,0.9046911397246703,,,,,,,
13,,,,,,,,0.9009092252552952,,
15,,,,,0.9081830230393255,,0.8150914714304153,,,
20,0.8055583903806806,,,,,,,,,
30,,,,,,0.9034136087567037,,,0.925512701600479,
35,,,,,,,,,,0.8013942875783
40,0.9415656654962488,0.9471623549156772,,0.9376179753682449,,,,,,0.9049533165441697
50,,,,,,,0.9197565860863995,,,
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
