value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
6.8,,,0.10178324827379165,,,,,,,
7,,0.16019407045729833,,,,,,0.12494597483353388,,
7.1,,,0.20516961873311318,,,,,,,
7.2,,,,,,,0.10211332764355394,,0.10159322771646336,
7.5,,,,0.1044038521129878,0.1050144086366231,,,,,
7.7,,0.2016938864851654,,,,,,,,
7.8,,,,,,,0.20508012219731836,,,
8,,,0.3275472830981687,,,,,0.272756086149388,0.20935092966329294,0.16815301836701477
8.1,,0.3014779542298819,,,0.20284444547602176,,,,,
8.2,,,,0.20085021215060211,,,,,,
8.3,0.10369307309605817,,,,,,,,,
8.8,,,,,,,0.30665943479752095,,,
8.9,,,,,,0.10314059859770427,,,,
9,0.2166411532083174,0.4177792280690446,0.43613129190433303,0.318802727439799,0.3244304182167526,,,0.4096308177386403,0.33524755496422476,0.28052191520577807
9.7,0.3061211038822979,,,0.40471198359136157,,,,,,
10,0.44354934728069056,0.5406296412677695,0.5387571299909937,,0.4556487440586587,0.21164177365160136,0.43937393815156617,0.5327725235206708,0.4668408499906888,0.39181009942867717
11,0.5836777650210486,0.6333596534341017,0.6135935154608225,0.5878577148905174,0.5513644503792376,0.3728319770039039,0.5398736549919838,0.6295828776925114,0.5614798328019582,0.49886878613265384
11.83,,,,,,0.40024277973080585,,,,
12,0.695792405493898,0.7162061991894483,,0.6676365363177953,0.6478453775222367,0.5328607221240313,0.6381324229686292,0.7112099304773286,0.6460997220096971,0.592063781451549
13,0.7727005995662712,,0.7444451115781047,0.730185750830694,0.7368626816674125,0.6499679530755337,0.7221263290553637,,0.7164184797363243,0.673491914345911
14,0.8346111323723264,0.8277013689138124,,,0.8006262480171351,0.7350127216578942,,0.8253412675436009,,0.7457910075474227
15,,,0.8427939557690384,0.830282201215087,,0.80053023093208,0.8421676464254094,,0.8240617546819715,0.8042051605904382
16,0.9136900965259174,,,,,,,0.9042228128211496,,
17,,0.9231882773494047,0.9051015710997699,,0.9140254459496608,,0.9204851999266178,,,
18,,,,0.921268852428229,,0.9221958941091926,,,0.9181532828209172,0.9172198784825146
40,,,,,,,,,,1.0
41,,,,,,,1.0,,,
44,,,1.0,,,,,,,
46,,,,,,1.0,,,,
50,1.0,1.0,,1.0,1.0,,,1.0,1.0,
