value,emory_probability,jhu_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
5,,0.6397751606642278,0.5702546686799744,0.6906866033812216,0.586718240529326,0.23737359311775308,0.4381644030818666,0.7371359601308207,0.561154217089353,0.4131209426531559
6,0.7159935186204472,,,,0.6281829280128313,,,,,
7,,,,0.7115602612645264,,,,,0.6238970819864398,
7.5,,,,,,,,,,0.6327719947998984
8,0.874149994882105,0.8050869054276186,0.7291916716907176,0.8295058748531609,0.8509810782325609,0.8029120337311707,0.7604345545685339,0.9028614442194881,0.7873465510640257,0.7388845734940805
9.9,,,,,,,,,,0.8031606131808291
10,0.9532456145433196,0.932146010297487,0.8752320742785187,0.9290403592515764,0.9364891463325348,0.9127110748410351,0.919495555243107,,0.9011718579618977,
10.2,,,,,,,,,,0.9017323119757482
12,,,0.9307031274486487,,,,,,,
28,,,,,,,1.0,,,
30,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
