value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
16,,,,,,,0.0007784596870602642,,
30,0.0011062204236837081,,,,,,,,
35,,,,,0.001094601783189281,,,,0.0010593984458493167
36,,0.0010485941121677533,,0.0014688737393313421,,,,,
38,,,0.001135543810856372,,,,,,
40,,,,,,0.0013759505921144312,0.0016363000356154568,0.0014088269666799528,
41,,,,,,,,,0.002032560635914083
42,0.0023585652824941873,0.002207654004683011,,0.0029594077992354285,0.0023278758587452204,,,,
43,,,0.002622377831128038,,,,,,
44,,,,,0.003201738632282,0.003040737492158263,0.002605978916143504,0.003173297205448581,0.0031351212826995173
45,0.0036254056852692423,0.003464933053429252,0.003820489986557358,0.0048459837205590646,,,,,
46,,0.004268779305740725,0.004692148222020189,,0.004478205716935752,0.004722401305019338,0.0034768729734778628,0.00483442069002019,0.004271383117009612
47,0.005041059212777401,,,0.006924766486544001,0.00528205034940871,0.005775038467306285,0.003996904507004638,0.005850630327406029,0.005002437386234619
48,0.0060225478186368975,0.0061241736298058465,0.00665087174181913,0.008325315214665178,,0.006998855745310991,0.004669170509131687,0.007184656318111343,
49,0.00717856744981181,0.006997561014035246,0.007889581678078225,0.009845869718871839,0.0073057564914546045,0.008395781929069712,0.005444631371202143,0.008836548830463413,0.006907362487181722
50,0.008923994602514066,0.008950005218661935,0.009544777083555726,0.012134415589350722,0.008905943812715112,0.010620882334646036,0.0066023542187381755,0.010792260732823807,0.008391096199143638
51,0.010882880330049508,0.010348951245881689,0.011340870669560094,0.014603540132393959,0.010498401858663381,0.012691438438567314,0.007752844606004671,0.013026206178279673,0.010001936569546425
55,0.021911885095225788,0.02080375271025792,0.022878759981382335,0.028826542632830965,0.020824713675816005,0.025481968465247303,0.015271780862804287,0.025846170363110828,0.019627019232212904
57,,,,,,0.03505527671145156,,,
58,0.03462529544899538,0.03417774319456944,0.036866605961043804,0.0450995234729474,0.03374806199788127,,0.024615766728107297,0.04123440172639248,0.03191414312497684
59,0.040474831936442184,,0.04282946472303597,,,0.04716036297899692,0.028586740219023594,,
