value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
7,,,,,,,0.026639863540725648,,
8,,,,,,,0.05684937239701337,,
9,,,,,,,0.08379170911777693,,
10,,,,,,,0.10764322018488962,,
15,,,,,,,0.17129131226603786,,
45,0.00478505032787934,,0.008037480814159418,,,,,,
45.67,,,,,0.004114628041229007,,,,
47,,,,,,0.0051979964086570265,,,
48,,0.006941069466459213,,0.003745120191507636,,,,,
49,,,0.014908382020944319,,,,,0.006656138623074084,
50,,,,,0.008652718349267091,,,,0.003231204001871983
52,0.010473744295741848,0.013539155761047948,0.02513680532945979,,,0.011690643729203412,,,
52.667,,,,0.007575071919112214,,,,,
53,,,0.030102315538652537,,0.014211377292593587,,,0.013659744504141693,0.005637922151350547
54,0.01386213165838562,0.019586857878744954,,,0.016790237925182326,0.01678406651471579,,,
55,,,0.04357936229664798,0.012075931732545498,,,,0.020139980114857087,
56,0.018850775022695467,0.028747333668903925,0.052261066965291966,,0.02378883239084994,0.024470718771824527,,,0.010140044530107016
56.333,,,,0.01486071164259333,,,,,
57,,0.03368910509926799,0.06248076943717956,,0.02830644580010615,0.029502281104209088,,0.029938954074938344,0.012431075573606351
57.67,,,,,0.028849902693776987,,,,
58,0.026458744719996336,0.04251510705857212,0.07451619481722915,0.02084987720709045,0.033783606686280804,0.03559357191339046,,0.036570471503711996,0.015192644038235942
58.667,,,,0.02223543925798949,,,,,
59,0.031627036222000894,0.04981680239727424,,,0.04035791980918807,0.042841309526878,,0.044634095597144985,0.018557408844955665
59.333,,,,0.025887156085710947,,,,,
59.67,,,,,0.04109467862735976,,,,
60,0.03820144585438284,0.06243808390743493,,0.03046604908914281,,0.05179659202908423,0.2575354208215841,0.054356017242154414,0.022785850458468575
61,0.04616441402473594,,,0.03690686129878323,,,,0.06601511981791816,0.027885183949877556
63,,,0.16674619771523025,,,,,,
64,,0.1267972366425612,,,0.09255230619024842,0.10344074222724634,,0.11505390002854177,
65,0.09748594526539973,,,0.08141025364392829,,,,,0.05995018977276789
66,,0.17237173544095716,0.24635692640150553,,0.12476410612603285,0.14060218205384067,0.344385341595546,,
67,0.13572165074412765,,,0.11728518512103332,,,,0.18699833663184154,0.08513619922516695
68,,,0.30639675602766336,,,,,,
68.667,,,,0.1453452699679396,,,,,
68.67,,,,,0.16449174699071495,,,,
69,0.18084796131290248,0.24781186550453274,,,,0.20828930071912777,,0.24437910157209725,0.11716750738642905
70,0.20583403336347117,0.28166951228485054,0.36888401018951494,0.18066989010739554,0.2052776339844441,0.23358678935656538,0.4278892971250617,0.2749517246859099,0.13593653098725458
73,,,0.49325610995230823,,,,,,
74,0.34083733714552494,0.4337419310882931,,,,0.36761261609574625,0.5389096534546305,0.4339891666745078,
75,,,,0.3316945575219591,0.3483562783809817,,,,
76,,,,,,,,,0.2950586929636331
77,,,0.606066392847304,,,,,,
78,,0.5478864583878759,,,,,0.6238073522917827,0.5546821565866138,
79,0.48801177155780723,,,,,0.5070153926972754,,,
79.667,,,,0.4629890648898588,,,,,
80,,,,,0.4784103865383229,,,,
81,,,,,,,,,0.43145780839591585
82,,,0.7216396156749659,,,,,,
83,,0.6649445273222744,,,,,,0.6801409942362359,
84,0.6193646448290009,,,,,0.6335480038343662,0.7336172386623065,,
84.667,,,,0.5991805687425407,,,,,
85,,,,,0.6005190484303229,,,,
86,,,,,,,,,0.5665349260274836
88,,,0.8213807186327159,,,,,,
89,,,,,,,,0.7926344991547246,
90,,0.7925760197580091,,,,,0.8201880644314052,,
91,0.762480971480152,,,0.746361746853356,,0.7737377828673547,,,
91.67,,,,,0.7271612957126289,,,,
92,,,,,,,,,0.707722143020419
100,0.8806497835074169,0.8995613548164316,0.93064050296419,0.87790164495738,0.857210898952238,0.8881882128834213,0.9134104139668723,0.9143950870523883,0.843529130685599
102,0.9087763211229495,0.9223679771486752,0.9468060271267214,0.9049711812197285,0.8879110942199449,0.9147197193695634,0.9324653584509217,0.9353614192680971,0.8819977580806336
105,0.9307536859487773,0.9393827448830921,0.9594320096743147,0.9292341237484615,0.9145822548833308,0.935557118432083,,0.951692275845197,0.9120714862685718
106,,,,,,,0.9516164132106893,,
108,,,,,,,,,0.9353637855247964
109,0.9526724778684669,,0.9718388532502334,0.9533064761222281,,0.9560073987065765,,0.9676663080649832,
109.33,,,,,0.9416916211806489,,,,
110,,0.9614842264898396,,,,,0.9654588904891234,,
115,,,,0.9755520833413386,,,,0.9824710687898396,0.9692291155667455
115.667,,,,0.9782594803379712,,,,,
116,0.9761523543913778,,,,0.9702593522092117,0.9773693842307395,,0.9860197095012718,0.9757733490359517
116.667,,,,0.9806527937448595,,,,,
117,,0.979229322599159,0.9860808739083301,,0.9753900439679971,0.9815523291565253,,,0.9785024496806183
118,0.9827543927530703,0.9829003657711871,0.9883851872788485,0.9841701989000985,0.9777784694419144,0.9833327810078589,0.9817116287661231,0.9888385487400326,
119,0.9844986865302086,0.9843377636555494,0.9893760084864921,0.9859587550844978,0.9799502493267196,0.9849342794055014,0.9844038709640178,0.9900240775416025,0.9831220629331298
120,0.986094030757775,0.9859209549159796,0.9902624032657968,,,,0.9855453608753251,,0.9850772652125674
120.333,,,,0.9877804162585935,,,,,
120.67,,,,,0.9822297376991174,,,,
121,,,,,,0.9876541755192166,,0.9919976413836797,
122,0.9887598961503602,0.9883331829070938,0.9918004010690404,,0.9852418895099305,0.988809885889557,0.9874892128481833,,0.9883024839850019
122.333,,,,0.9903907446961521,,,,,
123,,,,,,,,0.9935641975424807,
124,0.9908613986988956,0.9903090518909259,,,,,0.9890555505848873,,0.9908401392771089
125,,,0.993596893414382,0.9931586765310866,0.9890145533415022,0.99162502746285,,0.9947948390631192,
126,,0.991903588939377,,,,,,,
127,0.9932561341611801,,0.9945485826627979,,,,0.9909555324018622,,
128,,,,0.99518813063158,0.9917408476453204,0.993629355239789,,,0.994358224344765
129,,,,,,,,0.9965113701825314,
130,,0.9942648176133375,,,,,,,
131,0.9954278750793405,,0.9959761165354218,,,,0.9927845138349731,,
132,,,,,0.9942873547778338,,,,
133,,,,,,0.9958298199296215,,,
134,,,,0.9976210517939978,,,,,0.9972124408815112
135,,0.9961154858263594,,,,,,,
137,,,0.9973692142839254,,,,,0.9982709753233949,
138,,,,,,,0.9946784346435694,,
139,0.9976849580724824,,,,,,,,
140,,,,,0.997059926872899,,,,
142,,,,,,0.997822119285119,,,
145,,0.9980229964373658,,,,,,,
149,,,0.9986429036539858,,,,,,
150,,,,,,,0.9963570453450012,,
186,,,,,,,0.9981718844252288,,
243,,,,,,,,1.0,
248.333,,,,1.0,,,,,
250,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0
