value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
30,0.011924183231013609,0.007335704345136849,0.02030714072912184,0.009789588815611362,0.004675918442745976,0.007360861759425494,0.007067675851261586,0.012164827759222003,0.01077608754786466,0.013309092807000756
51,,,0.15320114382039066,,,,,,,0.15369131603441227
52,,,,,,0.11903052064631957,,,,
53,,,,0.13097906717347282,,,,,,
54,,,,,,,,0.12359622413190943,0.138721202736917,
55,0.1496980494855393,,,,,,0.1296163533584149,,,
56,,0.1200371114890985,,,,,,,,
58,,,,,0.1260592975731406,,,,,
64,,,0.27934731958474124,,,,,,,0.2871145364869214
65,,,,,,0.22746858168761222,,,,
67,,,,0.2510964556057308,,,,,,
68,0.2791360780778202,,,,,,,,0.2651336025611517,
69,,,,,,,0.25257741769710507,0.23510140635837298,,
70,,0.2287119220658729,,,,,,,,
72,,,,,0.2536310527166509,,,,,
78,,,0.40998016393400877,,,,,,,0.42162510112300905
79,,,,,,0.33321364452423696,,,,
81,0.40679245553027377,,,0.3734338282273697,,,,,,
82,,,,,,,0.3689466371439991,,0.3884858027662112,
84,,0.33599505180145356,,,,,,0.3487562164581806,,
85,,,,,0.37256679058812664,,,,,
95,,,0.53498557492762,,,,,,,0.5508798789133517
97,0.5358011705948854,,,,,,,,,
98,,,,0.49407101783567786,,,0.48976963437149074,,0.5074726412922935,
99,,,,,,0.44272890484739674,,,,
100,,,,,0.4916699378853303,,,0.4559424667102823,,
101,,0.45024277099118604,,,,,,,,
120,0.6645809184447402,0.5547239832998299,0.6623641840603587,0.6082540095080299,0.6105883575403515,0.5464991023339317,0.6100279788604166,0.5635911083127143,0.6289991839467682,0.6796892805261006
137,0.7335429814393452,,,,0.68954210635694,,,,,
138,,,0.7312633205930958,,,,,,0.7036131279948107,0.7458241633973851
139,,,,,,,0.6879500567824945,,,
141,,0.6472181846296583,,0.6892022134866747,,,,0.6530687536585486,,
142,,,,,,0.6373429084380611,,,,
162,,,,,0.7668044426997945,,,,,
163,0.8004801156284435,,,,,,,,,
164,,,,,,,,,,0.8078775911411895
165,,,0.7989096529579675,,,,,,0.7787711075307067,
169,,,,,,,0.7673694161236907,,,
171,,0.734473480748415,,,,,,0.7384980151605334,,
172,,,,0.7669341476885091,,,,,,
176.2,,,,,,0.7278276481149013,,,,
205,0.8656856852559424,,,,0.84499618999238,,,,,
207,,,,,,,,,0.8519334184260635,
209,,,0.8655196208994217,,,,,,,0.871926512930697
214,,,,,,,0.8442256326965658,,,
220,,0.8222854492036493,,,,,,0.8259145756575549,,
223,,,,0.8440163304202809,,,,,,
241,,,,,,0.818491921005386,,,,
300,,,,,,,,,0.9255508359314515,
301,0.9326550179596159,,,,,,,,,
303,,,,,0.92179093449096,,,,,
304,,,0.9323587603349978,,,,,,,
308,,,,,,,,,,0.9359754347202046
318,,,,,,,0.9219446894092718,,,
327,,0.910728312973558,,,,,,0.9124112725108342,,
336,,,,,,,,,0.940632127388002,
337,,,,0.9214450472694194,,,,,,
339,0.9464180941341461,,,,0.9377467845844782,,,,,
342,,,0.9460275667843929,,,,,,,
347,,,,,,,,,,0.9490218251724528
349,,,,,,0.9091561938958708,,,,
356,,,,,,,0.9377803437402851,,,
368,,,,,,,,0.9301887442139593,,
369,,0.9288510901499922,,,,,,,,
383,,,,0.9373747874771233,,,,,,
389,,,,,,,,,0.9555250988679876,
392,,,,,0.9531888609231763,,,,,
395,0.959719658266432,,,,,,,,,
397,,,,,,0.9276481149012568,,,,
398,,,0.9596021582862047,,,,,,,
402,,,,,,,,,,0.9616489357075131
413,,,,,,,0.9532797441932762,,,
427,,,,,,,,0.9474989055098356,,
431,,0.9466336786763568,,,,,,,,
447.2,,,,0.9528713600381188,,,,,,
472,,,,,,,,,0.9703265259149212,
476,,,,,,0.9456014362657091,,,,
483,0.9731285507806351,,,,,,,,,
486,,,0.9729475782938947,,0.9687752557323297,,,,,
493,,,,,,,,,,0.9743960890404405
506,,,,,,,0.9688172111230245,,,
527,,,,,,,,0.9651042102208165,,
537,,0.9643977114581722,,,,,,,,
558,,,,0.9685953456136361,,,,,,
601,,,,,,0.9637342908438061,,,,
653,,,,,,,,,0.9851305685170848,
663,0.9865696418094134,,,,,,,,,
673,,,0.9864865208966207,,,,,,,
687,,,,,,,,,,0.9871971746448734
694,,,,,0.9843847414967557,,,,,
698,,,,,,,0.9844371554190802,,,
713,,,,,,,,0.9825078335981425,,
747,,0.9821493737436214,,,,,,,,
803,,,,,,0.981867145421903,,,,
813.4,,,,0.9842868436156503,,,,,,
2300,1.0,,,,,,,,,
2990,,,,,,1.0,,,,
4009,,,,,,,,,1.0,
4440,,,,,,,,1.0,,
4544,,,,,,,1.0,,,
4555,,,,,1.0,,,,,
4846,,,,1.0,,,,,,
4948,,1.0,,,,,,,,
4965,,,,,,,,,,1.0
4978,,,1.0,,,,,,,
