value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
6.1995000000000005,0.00868798535856134,,,,,,,,
6.9995,,,,,,,,,0.010127374470696308
7.2495,,,,0.008959103428468708,,,,,
7.4995,,,,,,,,0.012776529417349749,
7.9995,,0.015781454387605573,0.011688449317334102,,,,,,
8.9995,,,,,0.017223020157495914,0.016303184695786645,,,
9.9995,,,,,,,0.015519929541424168,,
13.55,0.008682019974492017,,,,,,,,
14.0,,,,,0.017419580506166113,0.01795663069817534,,,
15.0,,0.018760324077715725,0.01296969654853712,0.01047777063786089,,,,0.014215748330537709,0.012309246330100072
15.35,0.012836313440368232,,,,,,,,
15.5,,,,,0.014158535981377842,0.015429861441915374,,,
15.5,,,,,,,0.008553813927470514,,
16.5,,0.016090266306580316,0.011178556351424835,0.008725621258861475,,,0.013338332083645755,0.012027249422413521,0.010567774661495727
16.5,0.011588355093065958,,,,0.020289052052894854,0.02124281147954076,,,
17.15,0.0014340783302651374,,,,,,,,
17.5,,0.02208150886668939,0.016175854874211925,0.012781599125578282,,,0.019783149450732555,0.018038896097730798,0.01523772460714717
18.0,,,,,0.06583069189242732,0.07014028401991039,,,
18.4,0.04282429915685262,,,,,,,,
18.5,,0.030036329100279386,,,,,,,
19.0,,,0.05527865172833737,0.0438471249666823,,,0.06719034527082515,0.06018688483083837,0.05197698207534625
20.0,,0.09104124969774305,,,0.11294326680204052,0.12041505291717582,,,
20.25,0.07136269654449162,,,,,,,,
20.5,,,0.04554030412900379,0.03669182626447125,,,0.052623748824698585,0.044352311928347626,0.04214239443509831
21.45,0.014483952520315115,,,,,,,,
21.5,,0.06114912993698489,0.05961665082842406,0.048204770061387216,0.07437410232281709,0.07873889360644533,0.06579664607657609,0.05846203753520904,0.0555038434371222
21.95,0.042230146903548094,,,,,,,,
22.499499999999998,0.11159443978481666,0.13074543118592516,0.13165575362527818,0.11042880136866008,0.1556556757961468,0.16549820847917487,0.14359624379619382,0.12195224230148431,0.12329009441155336
23.5,,0.07449941879266193,0.08005667021651776,,0.08357838888613739,0.08732542164598996,0.0846788302924269,0.07378469474950153,0.07889751118994667
23.7,0.08803475194143424,,,,,,,,
24.0,,,,0.1574578957264498,,,,,
24.5,,,,,0.07688450299638452,0.07945688268472685,0.08401947132264553,,
25.0,,0.14583642873582306,0.1583013528233477,,,,,0.14638494160838053,0.16256927763389203
25.2,0.1593795523337179,,,,,,,,
25.5,,,,0.08417755389202379,,,,,
25.5,,,,,,0.06494867068464401,,,
26.0,,,,,0.1219850428408697,,0.14092786327227716,,
26.5,0.07379299401433362,0.06422850916676134,0.06773411210001198,0.0789314368244772,,,,0.0633833908282432,0.0705256377568137
27.0,,,,,,0.0886647474266305,,,
27.5,0.06214498508057444,0.056748560091594784,0.0571140926771726,0.07004465088217002,0.044161074240998466,,0.05234524702157794,0.059113998164382696,0.059378389160055584
28.1995,0.05589803488317988,,,,,,,,
28.4495,,,,,,,,,0.05919234752820818
28.499499999999998,,,,0.12691305578570883,0.07809636719330394,0.06655033862850279,,0.106609804728297,
28.999499999999998,,0.13904693649836417,0.14125598711629903,,,,0.12583044715011724,,
29.2,0.08600652135786459,,,,,,,,
29.45,,,,,,,,,0.08708517290892255
29.5,,,,,,,,0.04096116719941767,
30.0,,,,0.07910086636348422,0.04503863107325046,0.03687978515557581,,,
30.5,,0.02836262676583608,0.029518198922536227,,,,0.02473429261732186,,
30.5,0.030430617214428118,,,,,,,,
30.75,,,,,,,,,0.031220225714247374
31.0,,,,,,,,0.05743108522961041,
32.0,,,,,0.02530830568074885,,,,
32.5,,0.04992556467424712,0.055491469065045665,0.05869287176869975,,0.030102037294009624,0.04586710465240833,,
32.5,0.05639674099137525,,,,,,,,
33.0,,,,,,,,0.035957527613381016,
33.25,,,,,,,,,0.07037192467082831
33.4995,,,,,0.01926291416967956,,,,
34.1995,0.01257383654131804,,,,,,,,
34.4995,,,,,,0.014323536924659474,,,
34.9995,,,,,,,,0.038745767003196506,
34.9995,,0.029781413601125708,0.03446859076702843,0.033790861962448626,,,0.028584520536532532,,
35.0,,,,,0.01143919320489327,,,,
35.2,0.01945431052687465,,,,,,,,
35.4995,,,,,,,,,0.021286212546159675
35.5,,,,,,0.005134657470883472,,,
36.5,,,,,,,,0.007738076399658195,0.007884505354949134
36.5,0.00705466320038083,,,,,,,,
36.5,,0.006046595639925302,0.007463373702031407,0.006717261357461202,,,0.0056378762452244085,,
37.0,,,,,0.00698485711455599,0.008027325007421522,,,
37.95,,,,,,,,,0.006601733054047229
38.0,,0.009430416808691016,0.013022683722166533,,,,,,
38.35,0.010724567479828053,,,,,,,,
38.5,,,,0.012889042247875416,,,0.010975827471703503,,
38.5,,,,,,,,0.01591369433807007,
39.0,,,,,,0.007074608730471043,,,
39.95,,,,,,,,,0.012617892447197725
44.0,,,,,0.009366797087811402,,,,
44.5,,0.010407835665445985,0.011469551485291283,,,,,,
44.85,0.012384137327913583,,,,,,,,
45.0,,,,0.011167886077230942,,,0.009996310446197974,,
45.0,,,,,,0.005787061008360431,,0.011963952273950059,
45.5,,,,,,,,,0.011213735606172434
