value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
66.9995,,,,,,,0.006433665444411486,,
67.4995,,,,,,,,,0.004489146454210217
67.9995,,,,0.004671879383924748,,,,,
68.4995,,0.006621950576803374,,,,,,,
68.9995,0.006522370292947769,,,,,,,,
70.4995,,,0.005446286082892783,,,,,,
70.4995,,,,,,0.005499789816949671,,,
71.4995,,,,,0.004675987291659932,,,,
72.9995,,,,,,,,0.006067405741604739,
85.5,,,,,,,0.007125390419546777,,
86.0,0.005645559329907383,,,,,0.004514158694572182,,,0.0035275858189372936
86.5,,0.011105904204632375,,,,,,,
87.0,,,,0.003868928956422865,0.003526828881201708,,,0.004938873212539469,
87.5,,,0.008755973177744169,,,,,,
87.5,,,,,,,0.003997048640106089,,
88.0,0.009604273727607932,,,,,0.007678050520362279,,,0.006044694400516559
88.5,,0.0065963117059962195,,,,,,,
89.0,,,,0.006982899924688787,0.006668645609538897,,,0.008710526055848778,
89.0,,,,,,,0.01118600297628692,,
89.5,,,0.005130559353449722,,,,,,
89.5,0.007238045466422785,0.008643148225434044,,,,0.005547558692024508,,,0.004354625798476178
90.5,,,0.00665838640052476,0.005268093149633043,0.004981645794697413,,,0.00651684320394583,
91.5,0.03600150974073106,0.04489936031017336,,,,0.02903232997465065,0.03242881464512639,,0.021929312714752618
92.0,,,0.020511350285197405,0.01575259528345073,0.015121278828152323,,,0.01999585134650147,
93.5,0.018861597421827365,0.02346241555196928,,,,0.015610868374457028,0.016911740878577962,0.014767230905493015,0.011693164324143768
94.0,,,0.034975807892986786,0.025893766889646924,0.02583989960293785,,,,
95.0,0.05365386290392823,0.061953482542065556,,,,0.04478013579098888,0.046492642788237434,0.04060988499010579,0.033303820316741985
95.5,,,0.025046746608432625,0.017781198777300316,0.019138924728654604,,,,
96.9995,,0.11782485517598948,,,,,,,
97.4995,0.15900618413030224,,0.14339255628872302,0.10033742376585596,0.10996358549180159,0.13647408379297607,0.13837116840449584,0.11852225620898678,0.10439955919153435
99.0,,0.10353403346442393,,,,,,,
100.0,0.11882966059867027,,0.11585900805556791,,,0.10765352916449053,0.1110361915492396,0.0909765140115833,
100.5,,,,0.14062892245898492,0.15422528795088303,,,,0.15328471488958476
101.0,,0.1137254846102678,,,,,,,
102.0,0.12944429927706647,,0.1319855672965173,,,0.12597289275569087,0.13352535452462916,0.11150576366503903,
102.5,,,,0.06017698134939972,0.06317432233452559,,,,0.06789379786402162
103.0,,0.11121572403458968,,,,,,,
103.5,0.06088755334901141,,0.06432932112402345,,,,,,
104.0,,,,0.12855144051152556,0.13134792460815461,0.11974860833343949,0.12676763774051464,0.1200565994870157,0.13599479247830373
105.0,0.10456261069012572,0.09700324331715711,0.11082824738096513,,,,,,
105.5,,,,0.06365643320190788,0.061939932226105,0.0510410430174643,0.052860251613401764,0.05874872000869242,0.059301946112073525
106.4995,0.0917588479516883,0.0872875356629571,0.09773647523767963,0.12292155820375375,0.11805765777415951,0.0952240678700177,0.0985664467272061,0.1093762861648991,0.11131951136507369
107.5,0.035687948204279535,0.03526626679524086,0.039396889365906414,0.0521345560330188,0.04915811655581648,0.03816573888895966,0.038633151449132666,0.04787249804914508,0.04559481539922586
109.0,0.05323723252910606,0.055522399114604326,0.061389796401622544,0.08218520651515823,0.07630588186886662,,0.05898357558248228,0.0744922015191974,0.07395351664946433
109.5,,,,,,0.08446174031565673,,,
111.5,0.04755102633336237,0.05105268930389041,0.055316593163427595,0.07771083447776843,0.06933745580442559,,0.05300233566234847,0.07353076753382305,0.07153948233656439
112.5,,,,,,0.05056494656255175,,,
113.4995,,,0.025885055510746956,0.03671237023582746,,,,,
113.9995,0.030705803791771912,0.03333195643101221,,,0.04392077566723194,,0.033428388392979555,0.049519612265526994,0.047022131967209106
114.4995,,,,,,0.025680547240232856,,,
114.5,,,0.009070792646470439,,,,,,
115.0,,,,0.022043296563741342,,,,,
115.5,0.006589147286821705,0.006533638910689843,,,0.009190328259598118,0.009402506910563928,0.006648037869138098,0.010676197594439487,0.009779127565413727
116.0,,,0.01300286059304004,,,,,,
117.0,,,,,,0.014165063755525266,,,
117.5,0.012797956043317946,0.012998907499227273,,0.01818544278562885,0.017640022454143877,,0.012735217650328663,0.018706805438028665,0.018424787579655447
118.5,,,0.011671909121508521,,,,,,
120.0,,,,,,0.01610766467523534,,,
129.5,0.011414510931103562,0.01142069256287577,,0.014536171532361671,0.01578549826744531,,0.0108669370418101,0.014409162597583904,0.016149466774096843
130.0,,,0.013609818012572819,,,,,,
131.0,,,,,,0.012674674853190324,,,
