value,emory_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
21,,,,0.0007192704336551206,,,,,
26,,,,,,,,,0.000648305229638924
27.4,,,,,0.0006944073500347204,,,,
28,,,,,,,0.0006991807238602241,,
29,0.00043677658877484165,,,,,,,,
32,,,0.0005893480651026721,0.0013639676785366336,,,,,
36,,,,,,0.0007674149142224681,,0.0005490714348673836,0.0012690452745945998
37,0.0007643590303559729,,,,,,0.0013538550772077852,,
39,,,,0.0020844409055590703,,,,,
40,,,0.001112032168742911,,0.0015757705250787886,,,,
41,0.0010919414719371041,,,,,0.0014688969977863862,,,
42,,,,,,,,,0.001925724737555017
43,,,,,0.002136638000106832,,0.0020968243268949843,0.0010347021006754478,
44,,,,0.0028145364795200373,,,,,
45,,,0.001658869881608669,,,0.0022028050636413946,,,
46,0.0014195239135182355,,,,,,,,0.0025373926964124085
47,,,,0.0033810521555259934,,,0.0028577396937243863,,
48,,,,,,0.0029118532097399,,0.0016180203223801629,
49,,,0.002290728298948255,,0.002991293200149565,,0.003322185205364597,,0.0031410353483367027
50,0.0017471063550993666,,,,0.0034453287751722663,0.0034371541228555617,,,
51,,,0.0027593083179233307,,,,,0.002095791069897692,
53,,,,,,,,0.0025544734444239215,
58,,,,0.00684148867329486,,,0.006604888953016348,,
59,,,0.005513785914001558,,0.0072111532503605575,0.00701914429994466,,,0.006550744015737976
60,0.003385018563005023,,,,,,,0.004878202144747133,
63,0.005022930770910679,,,,,,,,
64,,,0.008367776380088924,0.010429421287999249,,0.01039901252075263,0.010540113519958596,,0.009613619853074077
65,,,,,0.01038940227551947,,,0.007705527038399631,
66,0.006770037126010046,,,,,,,,
68,,,0.011649768801652494,0.014250695815962992,0.014555846375727792,0.014178801189817377,0.014214760465996056,0.01009606504419239,0.01324419892432973
70,0.008298755186721992,,0.013740505216213448,0.016694771938349624,0.016932856150846644,0.016670197495849474,0.016470946313113802,0.012017815066228232,0.015512918301677569
85,,,,0.051225766720632,0.04989049730249452,,,,
86,,,,,,0.056288262659103486,0.05093323398362883,,0.052283130037188576
87,0.030028390478270366,,0.05047717870385936,,,,,0.050308529864040254,
94,,,,0.08747074205134003,,0.09150828375760929,0.08142153347417445,,
95,0.054706267744048916,,,,0.09211580577960579,,,0.08572700594939672,0.09137125977081119
96,,,0.09033643079218041,,,,,,
100,0.07370604935575453,,,0.11880110368319385,,0.12650348471223022,,,
101,,,,,0.11959831205597991,,0.11792106436267237,0.12165581530090294,0.12660200828072105
102,,,0.1285406775763689,,,,,,
105,0.09576326708888404,,,,,,,,
106,,,0.15932783403958486,0.15521206449859154,0.15821804390791092,0.1677266359988932,0.14952704802883438,0.1579259696753124,0.16172772994772386
110,0.11651015505568901,,0.19405685952840562,0.18212095771219078,0.18145398215907269,0.19768716276978418,0.1784569067067511,0.19095896055949144,0.19290709416197302
125,,,0.3590318074049169,,,,,,
126,,,,,,,,0.3551262667802238,
128,,,,,,,,,0.36177560264821174
129,,,,,,0.3588410521582734,0.35096144527977635,,
130,,,,0.3468086283584998,0.3636290796431815,,,,
138,0.2985367984276043,,,,,,,,
139,,,0.5160437933919589,,,,,,
142,,,,,,,,0.5160322683331191,
146,,,,,0.514021686875701,,0.5060596859142362,,0.5209177880579245
149,,,,0.5136841801399571,,,,,
151,,,,,,0.5218972658411732,,,
155,0.47641406420615856,,,,,,,,
156,,,0.6802941329917047,,,,,,
162,,,,,,,,0.6769972192731933,
166,,,,,0.6702099246835105,,,,
168,,,,,,,0.671241490848557,,0.6776150462641498
171,,,,0.6768106249954895,,,,,
172,0.6487224284778336,,,,,,,,
178,,,,,,0.6822653655921417,,,
183,,,0.8378500582585054,,,,,,
186,,1.0,,,,,,,
192,,,0.8726950210716087,,,,,,
195,0.8217951517798646,,,,,,,,
197,,,,,,,,0.8366529323951585,
201,0.8594671325616947,,,,,,,,
203,,,,,,,0.8350888225121836,,
204,,,0.9031459592944054,,0.8341968911917098,,,,0.8375224272436141
208,,,,0.8343837728741229,,,,,
209,,,,,,,,0.871527951272998,
210,0.8947368421052632,,,,,,,,
214,,,,,0.8692911703434646,,0.8705087149934067,,
215,,,,,,,,,0.8712116189695924
218,,,,,,0.8383986320558937,,,
221,,,,0.868932809556915,,,,,
223,0.9305525223848001,,0.9357832822242962,,,,,,
224,,,,,,,,0.902416307309331,
228,,,,,,,0.9023731227464163,,
230,,,,,,0.8715758162700609,,,0.9039681304593895
231,,,,,0.9023022274451151,,,,
239,,,,0.9021190813545378,,,,,
246,,,,,,0.9030895475926951,,,
246.8,0.9642935138676567,,,,,,,,
247,,,,,,,,0.9357653791933366,
248,,,,,,,0.9347974493542628,,
251,,,,,,,,,0.9361056465361729
252,,,,,0.9349126649217456,,,,
258,,,0.9681249649772666,,,,,,
264,,,,0.9339197351930123,,,,,
269,,,,,,0.935883024349751,,,
283,,,,,,,0.9670279578969735,,
285,,,,,,,,0.9675963640017988,
287,,,,,,,,,0.9677361725706175
288,,,,,0.9670423588483521,,,,
307,,,,0.9670194058681882,,,,,
308,,,,,,0.9679577251660211,,,
546,1.0,,,,,,,,
600,,,1.0,,1.0,,1.0,1.0,
689,,,,,,1.0,,,
700,,,,1.0,,,,,
798,,,,,,,,,1.0
