value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0.0995,,,,,0.0031952914815895983,,,,
0.202,,,,,,,,0.025628698837922518,
0.2495,,,,0.022554129911788293,,,,,
0.3495,,,,,,,0.016975308641975308,,
0.35,,,,,0.0016252593708826104,,,,
0.4495,,,0.01190486452936562,,,,,,0.03593216979028142
0.4995,0.03548548321141351,0.06498462679418444,,,,0.047735482078355096,,,
0.6,,,,,0.001798830760005996,,,,
0.621,,,,,,,,0.0064071747094806295,
0.7,,,,0.014434643143544507,,,,,
0.75,,,,,,,0.006172839506172839,,
0.75,,,,,0.001317564635618427,,,,
0.8500000000000001,,,,,,,0.0030864197530864196,,
0.95,,,0.016824277533052306,,,,,,0.015474076337895545
0.95,,,,,,,0.024691358024691357,,
1.0,,,,,0.00730577756037523,,,,
1.0695,,,,,,,,0.01616713359746697,
1.15,,,,0.014980397398200125,,,,,
1.2,,,,,,,,,0.004908026134289278
1.25,,0.009332076696074039,,,,,,,
1.25,,,,,,,0.024691358024691357,,
1.35,,,,,0.006343245311600091,,,,
1.5,0.03852969239856422,,,,,0.0549319255348708,,,
1.5,,,0.04051619354671862,,,,,,
1.5114999999999998,,,,,,,,0.016519403875801933,
1.6,,,,0.02066069678339125,,,,,
1.65,,,,,,,,,0.027459175497864818
1.65,,,,,0.007897498205114045,,,,
1.75,,0.04758741096673516,,,,,,,
1.75,,,,,,,0.041666666666666664,,
1.862,,,,,,,,0.015566201946189679,
1.9,,,,0.012474382963556982,,,,,
1.9,,,,,0.006422141397565266,,,,
1.95,,,,,,,,,0.010075412787960385
2.4995000000000003,,,,,,0.12270075020839122,,,
2.5495,,0.12034361818827928,,,,,0.0941358024691358,,
2.7925,,,,,,,,0.10715232995706447,
2.7995,,,,0.10761382874454246,,,,,
2.8994999999999997,,,0.1075546896775658,,,,,,0.10774034212460869
2.9995000000000003,0.1645690399382071,,,,0.09800471798594072,,,,
3.7,,0.11150595615159989,,,,,,,
3.75,,,,,,,0.0941358024691358,,
3.95,,,,,,0.09392886913031398,,,
4.2025,,,,,,,,0.10759992042836065,
4.25,,,,0.10067495322106389,,,,,
4.4,,,0.12470654494567669,,,,,,0.09347386158077758
4.5,0.0752268011571024,,,,,,,,
4.65,,,,,0.0952512445857561,,,,
