value,sunnybrook_probability,ucmc_probability
0.01,0.0008812513769552765,
0.02,,0.008477439073433604
0.03,0.00149812734082397,
0.05,,0.011598166170674816
0.08,0.0023353161489314826,
0.1,0.003216567525886759,0.01570015281911043
0.15,,0.019190863025818388
0.16,0.0036571932143643973,
0.6,0.007402511566424323,
0.61,,0.03825303627443095
1.13,,0.05688088152497386
1.288,0.0108393919365499,
1.6,,0.07595914099573715
1.7,0.014937210839391937,
2,0.01806565322758317,0.0947800209120888
3.39,,0.1697418161344808
4.1,0.10945142101784534,
4.47,,0.24409233491514518
5.1,0.20066093853271647,
5.48,,0.3180728705863428
5.9,0.28909451421017845,
6.49,,0.39271294136572027
6.7,0.3767349636483807,
7.5,0.46168759638686935,0.4668704254805759
8.6,0.5699052654769773,
9.1,,0.5741976996702325
9.95,0.6771535580524345,
11.05,,0.6803989383093381
11.7,0.7847543511786738,
13.7,,0.7869058151693075
14.62,0.8923110817360652,
15.6,0.9142542410222516,
16.9,0.9359330248953514,
18.21,,0.8933805195849754
18.724,0.956906807666887,
19.654,,0.9147108501568406
21.73,,0.9360572669508566
21.976,0.9784534038334435,
24.6,,0.9574036837448725
29.68,,0.9786857556502855
49.7,1.0,
49.96,,1.0
